dataname,vulnerability_CodeLlama,function_name_CodeLlama,match_CodeLlama,vulnerability_CodeGemma,function_name_CodeGemma,match_CodeGemma,vulnerability_Deepseek,function_name_Deepseek,match_Deepseek,vulnerability_Nxcode,function_name_Nxcode,match_Nxcode,vulnerability_Openinterpreter,function_name_Openinterpreter,match_Openinterpreter,case
CVE-2018-10376,Integer Overflow,transferProxy,True,Integer Overflow,transferProxy,True,Integer Overflow,transferProxy,True,Integer Overflow,transferProxy,False,Integer Overflow,transferProxy,False,medium
CVE-2018-10468,Wrong Logic,transferFrom,False,Wrong Logic,transferFrom,True,Wrong Logic,transferFrom,True,Wrong Logic,transferFrom,False,Wrong Logic,transferFrom,False,medium
CVE-2018-10666,Access Control,setOwner,True,Access Control,setOwner,True,Access Control,setOwner,True,Access Control,setOwner,False,Access Control,setOwner,False,medium
CVE-2018-10706,Integer Overflow,transferMulti,False,Integer Overflow,transferMulti,False,Integer Overflow,transferMulti,False,Integer Overflow,transferMulti,False,Integer Overflow,transferMulti,False,hard
CVE-2018-10944,Access Control,request_dividend,False,Access Control,request_dividend,False,Access Control,request_dividend,False,Access Control,request_dividend,False,Access Control,request_dividend,False,hard
CVE-2018-11239,Integer Overflow,_transfer,True,Integer Overflow,_transfer,False,Integer Overflow,_transfer,False,Integer Overflow,_transfer,False,Integer Overflow,_transfer,False,medium
CVE-2018-11446,Integer Overflow,buy,False,Integer Overflow,buy,False,Integer Overflow,buy,False,Integer Overflow,buy,False,Integer Overflow,buy,False,hard
CVE-2018-11687,Integer Overflow,distributeBTR,True,Integer Overflow,distributeBTR,True,Integer Overflow,distributeBTR,True,Integer Overflow,distributeBTR,False,Integer Overflow,distributeBTR,True,medium
CVE-2018-12062,Integer Overflow,sell,False,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,True,medium
CVE-2018-12068,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,True,medium
CVE-2018-12070,Integer Overflow,sell,False,Integer Overflow,sell,False,Integer Overflow,sell,False,Integer Overflow,sell,False,Integer Overflow,sell,False,hard
CVE-2018-12078,Token Devalue,mintToken,True,Token Devalue,mintToken,True,Token Devalue,mintToken,True,Token Devalue,mintToken,True,Token Devalue,mintToken,False,medium
CVE-2018-12084,Token Devalue,mintToken,True,Token Devalue,mintToken,False,Token Devalue,mintToken,True,Token Devalue,mintToken,True,Token Devalue,mintToken,True,medium
CVE-2018-12702,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,False,medium
CVE-2018-12703,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,True,Access Control,approveAndCallcode,False,medium
CVE-2018-13041,Integer Overflow,mint,True,Integer Overflow,mint,True,Integer Overflow,mint,True,Integer Overflow,mint,True,Integer Overflow,mint,True,easy
CVE-2018-13070,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-13072,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
CVE-2018-13074,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,Integer Overflow,mintToken,False,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,medium
CVE-2018-13075,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-13076,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
CVE-2018-13081,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-13085,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-13088,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-13089,Integer Overflow,mintToken,False,Integer Overflow,mintToken,False,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
CVE-2018-13090,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
CVE-2018-13091,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
