dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,FALSE,N/A,0
CVE-2018-13326,Integer Overflow,Multiple Functions,FALSE,N/A,0
CVE-2018-17968,Bad Randomness,random,TRUE,1,0
CVE-2018-13132,Integer Overflow,mint,TRUE,1,0
CVE-2018-13128,Integer Overflow,mint,TRUE,1,0
CVE-2018-13777,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-12062,Integer Overflow,sell,TRUE,3,0
CVE-2018-17071,Bad Randomness,fallback,FALSE,N/A,0
CVE-2018-12083,Token Devalue,mintToken,TRUE,1,0
CVE-2018-14001,Integer Overflow,batchTransfer,FALSE,N/A,0
CVE-2018-13208,Integer Overflow,sell,FALSE,N/A,0
CVE-2018-13325,Integer Overflow,_sell,TRUE,1,0
CVE-2018-13129,Integer Overflow,mint,TRUE,1,0
CVE-2018-12702,Access Control,approveAndCallcode,TRUE,1,0
CVE-2020-17753,Access Control,addMeByRC,FALSE,N/A,0
CVE-2018-12230,Wrong Logic,transferFrom,TRUE,1,0
CVE-2018-12703,Access Control,approveAndCallcode,TRUE,1,0
CVE-2018-14085,Wrong Logic,Not Provided,TRUE,1,0
CVE-2018-18425,Token Devalue,doAirdrop,TRUE,1,0
CVE-2018-17050,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-14006,Integer Overflow,multipleTransfer,TRUE,2,0
CVE-2018-10468,Wrong Logic,transferFrom,TRUE,3,0
CVE-2018-13075,Integer Overflow,mintToken,TRUE,2,0
CVE-2018-11561,Integer Overflow,distributeToken,FALSE,N/A,0
CVE-2018-10666,Access Control,setOwner,TRUE,2,0
CVE-2018-13076,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-13131,Integer Overflow,mint,TRUE,1,0
CVE-2018-10705,Access Control,Not Provided,FALSE,N/A,0
CVE-2018-17877,Bad Randomness,extcodesize,FALSE,N/A,0
CVE-2018-13081,Integer Overflow,mintToken,TRUE,3,0
CVE-2018-13071,Integer Overflow,mintToken,TRUE,4,0
CVE-2018-13072,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-13088,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-13533,Integer Overflow,mintToken,TRUE,1,0
CVE-2021-34273,Access Control,owned,TRUE,1,0
CVE-2018-10299,Integer Overflow,batchTransfer,TRUE,1,0
CVE-2018-13670,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-10376,Integer Overflow,transferProxy,TRUE,1,0
CVE-2021-33403,Integer Overflow,transfer,TRUE,2,0
CVE-2018-14003,Integer Overflow,batchTransfer,TRUE,2,0
CVE-2018-11429,Integer Overflow,mint,TRUE,1,0
CVE-2018-13070,Integer Overflow,mintToken,TRUE,2,0
CVE-2018-13073,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-14715,Bad Randomness,endCoinFlip,FALSE,N/A,0
CVE-2018-12885,Bad Randomness,randMod,FALSE,N/A,0
CVE-2018-13084,Integer Overflow,mintToken,TRUE,1,0
CVE-2018-13079,Integer Overflow,mintToken,TRUE,3,0
CVE-2021-3006,Access Control,breed,FALSE,N/A,0
CVE-2018-14086,Integer Overflow,setPrices,TRUE,1,0
CVE-2018-19833,Access Control,owned,FALSE,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,FALSE,N/A,0
CVE-2018-15552,Bad Randomness,PayWinner,TRUE,1,0
CVE-2019-15078,Typo Constructor,Not Provided,FALSE,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,TRUE,2,0
CVE-2018-14063,Integer Overflow,increaseApproval,FALSE,N/A,0
CVE-2018-13087,Integer Overflow,mintToken,TRUE,4,0
CVE-2018-12070,Integer Overflow,sell,FALSE,N/A,0
CVE-2018-13698,Integer Overflow,mintTokens,TRUE,1,0
CVE-2018-10706,Integer Overflow,transferMulti,FALSE,N/A,0
CVE-2019-15079,Typo Constructor,Not Provided,FALSE,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,FALSE,N/A,0
CVE-2018-12067,Integer Overflow,sell,TRUE,1,0
CVE-2018-18665,N/A,N/A,FALSE,N/A,N/A
CVE-2021-34272,Access Control,owned,FALSE,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,FALSE,N/A,0
CVE-2018-13069,Integer Overflow,mintToken,TRUE,1,0
CVE-2021-3004,Wrong Logic,_deposit,FALSE,N/A,0
CVE-2020-35962,Access Control,sellTokenForLRC,FALSE,N/A,0
CVE-2018-13127,Integer Overflow,mint,TRUE,1,0
CVE-2018-13041,Integer Overflow,mint,TRUE,1,0
