dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2021-33403,Integer Overflow,transfer,False,N/A,1
CVE-2018-13076,Integer Overflow,mintToken,False,N/A,1
CVE-2018-10376,Integer Overflow,transferProxy,False,N/A,1
CVE-2018-12070,Integer Overflow,sell,False,N/A,<auditor_idx>
CVE-2018-12062,Integer Overflow,sell,True,9,Extract the auditor_idx
CVE-2018-13144,Integer Overflow,Multiple Functions,False,N/A,1
CVE-2018-11687,Integer Overflow,distributeBTR,True,1,
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,
CVE-2018-11446,Integer Overflow,buy,False,N/A,0
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,
CVE-2018-13075,Integer Overflow,mintToken,True,1,0
CVE-2021-34273,Access Control,owned,False,N/A,Extract the auditor_idx
CVE-2018-13091,Integer Overflow,mintToken,False,N/A,Extract the auditor_idx
CVE-2020-17752,Integer Overflow,Not Provided,False,N/A,0
CVE-2018-13131,Integer Overflow,mint,True,3,<auditor_idx>
CVE-2018-13220,Integer Overflow,sell,False,N/A,0
CVE-2018-13074,Integer Overflow,mintToken,True,1,0
CVE-2018-14576,Integer Overflow,mintTokens,False,N/A,Extract the auditor_idx
CVE-2018-12084,Token Devalue,mintToken,True,1,0
CVE-2018-13777,Integer Overflow,mintToken,True,1,0
CVE-2018-18665,N/A,N/A,False,N/A,N/A
CVE-2018-14086,Integer Overflow,setPrices,False,N/A,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,True,9,1
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,1
CVE-2018-13081,Integer Overflow,mintToken,True,1,0
CVE-2018-12068,Integer Overflow,sell,True,9,Extract the auditor_idx
CVE-2018-13625,Integer Overflow,mintlvlToken,False,N/A,1
CVE-2018-13090,Integer Overflow,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-13070,Integer Overflow,mintToken,True,1,0
CVE-2021-34270,Integer Overflow,mintToken,False,N/A,1
CVE-2018-14063,Integer Overflow,increaseApproval,False,N/A,1
CVE-2018-10468,Wrong Logic,transferFrom,False,N/A,1
CVE-2018-10666,Access Control,setOwner,False,N/A,1
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,1
CVE-2020-17753,Access Control,addMeByRC,False,N/A,1
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,Extract the auditor_idx
CVE-2018-13703,Integer Overflow,mintToken,False,N/A,1
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,1
CVE-2018-12078,Token Devalue,mintToken,False,N/A,1
CVE-2018-13533,Integer Overflow,mintToken,True,1,0
CVE-2018-19832,Access Control,NETM,False,N/A,
CVE-2018-13041,Integer Overflow,mint,True,1,0
CVE-2018-13072,Integer Overflow,mintToken,False,N/A,1
CVE-2018-13230,Integer Overflow,sell,False,N/A,0
CVE-2018-10944,Access Control,request_dividend,False,N/A,0
CVE-2018-13228,Integer Overflow,sell,True,9,Extract the auditor_idx
CVE-2018-19831,Access Control,ToOwner,False,N/A,0
CVE-2018-13221,Integer Overflow,sell,False,N/A,0
CVE-2018-13089,Integer Overflow,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-17050,Integer Overflow,mintToken,True,8,1
CVE-2018-13088,Integer Overflow,mintToken,True,1,0
CVE-2018-13783,Integer Overflow,mintToken,True,1,0
CVE-2018-14001,Integer Overflow,batchTransfer,False,N/A,1

Top k hit rate:,0.31,(17/54)
