dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,False,N/A,0
CVE-2018-17968,Bad Randomness,random,True,3,0
CVE-2018-13132,Integer Overflow,mint,True,4,2
CVE-2018-13128,Integer Overflow,mint,True,1,0
CVE-2018-13777,Integer Overflow,mintToken,True,3,0
CVE-2018-12062,Integer Overflow,sell,True,4,0
CVE-2018-17071,Bad Randomness,fallback,True,2,3
CVE-2018-12083,Token Devalue,mintToken,True,1,0
CVE-2018-14001,Integer Overflow,batchTransfer,False,N/A,0
CVE-2018-13208,Integer Overflow,sell,True,4,0
CVE-2018-13325,Integer Overflow,_sell,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,0
CVE-2020-17753,Access Control,addMeByRC,False,N/A,1
CVE-2018-12230,Wrong Logic,transferFrom,True,3,0
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-14085,Wrong Logic,Not Provided,False,N/A,0
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,0
CVE-2018-17050,Integer Overflow,mintToken,True,3,2
CVE-2018-14006,Integer Overflow,multipleTransfer,True,2,0
CVE-2018-13075,Integer Overflow,mintToken,False,N/A,0
CVE-2018-10666,Access Control,setOwner,False,N/A,0
CVE-2018-13076,Integer Overflow,mintToken,True,4,0
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,0
CVE-2018-13071,Integer Overflow,mintToken,True,4,2
CVE-2018-13088,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13533,Integer Overflow,mintToken,False,N/A,0
CVE-2021-34273,Access Control,owned,False,N/A,0
CVE-2018-10299,Integer Overflow,batchTransfer,True,5,2
CVE-2018-13670,Integer Overflow,mintToken,True,4,0
CVE-2018-10376,Integer Overflow,transferProxy,False,N/A,0
CVE-2018-14003,Integer Overflow,batchTransfer,True,5,0
CVE-2018-11429,Integer Overflow,mint,True,1,4
CVE-2018-13070,Integer Overflow,mintToken,True,2,1
CVE-2018-13073,Integer Overflow,mintToken,True,5,0
CVE-2018-14715,Bad Randomness,endCoinFlip,False,N/A,0
CVE-2018-12885,Bad Randomness,randMod,True,1,1
CVE-2018-13079,Integer Overflow,mintToken,False,N/A,2
CVE-2021-3006,Access Control,breed,False,N/A,0
CVE-2018-19833,Access Control,owned,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,True,3,0
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,True,6,2
CVE-2018-14063,Integer Overflow,increaseApproval,False,N/A,0
CVE-2018-13087,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12070,Integer Overflow,sell,False,N/A,0
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,0
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,4
CVE-2018-12067,Integer Overflow,sell,True,4,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13069,Integer Overflow,mintToken,False,N/A,0
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,0
CVE-2020-35962,Access Control,sellTokenForLRC,True,3,0
CVE-2018-13127,Integer Overflow,mint,True,1,0
CVE-2018-13041,Integer Overflow,mint,True,1,0
CVE-2018-13091,Integer Overflow,mintToken,True,1,2
CVE-2018-12068,Integer Overflow,sell,True,4,0
