file,contract,ground truth,vul_type
15,Ownable,0,timestamp dependency
15,Pausable,0,timestamp dependency
15,ContractReceiver,0,timestamp dependency
15,ERC20Interface,0,timestamp dependency
15,ERC223,0,timestamp dependency
15,NXX,1,timestamp dependency
124,AccessAdmin,0,timestamp dependency
124,AccessService,0,timestamp dependency
124,TTCInterface,0,timestamp dependency
124,TTPresale,1,timestamp dependency
176,ERC20,0,timestamp dependency
176,Ownable,0,timestamp dependency
176,IcoRocketFuel,1,timestamp dependency
188,F3Devents,0,timestamp dependency
188,modularShort,0,timestamp dependency
188,Duang8,1,timestamp dependency
215,Ownable,0,timestamp dependency
215,Pausable,0,timestamp dependency
215,ERC721Basic,0,timestamp dependency
215,HorseyExchange,0,timestamp dependency
215,EthorseRace,0,timestamp dependency
215,EthorseHelpers,0,timestamp dependency
215,RoyalStablesInterface,0,timestamp dependency
215,HorseyToken,0,timestamp dependency
215,HorseyPilot,0,timestamp dependency
237,braggerContract,1,timestamp dependency
292,ERC20Basic,0,timestamp dependency
292,SafeMath,0,timestamp dependency
292,Ownable,0,timestamp dependency
292,Haltable,0,timestamp dependency
292,PricingStrategy,0,timestamp dependency
292,FinalizeAgent,0,timestamp dependency
292,ERC20,0,timestamp dependency
292,FractionalERC20Ext,0,timestamp dependency
292,CrowdsaleExt,1,timestamp dependency
292,StandardToken,0,timestamp dependency
292,UpgradeAgent,0,timestamp dependency
292,UpgradeableToken,0,timestamp dependency
292,ReleasableToken,0,timestamp dependency
292,MintableTokenExt,0,timestamp dependency
292,CrowdsaleTokenExt,0,timestamp dependency
292,ReservedTokensFinalizeAgent,0,timestamp dependency
295,ERC20Basic,0,timestamp dependency
295,Ownable,0,timestamp dependency
295,Haltable,0,timestamp dependency
295,PricingStrategy,0,timestamp dependency
295,FinalizeAgent,0,timestamp dependency
295,ERC20,0,timestamp dependency
295,FractionalERC20Ext,0,timestamp dependency
295,CrowdsaleExt,1,timestamp dependency
295,ReleasableToken,0,timestamp dependency
295,NullFinalizeAgentExt,0,timestamp dependency
347,Ownable,0,timestamp dependency
347,ERC20,0,timestamp dependency
347,AddressesFilterFeature,0,timestamp dependency
347,ERC20Basic,0,timestamp dependency
347,BasicToken,0,timestamp dependency
347,StandardToken,0,timestamp dependency
347,MintableToken,0,timestamp dependency
347,Token,0,timestamp dependency
347,CrowdsaleWPTByRounds,1,timestamp dependency
361,ERC20Basic,0,timestamp dependency
361,BasicToken,0,timestamp dependency
361,ERC20,0,timestamp dependency
361,StandardToken,0,timestamp dependency
361,Ownable,0,timestamp dependency
361,MintableToken,0,timestamp dependency
361,FreezableToken,1,timestamp dependency
361,BurnableToken,0,timestamp dependency
361,Pausable,0,timestamp dependency
361,FreezableMintableToken,1,timestamp dependency
361,Consts,0,timestamp dependency
361,MainToken,0,timestamp dependency
399,Ownable,0,timestamp dependency
399,Saturn,1,timestamp dependency
401,EVOLUTION2,0,timestamp dependency
419,SnooKarma,1,timestamp dependency
428,F3Devents,0,timestamp dependency
428,modularShort,0,timestamp dependency
428,F3DPLUS,1,timestamp dependency
496,YellowBetterToken,0,timestamp dependency
496,TokenSale,1,timestamp dependency
518,F3Devents,0,timestamp dependency
518,modularLong,0,timestamp dependency
518,SCardLong,1,timestamp dependency
578,FsTKAuthority,0,timestamp dependency
578,Authorizable,0,timestamp dependency
578,IssuerContract,0,timestamp dependency
578,ERC20,0,timestamp dependency
578,SecureERC20,0,timestamp dependency
578,FsTKToken,0,timestamp dependency
578,ERC20Like,1,timestamp dependency
578,SmartToken,0,timestamp dependency
613,SnooKarma,1,timestamp dependency
649,ERC20Basic,0,timestamp dependency
649,ERC20,0,timestamp dependency
649,Ownable,0,timestamp dependency
649,DVPlock,1,timestamp dependency
665,ERC20TokenInterface,0,timestamp dependency
665,TwoYearDreamTokensVesting,1,timestamp dependency
711,Owned,0,timestamp dependency
711,ERC20,0,timestamp dependency
711,ERC20Token,0,timestamp dependency
711,H2OC,0,timestamp dependency
738,Permissioned,0,timestamp dependency
738,ERC223,0,timestamp dependency
738,Token,1,timestamp dependency
739,Crowdsale,1,timestamp dependency
837,Ownable,0,timestamp dependency
837,MyCryptoChampCore,0,timestamp dependency
837,Inherit,0,timestamp dependency
837,Strings,0,timestamp dependency
837,Controller,1,timestamp dependency
838,Controller,0,timestamp dependency
838,MyCryptoChampCore,0,timestamp dependency
883,RakuRakuEth,1,timestamp dependency
1051,DSAuthority,0,timestamp dependency
1051,DSAuthEvents,0,timestamp dependency
1051,DSAuth,0,timestamp dependency
1051,DSNote,0,timestamp dependency
1051,DSStop,0,timestamp dependency
1051,DSMath,0,timestamp dependency
1051,ERC20,0,timestamp dependency
1051,Coin,0,timestamp dependency
1051,FreezerAuthority,0,timestamp dependency
1051,LimitCollectCoin,1,timestamp dependency
1182,Ownable,0,timestamp dependency
1182,BitSongCrowdsale,1,timestamp dependency
1256,Betting,1,timestamp dependency
1318,ERC20Interface,0,timestamp dependency
1318,WorkIt,1,timestamp dependency
1667,ReentrancyGuard,0,timestamp dependency
1667,Ownable,0,timestamp dependency
1667,JobsBounty,1,timestamp dependency
1671,EthertoteToken,0,timestamp dependency
1671,TokenSale,1,timestamp dependency
1700,TheEthGameTrophy,0,timestamp dependency
1703,TheEthGame,0,timestamp dependency
1704,Dividends,0,timestamp dependency
1704,Events,0,timestamp dependency
1704,Constants,0,timestamp dependency
