---------------------------------------
Begin Slurm Prolog: Nov-19-2024 00:07:52
Job ID:    953056
User ID:   zyahn3
Account:   scs
Job name:  finetuningNxcode
Partition: coc-gpu
---------------------------------------
/home/hice1/zyahn3/.conda/envs/BugScanner

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards:  50%|█████     | 1/2 [00:22<00:22, 22.35s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:43<00:00, 21.79s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:43<00:00, 21.88s/it]
/home/hice1/zyahn3/.local/lib/python3.9/site-packages/huggingface_hub/utils/_deprecation.py:100: FutureWarning: Deprecated argument(s) used in '__init__': max_seq_length, dataset_kwargs. Will not be supported from version '1.0.0'.

Deprecated positional argument(s) used in SFTTrainer, please use the SFTConfig to set these arguments instead.
  warnings.warn(message, FutureWarning)
You are using an old version of the checkpointing format that is deprecated (We will also silently ignore `gradient_checkpointing_kwargs` in case you passed it).Please update to the new format on your modeling file. To use the new format, you need to completely remove the definition of the method `_set_gradient_checkpointing` in your model.
/home/hice1/zyahn3/.local/lib/python3.9/site-packages/trl/trainer/sft_trainer.py:283: UserWarning: You passed a `max_seq_length` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
/home/hice1/zyahn3/.local/lib/python3.9/site-packages/trl/trainer/sft_trainer.py:327: UserWarning: You passed a `dataset_kwargs` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(

  0%|          | 0/2780 [00:00<?, ?it/s]/home/hice1/zyahn3/.local/lib/python3.9/site-packages/torch/_dynamo/eval_frame.py:632: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)

  0%|          | 1/2780 [00:02<1:49:16,  2.36s/it]
  0%|          | 2/2780 [00:07<3:04:00,  3.97s/it]
  0%|          | 3/2780 [00:11<3:03:27,  3.96s/it]
  0%|          | 4/2780 [00:14<2:48:30,  3.64s/it]
  0%|          | 5/2780 [00:20<3:31:39,  4.58s/it]
  0%|          | 6/2780 [00:27<3:57:33,  5.14s/it]
  0%|          | 7/2780 [00:32<3:57:06,  5.13s/it]
  0%|          | 8/2780 [00:36<3:52:54,  5.04s/it]
  0%|          | 9/2780 [00:39<3:23:16,  4.40s/it]
  0%|          | 10/2780 [00:46<3:49:59,  4.98s/it]
                                                   
  0%|          | 10/2780 [00:46<3:49:59,  4.98s/it]
  0%|          | 11/2780 [00:50<3:44:04,  4.86s/it]
  0%|          | 12/2780 [00:55<3:38:44,  4.74s/it]
  0%|          | 13/2780 [00:58<3:18:51,  4.31s/it]
  1%|          | 14/2780 [01:02<3:07:27,  4.07s/it]
  1%|          | 15/2780 [01:04<2:50:18,  3.70s/it]
  1%|          | 16/2780 [01:10<3:11:06,  4.15s/it]
  1%|          | 17/2780 [01:15<3:20:51,  4.36s/it]
  1%|          | 18/2780 [01:21<3:48:37,  4.97s/it]
  1%|          | 19/2780 [01:27<4:07:16,  5.37s/it]
  1%|          | 20/2780 [01:32<4:04:20,  5.31s/it]
                                                   
  1%|          | 20/2780 [01:32<4:04:20,  5.31s/it]
  1%|          | 21/2780 [01:38<4:03:58,  5.31s/it]
  1%|          | 22/2780 [01:42<3:45:18,  4.90s/it]
  1%|          | 23/2780 [01:48<4:05:49,  5.35s/it]
  1%|          | 24/2780 [01:53<4:03:25,  5.30s/it]
  1%|          | 25/2780 [02:00<4:17:42,  5.61s/it]
  1%|          | 26/2780 [02:04<4:08:03,  5.40s/it]
  1%|          | 27/2780 [02:10<4:15:25,  5.57s/it]
  1%|          | 28/2780 [02:17<4:26:01,  5.80s/it]
  1%|          | 29/2780 [02:21<4:11:00,  5.47s/it]
  1%|          | 30/2780 [02:25<3:47:24,  4.96s/it]
                                                   
  1%|          | 30/2780 [02:25<3:47:24,  4.96s/it]
  1%|          | 31/2780 [02:30<3:44:39,  4.90s/it]
  1%|          | 32/2780 [02:35<3:43:12,  4.87s/it]
  1%|          | 33/2780 [02:39<3:32:32,  4.64s/it]
  1%|          | 34/2780 [02:44<3:39:59,  4.81s/it]
  1%|▏         | 35/2780 [02:49<3:39:40,  4.80s/it]
  1%|▏         | 36/2780 [02:54<3:44:06,  4.90s/it]
  1%|▏         | 37/2780 [02:59<3:47:31,  4.98s/it]
  1%|▏         | 38/2780 [03:04<3:49:15,  5.02s/it]
  1%|▏         | 39/2780 [03:09<3:45:41,  4.94s/it]
  1%|▏         | 40/2780 [03:15<3:58:54,  5.23s/it]
                                                   
  1%|▏         | 40/2780 [03:15<3:58:54,  5.23s/it]
  1%|▏         | 41/2780 [03:21<4:15:07,  5.59s/it]
  2%|▏         | 42/2780 [03:26<3:54:52,  5.15s/it]
  2%|▏         | 43/2780 [03:29<3:32:42,  4.66s/it]
  2%|▏         | 44/2780 [03:34<3:39:07,  4.81s/it]
  2%|▏         | 45/2780 [03:38<3:19:13,  4.37s/it]
  2%|▏         | 46/2780 [03:42<3:13:35,  4.25s/it]
  2%|▏         | 47/2780 [03:48<3:41:13,  4.86s/it]
  2%|▏         | 48/2780 [03:52<3:29:50,  4.61s/it]
  2%|▏         | 49/2780 [03:58<3:47:25,  5.00s/it]
  2%|▏         | 50/2780 [04:01<3:20:01,  4.40s/it]
                                                   
  2%|▏         | 50/2780 [04:01<3:20:01,  4.40s/it]
  2%|▏         | 51/2780 [04:07<3:45:58,  4.97s/it]
  2%|▏         | 52/2780 [04:13<4:03:56,  5.37s/it]
  2%|▏         | 53/2780 [04:18<4:01:10,  5.31s/it]
  2%|▏         | 54/2780 [04:24<3:59:53,  5.28s/it]
  2%|▏         | 55/2780 [04:30<4:13:01,  5.57s/it]
  2%|▏         | 56/2780 [04:36<4:23:11,  5.80s/it]
  2%|▏         | 57/2780 [04:42<4:16:39,  5.66s/it]
  2%|▏         | 58/2780 [04:46<4:01:06,  5.31s/it]
  2%|▏         | 59/2780 [04:51<3:53:55,  5.16s/it]
  2%|▏         | 60/2780 [04:56<3:53:52,  5.16s/it]
                                                   
  2%|▏         | 60/2780 [04:56<3:53:52,  5.16s/it]
  2%|▏         | 61/2780 [05:00<3:35:08,  4.75s/it]
  2%|▏         | 62/2780 [05:04<3:27:03,  4.57s/it]
  2%|▏         | 63/2780 [05:09<3:35:52,  4.77s/it]
  2%|▏         | 64/2780 [05:15<3:50:09,  5.08s/it]
  2%|▏         | 65/2780 [05:18<3:14:27,  4.30s/it]
  2%|▏         | 66/2780 [05:24<3:40:38,  4.88s/it]
  2%|▏         | 67/2780 [05:28<3:31:33,  4.68s/it]
  2%|▏         | 68/2780 [05:32<3:22:39,  4.48s/it]
  2%|▏         | 69/2780 [05:38<3:45:47,  5.00s/it]
  3%|▎         | 70/2780 [05:44<4:02:54,  5.38s/it]
                                                   
  3%|▎         | 70/2780 [05:44<4:02:54,  5.38s/it]
  3%|▎         | 71/2780 [05:51<4:12:03,  5.58s/it]
  3%|▎         | 72/2780 [05:55<3:50:32,  5.11s/it]
  3%|▎         | 73/2780 [05:57<3:19:05,  4.41s/it]
  3%|▎         | 74/2780 [06:02<3:28:13,  4.62s/it]
  3%|▎         | 75/2780 [06:07<3:26:45,  4.59s/it]
  3%|▎         | 76/2780 [06:13<3:48:20,  5.07s/it]
  3%|▎         | 77/2780 [06:19<3:55:39,  5.23s/it]
  3%|▎         | 78/2780 [06:24<3:54:43,  5.21s/it]
  3%|▎         | 79/2780 [06:28<3:41:31,  4.92s/it]
  3%|▎         | 80/2780 [06:33<3:43:08,  4.96s/it]
                                                   
  3%|▎         | 80/2780 [06:33<3:43:08,  4.96s/it]
  3%|▎         | 81/2780 [06:37<3:33:24,  4.74s/it]
  3%|▎         | 82/2780 [06:43<3:41:42,  4.93s/it]
  3%|▎         | 83/2780 [06:46<3:13:08,  4.30s/it]
  3%|▎         | 84/2780 [06:51<3:34:26,  4.77s/it]
  3%|▎         | 85/2780 [06:56<3:37:00,  4.83s/it]
  3%|▎         | 86/2780 [07:03<3:56:57,  5.28s/it]
  3%|▎         | 87/2780 [07:07<3:41:14,  4.93s/it]
  3%|▎         | 88/2780 [07:10<3:14:32,  4.34s/it]
  3%|▎         | 89/2780 [07:15<3:20:40,  4.47s/it]
  3%|▎         | 90/2780 [07:20<3:32:57,  4.75s/it]
                                                   
  3%|▎         | 90/2780 [07:20<3:32:57,  4.75s/it]
  3%|▎         | 91/2780 [07:25<3:38:43,  4.88s/it]
  3%|▎         | 92/2780 [07:29<3:26:52,  4.62s/it]
  3%|▎         | 93/2780 [07:34<3:27:08,  4.63s/it]
  3%|▎         | 94/2780 [07:38<3:20:11,  4.47s/it]
  3%|▎         | 95/2780 [07:43<3:23:31,  4.55s/it]
  3%|▎         | 96/2780 [07:48<3:28:58,  4.67s/it]
  3%|▎         | 97/2780 [07:53<3:35:44,  4.82s/it]
  4%|▎         | 98/2780 [07:59<3:54:40,  5.25s/it]
  4%|▎         | 99/2780 [08:05<4:08:18,  5.56s/it]
  4%|▎         | 100/2780 [08:10<3:59:17,  5.36s/it]
                                                    
  4%|▎         | 100/2780 [08:10<3:59:17,  5.36s/it]
  4%|▎         | 101/2780 [08:15<3:49:00,  5.13s/it]
  4%|▎         | 102/2780 [08:19<3:34:26,  4.80s/it]
  4%|▎         | 103/2780 [08:22<3:12:23,  4.31s/it]
  4%|▎         | 104/2780 [08:26<3:07:33,  4.21s/it]
  4%|▍         | 105/2780 [08:30<3:10:36,  4.28s/it]
  4%|▍         | 106/2780 [08:37<3:37:21,  4.88s/it]
  4%|▍         | 107/2780 [08:43<3:53:21,  5.24s/it]
  4%|▍         | 108/2780 [08:48<3:49:35,  5.16s/it]
  4%|▍         | 109/2780 [08:52<3:34:41,  4.82s/it]
  4%|▍         | 110/2780 [08:58<3:54:29,  5.27s/it]
                                                    
  4%|▍         | 110/2780 [08:58<3:54:29,  5.27s/it]
  4%|▍         | 111/2780 [09:03<3:50:42,  5.19s/it]
  4%|▍         | 112/2780 [09:08<3:39:48,  4.94s/it]
  4%|▍         | 113/2780 [09:11<3:26:01,  4.63s/it]
  4%|▍         | 114/2780 [09:17<3:43:58,  5.04s/it]
  4%|▍         | 115/2780 [09:24<4:00:37,  5.42s/it]
  4%|▍         | 116/2780 [09:29<3:58:55,  5.38s/it]
  4%|▍         | 117/2780 [09:35<4:10:17,  5.64s/it]
  4%|▍         | 118/2780 [09:41<4:14:34,  5.74s/it]
  4%|▍         | 119/2780 [09:46<4:04:27,  5.51s/it]
  4%|▍         | 120/2780 [09:52<4:09:37,  5.63s/it]
                                                    
  4%|▍         | 120/2780 [09:52<4:09:37,  5.63s/it]
  4%|▍         | 121/2780 [09:57<3:58:43,  5.39s/it]
  4%|▍         | 122/2780 [10:03<4:11:25,  5.68s/it]
  4%|▍         | 123/2780 [10:10<4:18:59,  5.85s/it]
  4%|▍         | 124/2780 [10:16<4:24:27,  5.97s/it]
  4%|▍         | 125/2780 [10:20<3:58:11,  5.38s/it]
  5%|▍         | 126/2780 [10:25<3:55:12,  5.32s/it]
  5%|▍         | 127/2780 [10:31<4:07:16,  5.59s/it]
  5%|▍         | 128/2780 [10:37<4:12:39,  5.72s/it]
  5%|▍         | 129/2780 [10:43<4:20:07,  5.89s/it]
  5%|▍         | 130/2780 [10:49<4:21:30,  5.92s/it]
                                                    
  5%|▍         | 130/2780 [10:49<4:21:30,  5.92s/it]
  5%|▍         | 131/2780 [10:56<4:26:01,  6.03s/it]
  5%|▍         | 132/2780 [11:01<4:14:30,  5.77s/it]
  5%|▍         | 133/2780 [11:05<3:51:51,  5.26s/it]
  5%|▍         | 134/2780 [11:10<3:45:25,  5.11s/it]
  5%|▍         | 135/2780 [11:16<4:00:20,  5.45s/it]
  5%|▍         | 136/2780 [11:22<4:10:22,  5.68s/it]
  5%|▍         | 137/2780 [11:27<3:56:42,  5.37s/it]
  5%|▍         | 138/2780 [11:32<3:53:25,  5.30s/it]
  5%|▌         | 139/2780 [11:36<3:33:58,  4.86s/it]
  5%|▌         | 140/2780 [11:41<3:38:42,  4.97s/it]
                                                    
  5%|▌         | 140/2780 [11:41<3:38:42,  4.97s/it]
  5%|▌         | 141/2780 [11:45<3:25:44,  4.68s/it]
  5%|▌         | 142/2780 [11:47<2:51:54,  3.91s/it]
  5%|▌         | 143/2780 [11:52<3:00:50,  4.11s/it]
  5%|▌         | 144/2780 [11:57<3:14:34,  4.43s/it]
  5%|▌         | 145/2780 [12:03<3:35:50,  4.91s/it]
  5%|▌         | 146/2780 [12:09<3:53:20,  5.32s/it]
  5%|▌         | 147/2780 [12:14<3:45:07,  5.13s/it]
  5%|▌         | 148/2780 [12:20<3:52:03,  5.29s/it]
  5%|▌         | 149/2780 [12:24<3:39:47,  5.01s/it]
  5%|▌         | 150/2780 [12:30<3:48:23,  5.21s/it]
                                                    
  5%|▌         | 150/2780 [12:30<3:48:23,  5.21s/it]
  5%|▌         | 151/2780 [12:36<4:01:54,  5.52s/it]
  5%|▌         | 152/2780 [12:39<3:32:17,  4.85s/it]
  6%|▌         | 153/2780 [12:45<3:50:12,  5.26s/it]
  6%|▌         | 154/2780 [12:52<4:03:18,  5.56s/it]
  6%|▌         | 155/2780 [12:58<4:12:40,  5.78s/it]
  6%|▌         | 156/2780 [13:03<3:58:54,  5.46s/it]
  6%|▌         | 157/2780 [13:09<4:06:28,  5.64s/it]
  6%|▌         | 158/2780 [13:15<4:14:02,  5.81s/it]
  6%|▌         | 159/2780 [13:19<3:57:03,  5.43s/it]
  6%|▌         | 160/2780 [13:24<3:48:54,  5.24s/it]
                                                    
  6%|▌         | 160/2780 [13:24<3:48:54,  5.24s/it]
  6%|▌         | 161/2780 [13:31<4:02:09,  5.55s/it]
  6%|▌         | 162/2780 [13:36<3:57:15,  5.44s/it]
  6%|▌         | 163/2780 [13:40<3:40:13,  5.05s/it]
  6%|▌         | 164/2780 [13:46<3:50:42,  5.29s/it]
  6%|▌         | 165/2780 [13:52<3:59:56,  5.51s/it]
  6%|▌         | 166/2780 [13:56<3:42:59,  5.12s/it]
  6%|▌         | 167/2780 [13:58<3:08:57,  4.34s/it]
  6%|▌         | 168/2780 [14:02<3:05:00,  4.25s/it]
  6%|▌         | 169/2780 [14:09<3:28:29,  4.79s/it]
  6%|▌         | 170/2780 [14:14<3:32:55,  4.89s/it]
                                                    
  6%|▌         | 170/2780 [14:14<3:32:55,  4.89s/it]
  6%|▌         | 171/2780 [14:19<3:36:09,  4.97s/it]
  6%|▌         | 172/2780 [14:24<3:33:50,  4.92s/it]
  6%|▌         | 173/2780 [14:30<3:46:49,  5.22s/it]
  6%|▋         | 174/2780 [14:35<3:45:59,  5.20s/it]
  6%|▋         | 175/2780 [14:39<3:33:58,  4.93s/it]
  6%|▋         | 176/2780 [14:45<3:50:43,  5.32s/it]
  6%|▋         | 177/2780 [14:50<3:48:39,  5.27s/it]
  6%|▋         | 178/2780 [14:56<3:46:59,  5.23s/it]
  6%|▋         | 179/2780 [15:02<3:59:48,  5.53s/it]
  6%|▋         | 180/2780 [15:07<3:50:14,  5.31s/it]
                                                    
  6%|▋         | 180/2780 [15:07<3:50:14,  5.31s/it]
  7%|▋         | 181/2780 [15:11<3:37:19,  5.02s/it]
  7%|▋         | 182/2780 [15:17<3:52:51,  5.38s/it]
  7%|▋         | 183/2780 [15:23<4:04:03,  5.64s/it]
  7%|▋         | 184/2780 [15:26<3:30:53,  4.87s/it]
  7%|▋         | 185/2780 [15:33<3:48:46,  5.29s/it]
