dataname,auditor_idx,vulnerability,function_name
2018-13703,0,Timestamp Dependency,transfer
2018-13703,0,Block Number Dependency,transfer
2018-13703,0,Arithmetic Overflow/Underflow,transfer
2018-13703,0,Timestamp Dependency,setIcoStatus
2018-13703,0,Block Number Dependency,setIcoStatus
2018-13703,0,Arithmetic Overflow/Underflow,setIcoStatus
2018-13703,0,Arithmetic Overflow/Underflow,mintToken
2018-13703,0,Timestamp Dependency,mintToken
2018-13703,0,Block Number Dependency,mintToken
2018-13703,0,Arithmetic Overflow/Underflow,freezeAccount
2018-13703,0,Timestamp Dependency,freezeAccount
2018-13703,0,Block Number Dependency,freezeAccount
2018-13703,0,External Call to Untrusted Ether Amount,transfer
2018-13703,0,Arithmetic Overflow/Underflow,transfer
2018-13703,0,Block Number Dependency,transfer
2018-13703,0,Timestamp Dependency,transfer
2018-13703,0,Arithmetic Overflow/Underflow,sellOffline
2018-13703,0,Timestamp Dependency,sellOffline
2018-13703,0,Block Number Dependency,sellOffline
2018-13703,0,Arithmetic Overflow/Underflow,sellOffline
2018-13703,0,Arithmetic Overflow/Underflow,mintToken
2018-13703,0,Timestamp Dependency,mintToken
2018-13703,0,Block Number Dependency,mintToken
2018-13703,0,Arithmetic Overflow/Underflow,freezeAccount
2018-13703,0,Timestamp Dependency,freezeAccount
2018-13703,0,Block Number Dependency,freezeAccount
2018-13703,0,Arithmetic Overflow/Underflow,transfer
2018-13703,0,Block Number Dependency,transfer
2018-13703,0,Timestamp Dependency,transfer
2018-13703,0,Arithmetic Overflow/Underflow,sellOffline
2018-13703,0,Timestamp Dependency,sellOffline
2018-13703,0,Block Number Dependency,sellOffline
2018-13703,0,Arithmetic Overflow/Underflow,sellOffline
