dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,integer overflow,approve,0,False
CVE-2018-13722,integer overflow,addApproval,0,False
CVE-2018-13722,integer overflow,transfer,0,False
CVE-2018-13722,integer overflow,transferFrom,0,False
CVE-2018-13722,integer overflow,subApproval,0,False
CVE-2018-13326,Integer overflow,transfer,0,False
CVE-2018-17968,dangerous delegatecall,enter,0,False
CVE-2018-17968,delegatecall vulnerability,executeRoom,0,False
CVE-2018-17968,ether frozen,distributeFunds,0,False
CVE-2018-17968,ether frozen,refundPlayersInRoom,0,False
CVE-2018-13132,Unrestricted Access to Set Migration Agent,SPXToken.setMigrationAgent,0,False
CVE-2018-13132,Potential Reentrancy Attack,SPXToken.migrate,0,False
CVE-2018-13128,Integer overflow,transfer,0,False
CVE-2018-13128,User controlled delegatecall,transfer,0,False
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-13777,Arithmetic Overflow,transfer,0,False
CVE-2018-13777,Timestamp Dependency,setExpiry,0,False
CVE-2018-12062,dangerous delegatecall,transfer,0,False
CVE-2018-12062,integer overflow,transfer,0,False
CVE-2018-12062,ether frozen,setCode,0,False
CVE-2018-17071,Unrestricted Selfdestruct,stopGame,0,False
CVE-2018-12083,Ether frozen,callCode,0,False
CVE-2018-12083,dangerous delegatecall,transfer,0,False
CVE-2018-12083,ether frozen,transfer,0,False
CVE-2018-14001,integer overflow,batchTransfer,0,False
CVE-2018-14001,integer overflow,trade,0,False
CVE-2018-13208,Arithmetic Overflow/Underflow,approveAndCall,0,False
CVE-2018-13208,External Call to Unhandled Externals,selfdestruct,0,False
CVE-2018-13208,Integer Overflow,transferFrom,0,False
CVE-2018-13208,Arithmetic Overflow/Underflow,approve,0,False
CVE-2018-13208,External Call to Unhandled Externals,setCode,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13325,timestamp dependency,transfer,0,False
CVE-2018-13325,ether frozen,withdraw,0,False
CVE-2018-13325,unchecked external call,withdraw,0,False
CVE-2018-13325,timestamp dependency,withdraw,0,False
CVE-2018-13325,integer overflow,withdraw,0,False
CVE-2018-13325,integer overflow,transfer,0,False
CVE-2018-13325,unchecked external call,transferFrom,0,False
CVE-2018-13325,unchecked external call,approveAndCall,0,False
CVE-2018-13325,ether frozen,transfer,0,False
CVE-2018-13129,integer overflow,transfer,0,False
CVE-2018-13129,dangerous type inheritance,transfer,0,False
CVE-2018-13129,integer overflow,withdraw,0,False
CVE-2018-13129,unchecked external call,withdraw,0,False
CVE-2018-13129,dangerous delegatecall,withdraw,0,False
CVE-2018-12702,Reentrancy,transfer,0,False
CVE-2018-12702,Timestamp Dependency,mint,0,False
CVE-2018-12702,Timestamp Dependency,setPrices,0,False
CVE-2020-17753,dangerous delegatecall,buyTokens,0,False
CVE-2020-17753,ether frozen,withdrawTokens,0,False
CVE-2020-17753,dangerous delegatecall,buyTokensFor,0,False
CVE-2020-17753,ether frozen,withdraw,0,False
CVE-2020-17753,ether frozen,refundEther,0,False
CVE-2020-17753,ether frozen,releaseTokensTo,0,False
CVE-2018-12230,integer overflow,mintToken,0,False
CVE-2018-12230,dangerous delegatecall,mintToken,0,False
CVE-2018-12703,Timestamp Dependency,transfer,0,False
CVE-2018-12703,Timestamp Dependency,setPrices,0,False
CVE-2018-12703,Reentrancy,transfer,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-18425,integer overflow/underflow,buy,0,False
CVE-2018-18425,integer overflow/underflow,transfer,0,False
CVE-2018-18425,integer overflow/underflow,setExpiry,0,False
CVE-2018-18425,integer overflow/underflow,sell,0,False
CVE-2018-17050,integer overflow,transfer,0,False
CVE-2018-14006,Arithmetic overflow,transfer,0,False
CVE-2018-14006,Integer overflow,transfer,0,False
CVE-2018-14006,Reentrancy,approve,0,False
CVE-2018-10468,unhandled revert,withdrawForeignTokens,0,False
CVE-2018-13075,integer overflow,transfer,0,False
CVE-2018-13075,ether strict equality,transfer,0,False
CVE-2018-13075,dangerous delegatecall,transfer,0,False
CVE-2018-11561,dangerous delegatecall,transfer,0,False
CVE-2018-11561,ether frozen,transfer,0,False
CVE-2018-10666,Arithmetic Overflow,transfer,0,False
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-13076,reentrancy,transfer,0,False
CVE-2018-13076,dangerous delegatecall,transfer,0,False
CVE-2018-13076,integer overflow,transfer,0,False
CVE-2018-13131,dangerous delegatecall,withdraw,0,False
CVE-2018-13131,integer overflow,withdraw,0,False
CVE-2018-13131,integer overflow,setController,0,False
CVE-2018-13131,dangerous delegatecall,transfer,0,False
CVE-2018-13131,integer overflow,transfer,0,False
CVE-2018-10705,unchecked external call,transfer,0,False
CVE-2018-10705,reentrancy,transfer,0,False
CVE-2018-17877,Reentrancy,buyHeart,0,False
CVE-2018-17877,Reentrancy,win,0,False
CVE-2018-13081,dangerous delegatecall,transfer,0,False
CVE-2018-13081,integer overflow/underflow,transfer,0,False
CVE-2018-13071,integer overflow,transfer,0,False
CVE-2018-13071,dangerous delegatecall,transfer,0,False
CVE-2018-13071,block number dependency,setOwner,0,False
CVE-2018-13072,ether frozen,buy,0,False
CVE-2018-13072,dangerous delegatecall,transfer,0,False
CVE-2018-13088,Arithmetic overflow,transfer,0,False
CVE-2018-13088,Integer overflow,transfer,0,False
CVE-2018-13533,dangerous delegatecall,withdraw,0,False
CVE-2018-13533,insufficient validation of transfer amount,transfer,0,False
CVE-2021-34273,External Call Dependency,setMessage,0,False
CVE-2021-34273,Reentrancy,transfer,0,False
CVE-2021-34273,Timestamp Dependency,transfer,0,False
CVE-2018-10299,integer overflow,transfer,0,False
CVE-2018-10299,ether frozen,transfer,0,False
CVE-2018-10299,integer overflow,transferFrom,0,False
CVE-2018-10299,integer overflow,increaseAllowance,0,False
CVE-2018-10299,dangerous delegatecall,transfer,0,False
CVE-2018-10299,integer overflow,batchTransfer,0,False
CVE-2018-10299,integer overflow,decreaseAllowance,0,False
CVE-2018-13670,ether frozen,transfer,0,False
CVE-2018-13670,dangerous delegatecall,transfer,0,False
CVE-2018-10376,Timestamp Dependency,approveProxy,0,False
CVE-2018-10376,Timestamp Dependency,transferProxy,0,False
CVE-2021-33403,block number dependency,migrate,0,False
CVE-2018-14003,Reentrancy,batchTransfer,0,False
CVE-2018-11429,integer overflow,withdraw,0,False
CVE-2018-11429,integer overflow,transfer,0,False
CVE-2018-11429,dangerous delegatecall,withdraw,0,False
CVE-2018-13070,integer overflow,setExpiry,0,False
CVE-2018-13070,dangerous delegatecall,transfer,0,False
CVE-2018-13070,integer overflow,transfer,0,False
CVE-2018-13073,integer overflow,setContractAddress,0,False
CVE-2018-13073,timestamp dependency,buy,0,False
CVE-2018-13073,integer overflow,transfer,0,False
CVE-2018-13073,timestamp dependency,transfer,0,False
CVE-2018-13073,timestamp dependency,setContractAddress,0,False
CVE-2018-14715,integer overflow,transferFrom,0,False
CVE-2018-14715,integer overflow,transfer,0,False
CVE-2018-14715,integer overflow,approve,0,False
CVE-2018-12885,dangerous delegatecall,withdrawToAddress,0,False
CVE-2018-12885,dangerous delegatecall,createChamp,0,False
CVE-2018-12885,dangerous delegatecall,triggerPause,0,False
CVE-2018-12885,dangerous delegatecall,withdrawChamp,0,False
CVE-2018-13084,unchecked external call,transfer,0,False
CVE-2018-13084,reentrancy,transfer,0,False
CVE-2018-13084,integer overflow,transfer,0,False
CVE-2018-13079,integer overflow/underflow,buy,0,False
CVE-2018-13079,unchecked external call,transfer,0,False
CVE-2018-13079,integer overflow/underflow,setPrices,0,False
CVE-2018-13079,integer overflow/underflow,sell,0,False
CVE-2021-3006,Reentrancy,withdraw,0,False
CVE-2018-14086,Critical Dependency,mintToken,0,False
CVE-2018-14086,Access Control,freezeAccount,0,False
CVE-2018-14086,Critical Dependency,transfer,0,False
CVE-2018-14086,Arithmetic Overflow/Underflow,sell,0,False
CVE-2018-14086,Arithmetic Overflow/Underflow,buy,0,False
CVE-2018-19833,integer overflow/underflow,addOrder,0,False
CVE-2018-19833,integer overflow/underflow,setPrices,0,False
CVE-2018-19833,ether frozen,transfer,0,False
CVE-2018-19833,integer overflow/underflow,cancelOrder,0,False
CVE-2018-14089,Integer overflow,setICORatio,0,False
CVE-2018-14089,Integer overflow,transferFrom,0,False
CVE-2018-14089,Integer overflow,transfer,0,False
CVE-2018-14089,Integer overflow,approve,0,False
CVE-2018-14089,Integer overflow,setAIRDROPBounce,0,False
CVE-2018-14089,Integer overflow,setMINfinney,0,False
CVE-2018-14089,Integer overflow,burn,0,False
CVE-2018-15552,unchecked external call,PayWinner,0,False
CVE-2018-15552,unchecked external call,withdraw,0,False
CVE-2019-15078,timestamp dependency,withdraw,0,False
CVE-2018-13085,integer overflow,withdraw,0,False
CVE-2018-13085,integer overflow,transfer,0,False
CVE-2018-13085,dangerous delegatecall,withdraw,0,False
CVE-2018-13085,dangerous delegatecall,transfer,0,False
CVE-2018-13085,unchecked external call,transfer,0,False
CVE-2018-13085,unchecked external call,withdraw,0,False
CVE-2018-14063,Unprotected ownership transfer,transferOwnership,0,False
CVE-2018-14063,Unprotected approval,decreaseApproval,0,False
CVE-2018-14063,Integer overflow,transferFrom,0,False
CVE-2018-14063,Integer overflow,transfer,0,False
CVE-2018-14063,Unprotected approval,approve,0,False
CVE-2018-14063,Unprotected approval,increaseApproval,0,False
CVE-2018-13087,integer overflow/underflow,setExpiry,0,False
CVE-2018-13087,integer overflow/underflow,transfer,0,False
CVE-2018-13087,dangerous raw call,transfer,0,False
CVE-2018-13087,raw bytes vulnerability,setExpiry,0,False
CVE-2018-12070,integer overflow,withdraw,0,False
CVE-2018-12070,integer overflow,setOwner,0,False
CVE-2018-12070,ether strict equality,transfer,0,False
CVE-2018-12070,dangerous delegatecall,transfer,0,False
CVE-2018-12070,integer overflow,transfer,0,False
CVE-2018-12070,dangerous delegatecall,withdraw,0,False
CVE-2018-13698,external dependency,setCode,0,False
CVE-2018-13698,dangerous delegatecall,transfer,0,False
CVE-2018-10706,Arithmetic overflow,withdraw,0,False
CVE-2018-10706,Arithmetic overflow,transfer,0,False
CVE-2019-15079,Reentrancy,burnFrom,0,False
CVE-2019-15079,Reentrancy,withdraw,0,False
CVE-2019-15079,Reentrancy,transfer,0,False
CVE-2019-15079,Reentrancy,burn,0,False
CVE-2018-14087,block number dependency,setOwner,0,False
CVE-2018-14087,timestamp dependency,set,0,False
CVE-2018-14087,timestamp dependency,setOwner,0,False
CVE-2018-14087,integer overflow,transfer,0,False
CVE-2018-14087,timestamp dependency,get,0,False
CVE-2018-14087,timestamp dependency,transfer,0,False
CVE-2018-12067,integer overflow,transfer,0,False
CVE-2018-12067,dangerous type conversions,transfer,0,False
CVE-2018-12067,dangerous delegatecall,setCode,0,False
CVE-2021-34272,integer overflow,transfer,0,False
CVE-2021-34272,dangerous delegatecall,transfer,0,False
CVE-2021-34272,ether frozen,withdraw,0,False
CVE-2018-13703,Timestamp Dependency,sellOffline,0,False
CVE-2018-13703,Arithmetic Overflow/Underflow,transfer,0,False
CVE-2018-13703,Block Number Dependency,sellOffline,0,False
CVE-2018-13703,Block Number Dependency,setIcoStatus,0,False
CVE-2018-13703,External Call to Untrusted Ether Amount,transfer,0,False
CVE-2018-13703,Arithmetic Overflow/Underflow,mintToken,0,False
CVE-2018-13703,Timestamp Dependency,transfer,0,False
CVE-2018-13703,Arithmetic Overflow/Underflow,freezeAccount,0,False
CVE-2018-13703,Arithmetic Overflow/Underflow,setIcoStatus,0,False
CVE-2018-13703,Block Number Dependency,transfer,0,False
CVE-2018-13703,Timestamp Dependency,mintToken,0,False
CVE-2018-13703,Block Number Dependency,freezeAccount,0,False
CVE-2018-13703,Block Number Dependency,mintToken,0,False
CVE-2018-13703,Arithmetic Overflow/Underflow,sellOffline,0,False
CVE-2018-13703,Timestamp Dependency,setIcoStatus,0,False
CVE-2018-13703,Timestamp Dependency,freezeAccount,0,False
CVE-2018-13069,ether strict equality,transfer,0,False
CVE-2018-13069,external dependency vulnerability,setCode,0,False
