dataname,auditor_idx,vulnerability,function_name
2018-14006,0,Timestamp dependency,transfer
2018-14006,0,Block number dependency,transfer
2018-14006,0,Critical delegatecall,transfer
2018-14006,0,Arbitrary call: unknown target,approveAndCall
2018-14006,0,Arbitrary call: unknown target,transfer
2018-14006,0,Double spend vulnerability,approve
2018-14006,0,Double spend vulnerability,transfer
2018-14006,0,Arbitrary call: unknown target,withdraw
2018-14006,0,Return value not checked,transfer
2018-14006,0,Arbitrary call: unknown target,transfer
2018-14006,0,Arbitrary delegatecall,approveAndCall
2018-14006,0,Arbitrary delegatecall,transfer
2018-14006,0,Arbitrary delegatecall,approveAndCall
2018-14006,0,Arbitrary delegatecall,transfer
