dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13326,Critical Ether Balance,transfer,0,False
CVE-2018-13326,Critical Ether Balance,withdraw,0,False
CVE-2018-17968,Delegate Call vulnerability,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Delegate Call vulnerability,payout,0,False
CVE-2018-17968,Delegate Call vulnerability,executeRoom,0,False
CVE-2018-13132,Timestamp Dependency,buyTokens,0,False
CVE-2018-13132,Block Number Dependency,buyTokens,0,False
CVE-2018-13128,unchecked external call,transferFrom,0,False
CVE-2018-13128,timestamp dependency,transfer,0,False
CVE-2018-13128,unchecked external call,transfer,0,False
CVE-2018-13128,integer overflow,approve,0,False
CVE-2018-13128,integer overflow,transfer,0,False
CVE-2018-13777,Unrestricted Transfer Ownership,transferOwnership,0,False
CVE-2018-13777,Arbitrary delegatecall vulnerability,approveAndCall,0,False
CVE-2018-13777,Arbitrary delegatecall vulnerability,approve,0,False
CVE-2018-13777,Delegatecall vulnerability,transferFrom,0,False
CVE-2018-13777,Delegatecall vulnerability,transfer,0,False
CVE-2018-12062,Arithmetic Overflow/Underflow,transferFrom,0,False
CVE-2018-12062,Arithmetic Overflow/Underflow,buy,0,False
CVE-2018-12062,Reentrancy,approve,0,False
CVE-2018-12062,Reentrancy,approveAndCall,0,False
CVE-2018-12062,Arithmetic Overflow/Underflow,sell,0,False
CVE-2018-17071,Delegatecall vulnerability,lucky9io,0,False
CVE-2018-17071,Delegatecall vulnerability,stopGame,0,False
CVE-2018-12083,unchecked external call,approve,0,False
CVE-2018-12083,unchecked external call,transferFrom,0,False
CVE-2018-12083,unchecked external call,approveAndCall,0,False
CVE-2018-12083,unchecked external call,burnFrom,0,False
CVE-2018-12083,unchecked external call,transfer,0,False
CVE-2018-12083,unchecked external call,burn,0,False
CVE-2018-14001,unchecked external call,buyback,0,False
CVE-2018-14001,unchecked external call,transfer,0,False
CVE-2018-13208,Block number dependency,buy,0,False
CVE-2018-13208,Timestamp dependency,transfer,0,False
CVE-2018-13208,Block number dependency,transfer,0,False
CVE-2018-13325,Block number dependency,transfer,0,False
CVE-2018-13325,Timestamp dependency,transfer,0,False
CVE-2018-13129,dangerous delegatecall,setMigrationMaster,0,False
CVE-2018-13129,dangerous delegatecall,migrate,0,False
CVE-2018-13129,dangerous delegatecall,setMigrationAgent,0,False
CVE-2018-12702,Ether strict equality,withdraw,0,False
CVE-2018-12702,Ether strict equality,transfer,0,False
CVE-2020-17753,Reentrancy,giveToken,0,False
CVE-2020-17753,Reentrancy,takeEther,0,False
CVE-2020-17753,Reentrancy,forward,0,False
CVE-2020-17753,Arithmetic Overflow,claimTokenBonus,0,False
CVE-2020-17753,Delegatecall Dependency,buyFromRC,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Ether strict equality,withdraw,0,False
CVE-2018-12703,Block number dependency,transfer,0,False
CVE-2018-12703,Critical Ether balance,transfer,0,False
CVE-2018-14085,Arbitrary Code Execution,delegatecall,0,False
CVE-2018-14085,Evil Delegate,transfer,0,False
CVE-2018-18425,Integer Overflow,sell,0,False
CVE-2018-18425,Arithmetic Overflow/Underflow,sell,0,False
CVE-2018-17050,Arithmetic operation vulnerability,transferFrom,0,False
CVE-2018-17050,Arithmetic operation vulnerability,transfer,0,False
CVE-2018-17050,Arithmetic operation vulnerability,approveAndCall,0,False
CVE-2018-17050,Arithmetic operation vulnerability,mintToken,0,False
CVE-2018-17050,Arithmetic operation vulnerability,approve,0,False
CVE-2018-17050,Arithmetic operation vulnerability,freezeAccount,0,False
CVE-2018-14006,Timestamp dependency,transfer,0,False
CVE-2018-14006,Arbitrary call: unknown target,transfer,0,False
CVE-2018-14006,Block number dependency,transfer,0,False
CVE-2018-14006,Double spend vulnerability,transfer,0,False
CVE-2018-14006,Double spend vulnerability,approve,0,False
CVE-2018-14006,Arbitrary delegatecall,approveAndCall,0,False
CVE-2018-14006,Arbitrary call: unknown target,withdraw,0,False
CVE-2018-14006,Critical delegatecall,transfer,0,False
CVE-2018-14006,Arbitrary delegatecall,transfer,0,False
CVE-2018-14006,Arbitrary call: unknown target,approveAndCall,0,False
CVE-2018-14006,Return value not checked,transfer,0,False
CVE-2018-10468,Ether Strict Equality,transfer,0,False
CVE-2018-10468,Arithmetic vulnerability,balanceOf,0,False
CVE-2018-13075,Ether strict equality,buy,0,False
CVE-2018-13075,Block number dependency,setPrices,0,False
CVE-2018-13075,Block reward attack,mintToken,0,False
CVE-2018-13075,Integer overflow,setMinBalance,0,False
CVE-2018-13075,Blocking operations,destruct,0,False
CVE-2018-13075,Block number dependency,setTokenName,0,False
CVE-2018-13075,Block number dependency,setTokenSymbol,0,False
CVE-2018-13075,Integer overflow,sell,0,False
CVE-2018-11561,Arbitrary Reward,distributeToken,0,False
CVE-2018-10666,Arithmetic operation vulnerability,transfer,0,False
CVE-2018-10666,Token balance is not updated,transfer,0,False
CVE-2018-10666,Timestamp dependency,transfer,0,False
CVE-2018-10666,Block number dependency,transfer,0,False
CVE-2018-13076,timestamp dependency,approve,0,False
CVE-2018-13076,timestamp dependency,buy,0,False
CVE-2018-13076,timestamp dependency,transferFrom,0,False
CVE-2018-13076,unchecked external call,transfer,0,False
CVE-2018-13076,unchecked external call,approveAndCall,0,False
CVE-2018-13076,timestamp dependency,withdrawToOwner,0,False
CVE-2018-13076,timestamp dependency,setBuyRate,0,False
CVE-2018-13076,timestamp dependency,setSelling,0,False
CVE-2018-13076,unchecked external call,approve,0,False
CVE-2018-13076,integer overflow,transfer,0,False
CVE-2018-13076,timestamp dependency,approveAndCall,0,False
CVE-2018-13076,unchecked external call,transferFrom,0,False
CVE-2018-13131,timestamp dependency,mint,0,False
CVE-2018-13131,ether strict equality,transfer,0,False
CVE-2018-13131,timestamp dependency,transfer,0,False
CVE-2018-10705,Arithmetic operation vulnerability,transfer,0,False
CVE-2018-10705,Arithmetic operation vulnerability,approve,0,False
CVE-2018-10705,Arithmetic operation vulnerability,transferFrom,0,False
CVE-2018-17877,Critical permissions vulnerability,win,0,False
CVE-2018-17877,Critical permissions vulnerability,transferOwnership,0,False
CVE-2018-17877,Critical permissions vulnerability,withdrawOwner,0,False
CVE-2018-13081,integer overflow,approve,0,False
CVE-2018-13081,unchecked external call,transfer,0,False
CVE-2018-13081,timestamp dependency,approve,0,False
CVE-2018-13081,timestamp dependency,transfer,0,False
CVE-2018-13081,integer overflow,transfer,0,False
CVE-2018-13071,Arithmetic Overflow/Underflow,transferFrom,0,False
CVE-2018-13071,Arithmetic Overflow/Underflow,transfer,0,False
CVE-2018-13072,unchecked external call,transfer,0,False
CVE-2018-13072,unchecked external call,approveAndCall,0,False
CVE-2018-13072,unchecked external call,transferFrom,0,False
CVE-2018-13072,integer overflow,approve,0,False
CVE-2018-13072,integer overflow,withdraw,0,False
CVE-2018-13072,unchecked external call,approve,0,False
CVE-2018-13072,timestamp dependency,timestamp dependency,0,False
CVE-2018-13072,block number dependency,block number dependency,0,False
CVE-2018-13088,unchecked external call,transfer,0,False
CVE-2018-13088,integer overflow,approve,0,False
CVE-2018-13533,Block Number Dependency,sell,0,False
CVE-2018-13533,Block Number Dependency,buy,0,False
CVE-2018-13533,Delegatecall to External Dependency,withdraw,0,False
CVE-2018-13533,Integer Overflow,transfer,0,False
CVE-2018-13533,Critical Ether Reentrancy,transfer,0,False
CVE-2018-13533,Reentrancy,transferFrom,0,False
CVE-2018-13533,Arithmetic Overflow/Underflow,approve,0,False
CVE-2021-34273,timestamp dependency,transfer,0,False
CVE-2021-34273,unchecked external call,sell,0,False
CVE-2021-34273,unchecked external call,withdraw,0,False
CVE-2021-34273,ether strict control,withdraw,0,False
CVE-2021-34273,ether strict control,sell,0,False
CVE-2018-10299,Block Number Dependency,buy,0,False
CVE-2018-10299,Timestamp Dependency,transfer,0,False
CVE-2018-10299,Block Number Dependency,transfer,0,False
CVE-2018-10299,Timestamp Dependency,buy,0,False
CVE-2018-10299,Reentrancy,transfer,0,False
CVE-2018-13670,unchecked external call,transfer,0,False
CVE-2018-13670,integer overflow,sell,0,False
CVE-2018-13670,integer overflow,buy,0,False
CVE-2018-10376,Ether Strict Equality,transfer,0,False
CVE-2018-10376,Delegatecall Dependency,transfer,0,False
CVE-2018-10376,Reentrancy,transfer,0,False
CVE-2018-10376,Rearg Dependency,transfer,0,False
CVE-2018-10376,Integer Overflow,transfer,0,False
CVE-2021-33403,ether balance dependency,approve,0,False
CVE-2021-33403,ether balance dependency,transferFrom,0,False
CVE-2021-33403,delegated arithmetic vulnerability,migrate,0,False
CVE-2021-33403,ether balance dependency,EtherBalanceOf,0,False
CVE-2021-33403,ether balance dependency,transfer,0,False
CVE-2021-33403,ether balance dependency,migrate,0,False
CVE-2018-14003,unchecked External Call,burn,0,False
CVE-2018-14003,Arbitrary Ether Approval,approve,0,False
CVE-2018-14003,Reentrancy,burnFrom,0,False
CVE-2018-14003,Integer Overflow,batchTransfer,0,True
CVE-2018-14003,Money Burn,transfer,0,False
CVE-2018-14003,Excessive Allowance,transferFrom,0,False
CVE-2018-14003,Unrestricted Ether Transfer,transferOwnership,0,False
CVE-2018-14003,Arithmetic Overflow/Underflow,batchTransfer,0,False
CVE-2018-11429,Blocked Ether,transfer,0,False
CVE-2018-11429,Blocked Ether,withdraw,0,False
CVE-2018-11429,Token lock,transfer,0,False
CVE-2018-13070,timestamp dependency,transfer,0,False
CVE-2018-13070,integer overflow,approve,0,False
CVE-2018-13070,integer overflow,transfer,0,False
CVE-2018-13073,allow freezing of accounts,freezeAccount,0,False
CVE-2018-13073,price manipulation,setPrices,0,False
CVE-2018-13073,unrestricted minting power,mintToken,0,False
CVE-2018-13073,buy price dependency,buy,0,False
CVE-2018-14715,Integer Overflow/Underflow,buyTokens,0,False
CVE-2018-12885,integer overflow,subAttack,0,False
CVE-2018-12885,integer overflow,getChampStats,0,False
CVE-2018-12885,integer overflow,subDefence,0,False
CVE-2018-13084,Ether strict equality,approve,0,False
CVE-2018-13084,Ether strict equality,burnFrom,0,False
CVE-2018-13084,Ether strict equality,burn,0,False
CVE-2018-13084,Reentrancy,transfer,0,False
CVE-2018-13084,Ether strict equality,transferFrom,0,False
CVE-2018-13084,Ether strict equality,buy,0,False
CVE-2018-13084,Ether strict equality,sell,0,False
CVE-2018-13079,Ether strict equality,transfer,0,False
CVE-2018-13079,Ether strict equality,sell,0,False
CVE-2021-3006,Reentrancy,sellToken,0,False
CVE-2021-3006,Block Number Dependency,sellToken,0,False
CVE-2021-3006,Timestamp Dependency,sellToken,0,False
CVE-2021-3006,Integer Overflow,sellToken,0,False
CVE-2021-3006,Arithmetic Overflow/Underflow,sellToken,0,False
CVE-2018-14086,Arithmetic Overflow/Underflow,transfer,0,False
CVE-2018-14086,Arithmetic Overflow/Underflow,withdraw,0,False
CVE-2018-19833,Integer Overflow,transfer,0,False
CVE-2018-14089,unchecked external call,withdraw,0,False
CVE-2018-14089,integer overflow,burn,0,False
CVE-2018-15552,Unrestricted Ether Withdrawal,withdraw,0,False
CVE-2019-15078,integer overflow,approve,0,False
CVE-2019-15078,dangerous delegatecall,getTokens,0,False
CVE-2019-15078,integer overflow,burn,0,False
CVE-2019-15078,integer overflow,distr,0,False
CVE-2019-15078,integer overflow,transferFrom,0,False
CVE-2019-15078,ether strict equality,transfer,0,False
CVE-2018-13085,Arithmetic Overflow/Underflow,sell,0,False
CVE-2018-13085,Unrestricted Ether Transfer,changeFree,0,False
CVE-2018-13085,Arithmetic Overflow/Underflow,buy,0,False
CVE-2018-14063,Block number dependency,transfer,0,False
CVE-2018-14063,Block number dependency,increaseApproval,0,False
CVE-2018-14063,Block number dependency,decreaseApproval,0,False
CVE-2018-14063,Ether strict equality,transfer,0,False
CVE-2018-14063,Block number dependency,approve,0,False
CVE-2018-14063,Block number dependency,transferFrom,0,False
CVE-2018-13087,unchecked external call,transfer,0,False
CVE-2018-13087,unchecked external call,sell,0,False
CVE-2018-13087,timestamp dependency,mintToken,0,False
CVE-2018-13087,timestamp dependency,freezeAccount,0,False
CVE-2018-13087,unchecked external call,buy,0,False
CVE-2018-13087,timestamp dependency,transferOwnership,0,False
CVE-2018-13087,timestamp dependency,setPrices,0,False
CVE-2018-13087,unchecked external call,approve,0,False
CVE-2018-12070,integer overflow,approveAndCall,0,False
CVE-2018-12070,timestamp dependency,transfer,0,False
CVE-2018-12070,integer overflow,burnFrom,0,False
CVE-2018-12070,integer overflow,burn,0,False
CVE-2018-12070,integer overflow,transfer,0,False
CVE-2018-12070,integer overflow,transferFrom,0,False
CVE-2018-12070,integer overflow,approve,0,False
CVE-2018-13698,Unrestricted Ether value,transfer,0,False
CVE-2018-13698,Arithmetic vulnerability,transferFrom,0,False
CVE-2018-13698,Unrestricted Ether value,mintTokens,0,False
CVE-2018-13698,Arithmetic vulnerability,approve,0,False
CVE-2018-10706,Strict dependency on integer overflow,approve,0,False
CVE-2018-10706,Ether balance exploitation,generateTokens,0,False
CVE-2018-10706,Ether balance exploitation,transfer,0,False
CVE-2019-15079,unchecked external call,transfer,0,False
CVE-2018-14087,unchecked external call,selfdestructs,0,False
CVE-2018-14087,unchecked external call,balanceOfa,0,False
CVE-2018-14087,unchecked external call,getEth,0,False
CVE-2018-12067,Timestamp Dependency,freezeAccount,0,False
CVE-2018-12067,Integer Overflow,buy,0,False
CVE-2018-12067,External Call,setPrices,0,False
CVE-2018-12067,Timestamp Dependency,mintToken,0,False
CVE-2018-12067,Integer Overflow,approve,0,False
CVE-2018-12067,Integer Overflow,transferFrom,0,False
CVE-2018-12067,Integer Overflow,sell,0,True
CVE-2018-12067,Integer Overflow,transfer,0,False
CVE-2021-34272,ether balance dependency,sell,0,False
CVE-2021-34272,unchecked external call,setExchange,0,False
CVE-2021-34272,integer overflow,setPrices,0,False
CVE-2021-34272,unsafeleave,mintToken,0,False
CVE-2021-34272,unchecked external call,freezeAccount,0,False
CVE-2018-13703,Integer Overflow,mintToken,0,True
CVE-2018-13703,Integer Overflow,transferFrom,0,False
CVE-2018-13703,Integer Overflow,freezeAccount,0,False
CVE-2018-13703,Critical Dependency,sellOffline,0,False
CVE-2018-13703,Wrong Logic,setTokenPrice,0,False
CVE-2018-13703,Unknown External Call,approveAndCall,0,False
CVE-2018-13703,Reentrancy,transferOwnership,0,False
CVE-2018-13703,Hardcoded Ether Value,setTransferStatus,0,False
CVE-2018-13703,Integer Overflow,burn,0,False
CVE-2018-13703,Wrong Logic,setEthRate,0,False
CVE-2018-13703,Integer Overflow,transfer,0,False
CVE-2018-13703,Integer Overflow,approveAndCall,0,False
CVE-2018-13703,Integer Overflow,burnFrom,0,False
CVE-2018-13703,Integer Overflow,approve,0,False
CVE-2018-13703,Critical Dependency,changeIcoStatus,0,False
CVE-2018-13069,Arithmetic Overflow,burn,0,False
CVE-2018-13069,Arithmetic Overflow,burnFrom,0,False
CVE-2018-13069,Unrestricted Ether Burn,transferOwnership,0,False
CVE-2018-13069,Arithmetic Overflow,sell,0,False
CVE-2018-13069,Front Running,transfer,0,False
CVE-2018-13069,Use of self-destruct,approveAndCall,0,False
CVE-2021-3004,Integer Overflow/Underflow,getRewardForDuration,0,False
CVE-2021-3004,Delegatecall to External Call,approve,0,False
CVE-2021-3004,Critical Ether Strict Equality,transfer,0,False
CVE-2021-3004,Reentrancy,exit,0,False
CVE-2021-3004,Delegatecall to External Call,transfer,0,False
CVE-2021-3004,Delegatecall to External Call,allowance,0,False
CVE-2021-3004,Delegatecall to External Call,transferFrom,0,False
CVE-2021-3004,Reentrancy,unstake,0,False
CVE-2021-3004,Reentrancy,stake,0,False
CVE-2021-3004,Reentrancy,getReward,0,False
CVE-2021-3004,Integer Overflow/Underflow,withdraw,0,False
CVE-2020-35962,Arithmetic operation vulnerability,sellToken,0,False
CVE-2018-13127,Token balance is frozen,transfer,0,False
CVE-2018-13041,Ether Strict Equality,withdraw,0,False
CVE-2018-13041,Unrestricted Ether Transfer,transfer,0,False
CVE-2018-13041,Frozen balance,transfer,0,False
CVE-2018-13041,Reentrancy,transfer,0,False
CVE-2018-13091,Arithmetic Overflow/Underflow,burnFrom,0,False
CVE-2018-13091,Arithmetic Overflow/Underflow,approve,0,False
CVE-2018-13091,Arithmetic Overflow/Underflow,approveAndCall,0,False
CVE-2018-13091,Arithmetic Overflow/Underflow,transfer,0,False
CVE-2018-13091,Arithmetic Overflow/Underflow,burn,0,False
CVE-2018-13091,Arithmetic Overflow/Underflow,transferFrom,0,False
CVE-2018-13091,Unrestricted Ether Value,mintToken,0,False
CVE-2018-12068,integer overflow,buy,0,False
CVE-2018-12068,integer overflow,approve,0,False
CVE-2018-12068,unchecked external call,transfer,0,False
CVE-2018-12068,unchecked external call,transferFrom,0,False
CVE-2018-12068,integer overflow,transfer,0,False
CVE-2018-12068,integer overflow,sell,0,False
CVE-2018-12068,unchecked external call,approveAndCall,0,False
CVE-2018-14084,Arithmetic vulnerability,transfer,0,False
CVE-2018-14084,Ether strict equality,transfer,0,False
CVE-2018-13327,Integer Overflow,transfer,0,False
CVE-2018-13327,Timestamp Dependency,transfer,0,False
CVE-2018-11411,Block reward vulnerability,distributeFUD,0,False
CVE-2018-17987,Arithmetic Overflow/Underflow,claimTile,0,False
CVE-2018-17987,Integer Overflow,claimTile,0,False
CVE-2018-12511,Unrestricted Price Manipulation,setPrices,0,False
CVE-2018-12511,Reentrancy,approveAndCall,0,False
CVE-2018-12511,Arithmetic Overflow/Underflow,buy,0,False
CVE-2018-12511,Reentrancy,approve,0,False
CVE-2018-12511,Arithmetic Overflow/Underflow,transferFrom,0,False
