dataname,vulnerability_csv1,function_name_csv1,match_csv1,true_answer_line_csv1,auditor_idx_csv1,vulnerability_csv2,function_name_csv2,match_csv2,true_answer_line_csv2,auditor_idx_csv2
CVE-2018-13208,Integer Overflow,sell,False,,0,Integer Overflow,sell,True,5.0,0.0
CVE-2018-17050,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-13076,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-13072,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-13533,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-13073,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-12511,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-13074,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-11239,Integer Overflow,_transfer,False,,0,Integer Overflow,_transfer,True,3.0,0.0
CVE-2018-13202,Integer Overflow,sell,False,,0,Integer Overflow,sell,True,3.0,0.0
CVE-2018-13230,Integer Overflow,sell,False,,0,Integer Overflow,sell,True,5.0,0.0
CVE-2018-13189,Integer Overflow,mint,False,,0,Integer Overflow,mint,True,1.0,0.0
CVE-2018-13782,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
CVE-2018-13779,Integer Overflow,mintToken,False,,0,Integer Overflow,mintToken,True,1.0,0.0
