dataname,auditor_idx,vulnerability,function_name
2018-14004,0,Integer Overflow,transfer
2018-14004,0,Integer Overflow,balanceOf
2018-14004,0,Integer Overflow,transferFrom
2018-14004,0,Integer Overflow,approve
2018-14004,0,Integer Overflow,increaseApproval
2018-14004,0,Integer Overflow,decreaseApproval
2018-14004,0,Access Control,developer_Coin_Character
2018-14004,0,Access Control,developer_new_address_for_funds
2018-14004,0,Access Control,developer_add_Exchanges
2018-14004,0,Access Control,developer_add_cost_of_transfers
2018-14004,0,Access Control,developer_new_price
2018-14004,0,Access Control,developer_crowdsale_text
2018-14004,0,Access Control,developer_new_symbol
2018-14004,0,Information Exposure,developer_Coin_Character
2018-14004,0,Information Exposure,developer_new_address_for_funds
2018-14004,0,Information Exposure,developer_add_Exchanges
2018-14004,0,Information Exposure,developer_add_cost_of_transfers
2018-14004,0,Information Exposure,developer_new_price
2018-14004,0,Information Exposure,developer_crowdsale_text
2018-14004,0,Information Exposure,developer_new_symbol
2018-14004,0,Transaction Cost,developer_Coin_Character
2018-14004,0,Transaction Cost,developer_new_address_for_funds
2018-14004,0,Transaction Cost,developer_add_Exchanges
2018-14004,0,Transaction Cost,developer_add_cost_of_transfers
2018-14004,0,Transaction Cost,developer_new_price
2018-14004,0,Transaction Cost,developer_crowdsale_text
2018-14004,0,Transaction Cost,developer_new_symbol
