dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Access Control,setUpgradeMaster,0,False
CVE-2018-13326,Access Control,receiveApproval,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Bad Randomness,random,0,True
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-17968,Access Control,setCEO,0,False
CVE-2018-17968,Access Control,setCTO,0,False
CVE-2018-13132,Integer Overflow,transferFrom,0,False
CVE-2018-13132,Integer Overflow,approve,0,False
CVE-2018-13132,Integer Overflow,increaseApproval,0,False
CVE-2018-13132,Integer Overflow,transfer,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13128,Token Devalue,approve,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-17071,Access Control,receive,0,False
CVE-2018-17071,Integer Overflow,stopGame,0,False
CVE-2018-17071,Bad Randomness,receive,0,False
CVE-2018-12083,Integer Overflow,burn,0,False
CVE-2018-12083,Integer Overflow,burnFrom,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Access Control,target,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-14001,Integer Overflow,CashOut,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Integer Overflow,setPrices,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13325,Integer Overflow,setPrices,0,False
CVE-2018-13325,Integer Overflow,buy,0,False
CVE-2018-13325,Integer Overflow,setBuyOpen,0,False
CVE-2018-13325,Integer Overflow,sell,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Access Control,unfreeze,0,False
CVE-2018-12702,Integer Overflow,approveAndCallcode,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Integer Overflow,approveAndCall,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Integer Overflow,approve,0,False
CVE-2020-17753,Integer Overflow,takeEther,0,False
CVE-2020-17753,Integer Overflow,buyImplementation,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Bad Randomness,outputList,0,False
CVE-2018-12230,Integer Overflow,approve,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,approveAndCallcode,0,False
CVE-2018-12703,Integer Overflow,approve,0,False
CVE-2018-12703,Integer Overflow,approveAndCall,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-14085,Access Control,makeWallet,0,False
CVE-2018-14085,Access Control,defaultSweeper,0,False
CVE-2018-14085,Integer Overflow,addSweeper,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-14085,Bad Randomness,UserWallet,0,False
CVE-2018-18425,Access Control,approve,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdropMultiple,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdrop,0,False
CVE-2018-18425,Access Control,transfer,0,False
CVE-2018-17050,Integer Overflow,freezeAccount,0,False
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-14006,Integer Overflow,multipleTransfer,0,True
CVE-2018-14006,Integer Overflow,transferToContract,0,False
CVE-2018-14006,Bad Randomness,initialSupply,0,False
CVE-2018-14006,Integer Overflow,transferToAddress,0,False
CVE-2018-10468,Integer Overflow,transfer,0,False
CVE-2018-10468,Integer Overflow,approve,0,False
CVE-2018-10468,Integer Overflow,transferFrom,0,False
CVE-2018-10468,Integer Overflow,getStats,0,False
CVE-2018-13075,Integer Overflow,mintToken,0,True
CVE-2018-13075,Integer Overflow,setMinBalance,0,False
CVE-2018-13075,Integer Overflow,setTokenSymbol,0,False
CVE-2018-13075,Integer Overflow,transfer,0,False
CVE-2018-13075,Integer Overflow,setTokenName,0,False
CVE-2018-11561,Integer Overflow,transfer,0,False
CVE-2018-11561,Integer Overflow,distributeToken,0,True
CVE-2018-10666,Access Control,setExportFee,0,False
CVE-2018-10666,Bad Randomness,precalculate,0,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13076,Integer Overflow,transferFrom,0,False
CVE-2018-13076,Integer Overflow,withdrawToOwner,0,False
CVE-2018-13076,Integer Overflow,approve,0,False
CVE-2018-13076,Integer Overflow,transfer,0,False
CVE-2018-13131,Integer Overflow,transferFrom,0,False
CVE-2018-13131,Integer Overflow,transfer,0,False
CVE-2018-13131,Integer Overflow,mint,0,True
CVE-2018-10705,Integer Overflow,transfer,0,False
CVE-2018-10705,Integer Overflow,transferFrom,0,False
CVE-2018-10705,Integer Overflow,uploadBalances,0,False
CVE-2018-17877,Integer Overflow,withdraw,0,False
CVE-2018-17877,Bad Randomness,luckyBuy,0,False
CVE-2018-17877,Integer Overflow,win,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-17877,Access Control,output,0,False
CVE-2018-13081,Integer Overflow,buy,0,False
CVE-2018-13081,Integer Overflow,withdrawToOwner,0,False
CVE-2018-13081,Integer Overflow,mintToken,0,True
CVE-2018-13081,Integer Overflow,transfer,0,False
CVE-2018-13081,Integer Overflow,transferFrom,0,False
CVE-2018-13071,Integer Overflow,distributeTokens,0,False
CVE-2018-13071,Integer Overflow,transfer,0,False
CVE-2018-13072,Integer Overflow,transferFrom,0,False
CVE-2018-13072,Integer Overflow,transfer,0,False
CVE-2018-13072,Integer Overflow,buy,0,False
CVE-2018-13072,Integer Overflow,mintToken,0,True
CVE-2018-13088,Integer Overflow,mintToken,0,True
CVE-2018-13088,Integer Overflow,transfer,0,False
CVE-2018-13088,Integer Overflow,burnFrom,0,False
CVE-2018-13088,Wrong Logic,setPrices,0,False
CVE-2018-13533,Integer Overflow,transfer,0,False
CVE-2018-13533,Integer Overflow,sell,0,False
CVE-2018-13533,Integer Overflow,transferFrom,0,False
CVE-2018-13533,Integer Overflow,buy,0,False
CVE-2021-34273,Integer Overflow,distributeToken,0,False
CVE-2021-34273,Integer Overflow,transfer,0,False
CVE-2021-34273,Access Control,distributeToken,0,False
CVE-2021-34273,Typo Constructor,B2X,0,False
CVE-2021-34273,Integer Overflow,transferFrom,0,False
CVE-2018-10299,Integer Overflow,transfer,0,False
CVE-2018-10299,Integer Overflow,approve,0,False
CVE-2018-10299,Integer Overflow,batchTransfer,0,True
CVE-2018-13670,Integer Overflow,setPrices,0,False
CVE-2018-13670,Integer Overflow,mintToken,0,True
CVE-2018-13670,Integer Overflow,transfer,0,False
CVE-2018-13670,Integer Overflow,sell,0,False
CVE-2018-13670,Integer Overflow,buy,0,False
CVE-2018-10376,Integer Overflow,transferProxy,0,True
CVE-2018-10376,Integer Overflow,approveProxy,0,False
CVE-2021-33403,Integer Overflow,setEarlyInvestorExchangeRate,0,False
CVE-2021-33403,Integer Overflow,setStartDate,0,False
CVE-2021-33403,Integer Overflow,migrate,0,False
CVE-2021-33403,Integer Overflow,setExchangeRate,0,False
CVE-2021-33403,Integer Overflow,setStartRefund,0,False
CVE-2018-14003,Integer Overflow,batchTransfer,0,True
CVE-2018-14003,Integer Overflow,transfer,0,False
CVE-2018-14003,Integer Overflow,transferFrom,0,False
CVE-2018-11429,Integer Overflow,mint,0,True
CVE-2018-11429,Integer Overflow Output Restricted,approve,0,False
CVE-2018-11429,Integer Overflow Output Restricted,transfer,0,False
CVE-2018-11429,Integer Overflow Output Restricted,transferFrom,0,False
CVE-2018-13070,Bad Randomness,selfdestructs,0,False
CVE-2018-13073,Integer Overflow,setPrices,0,False
CVE-2018-13073,Integer Overflow,buy,0,False
CVE-2018-14715,Integer Overflow,transfer,0,False
CVE-2018-14715,Integer Overflow,contractFallback,0,False
CVE-2018-14715,Integer Overflow,startSlammerTime,0,False
CVE-2018-14715,Integer Overflow,getToken,0,False
CVE-2018-14715,Integer Overflow,allowance,0,False
CVE-2018-14715,Integer Overflow,isContract,0,False
CVE-2018-14715,Integer Overflow,withdrawToken,0,False
CVE-2018-14715,Integer Overflow,onTransferStack,0,False
CVE-2018-14715,Integer Overflow,tokensOfOwner,0,False
CVE-2018-14715,Integer Overflow,getStack,0,False
CVE-2018-14715,Integer Overflow,balanceOf,0,False
CVE-2018-14715,Integer Overflow,transferFrom,0,False
CVE-2018-14715,Integer Overflow,mint,0,False
CVE-2018-14715,Integer Overflow,ownerOf,0,False
CVE-2018-14715,Integer Overflow,withdraw,0,False
CVE-2018-14715,Integer Overflow,mintPack,0,False
CVE-2018-14715,Integer Overflow,approve,0,False
CVE-2018-14715,Integer Overflow,transferBack,0,False
CVE-2018-14715,Integer Overflow,getMixedStack,0,False
CVE-2018-14715,Integer Overflow,totalSupply,0,False
CVE-2018-14715,Integer Overflow,transferStackAndCall,0,False
CVE-2018-12885,Integer Overflow,openLootbox,0,False
CVE-2018-12885,Integer Overflow,createChamp,0,False
CVE-2018-12885,Integer Overflow,setLootboxFee,0,False
CVE-2018-12885,Integer Overflow,setCreateChumpFee,0,False
CVE-2018-13084,Integer Overflow,mintToken,0,True
CVE-2018-13084,Integer Overflow,burnFrom,0,False
CVE-2018-13084,Integer Overflow,transfer,0,False
CVE-2018-13079,Integer Overflow,mintToken,0,True
CVE-2018-13079,Integer Overflow,burnFrom,0,False
CVE-2021-3006,Integer Overflow,claimStakingReward,0,False
CVE-2021-3006,Integer Overflow,sellTokenForLRC,0,False
CVE-2021-3006,Integer Overflow,fundDAO,0,False
CVE-2018-14086,Integer Overflow,sell,0,False
CVE-2018-14086,Integer Overflow,transfer,0,False
CVE-2018-14086,Integer Overflow,mintToken,0,False
CVE-2018-14086,Integer Overflow,buy,0,False
CVE-2018-14086,Integer Overflow,setMinBalance,0,False
CVE-2018-19833,Integer Overflow,mintToken,0,False
CVE-2018-19833,Integer Overflow Output,transfer,0,False
CVE-2018-14089,Integer Overflow,setICORatio,0,False
CVE-2018-14089,Integer Overflow,setAIRDROPBounce,0,False
CVE-2018-14089,Integer Overflow,setMINfinney,0,False
CVE-2018-15552,Wrong Logic,PayWinner,0,False
CVE-2018-15552,Integer Overflow,PayWinner,0,False
CVE-2018-15552,Typo Constructor,LottoCount,0,False
CVE-2018-15552,Access Control,withdraw,0,False
CVE-2018-15552,Integer Overflow,AddTicket,0,False
CVE-2019-15078,Integer Overflow,getTokens,0,False
CVE-2019-15078,Integer Overflow,distr,0,False
CVE-2018-13085,Access Control,freezeAccount,0,False
CVE-2018-13085,Integer Overflow,burn,0,False
CVE-2018-13085,Integer Overflow,balanceOf,0,False
CVE-2018-13085,Integer Overflow,mintToken,0,True
CVE-2018-13085,Wrong Logic,transfer,0,False
CVE-2018-14063,Integer Overflow,increaseApproval,0,True
CVE-2018-14063,Integer Overflow,decreaseApproval,0,False
CVE-2018-14063,Access Control,transferOwnership,0,False
CVE-2018-14063,Integer Overflow,transfer,0,False
CVE-2018-14063,Integer Overflow,transferFrom,0,False
CVE-2018-13087,Integer Overflow,setPrices,0,False
CVE-2018-13087,Integer Overflow,burnFrom,0,False
CVE-2018-13087,Integer Overflow,mintToken,0,True
CVE-2018-12070,Integer Overflow,mintToken,0,False
CVE-2018-12070,Integer Overflow,transfer,0,False
CVE-2018-13698,Integer Overflow,transferFrom,0,False
CVE-2018-13698,Integer Overflow,approve,0,False
CVE-2018-13698,Integer Overflow,setPromo,0,False
CVE-2018-13698,Integer Overflow,mintTokens,0,True
CVE-2018-13698,Integer Overflow,transfer,0,False
CVE-2018-10706,Integer Overflow,destroyTokens,0,False
CVE-2018-10706,Integer Overflow,unFreeze,0,False
CVE-2018-10706,Integer Overflow,generateTokens,0,False
CVE-2018-10706,Integer Overflow,freeze,0,False
CVE-2018-10706,Integer Overflow,transferMulti,0,True
CVE-2019-15079,Integer Overflow,setPrices,0,False
CVE-2019-15079,Integer Overflow,setPrices2,0,False
CVE-2019-15079,Integer Overflow,setPrices4,0,False
CVE-2019-15079,Integer Overflow,setPrices3,0,False
CVE-2019-15079,Integer Overflow,setPrices1,0,False
CVE-2018-14087,Integer Overflow,transfer,0,False
CVE-2018-14087,Integer Overflow,burn,0,False
CVE-2018-14087,Integer Overflow,balanceOfa,0,False
CVE-2018-14087,Integer Overflow,mintToken,0,False
CVE-2018-12067,Integer Overflow,mintToken,0,False
CVE-2018-12067,Integer Overflow,transfer,0,False
CVE-2018-12067,Integer Overflow,buy,0,False
CVE-2018-12067,Integer Overflow,transferFrom,0,False
CVE-2021-34272,Integer Overflow,transferFrom,0,False
CVE-2021-34272,Integer Overflow,mintToken,0,False
CVE-2021-34272,Integer Overflow,setExchange,0,False
CVE-2021-34272,Integer Overflow,transfer,0,False
CVE-2021-34272,Integer Overflow,burnFrom,0,False
CVE-2018-13703,Integer Overflow,sellOffline,0,False
CVE-2018-13703,Integer Overflow,adm_trasfer,0,False
CVE-2018-13703,Integer Overflow,burn,0,False
CVE-2018-13703,Integer Overflow,burnFrom,0,False
CVE-2018-13703,Integer Overflow,transfer,0,False
CVE-2018-13069,Integer Overflow,transfer,0,False
CVE-2018-13069,Integer Overflow,burn,0,False
CVE-2018-13069,Integer Overflow,mintToken,0,True
CVE-2018-13069,Integer Overflow,burnFrom,0,False
CVE-2021-3004,Integer Overflow,stake,0,False
CVE-2021-3004,Integer Overflow,unstake,0,False
CVE-2021-3004,Integer Overflow,notifyFeeAmount,0,False
CVE-2020-35962,Integer Overflow,sellTokenForLRC,0,False
CVE-2020-35962,Integer Overflow,claimStakingReward,0,False
CVE-2020-35962,Integer Overflow,fundDAO,0,False
CVE-2020-35962,Integer Overflow,getProtocolFeeStats,0,False
CVE-2018-13127,Integer Overflow Immunity Loss,transferFrom,0,False
CVE-2018-13127,Access Control,unfreeze,0,False
CVE-2018-13127,Integer Overflow Immunity Loss,approve,0,False
CVE-2018-13127,Integer Overflow Immunity Loss,transfer,0,False
CVE-2018-13127,Integer Overflow,mint,0,True
CVE-2018-13041,Integer Overflow,transferFrom,0,False
CVE-2018-13041,Integer Overflow,mint,0,True
CVE-2018-13091,Integer Overflow,transfer,0,False
CVE-2018-13091,Integer Overflow,_transfer,0,False
CVE-2018-13091,Integer Overflow,distributeToken,0,False
CVE-2018-13091,Integer Overflow,burnFrom,0,False
CVE-2018-13091,Integer Overflow,mintToken,0,True
CVE-2018-12068,Integer Overflow,buy,0,False
CVE-2018-12068,Integer Overflow,mintToken,0,False
CVE-2018-12068,Integer Overflow,transferFrom,0,False
CVE-2018-12068,Integer Overflow,setPrices,0,False
CVE-2018-12068,Integer Overflow,transfer,0,False
CVE-2018-14084,Integer Overflow,buy,0,False
CVE-2018-14084,Integer Overflow,mintToken,0,False
CVE-2018-14084,Access Control,getEth,0,False
CVE-2018-14084,Typo Constructor,selfdestructs,0,False
CVE-2018-14084,Integer Overflow,transfer,0,False
CVE-2018-13327,Access Control,receiveApproval,0,False
CVE-2018-11411,Integer Overflow,transferFrom,0,False
CVE-2018-11411,Integer Overflow,transfer,0,False
CVE-2018-11411,Integer Overflow,distributeFUD,0,False
CVE-2018-17987,Integer Overflow,claimWinnings,0,False
CVE-2018-17987,Integer Overflow,updateGameCost,0,False
CVE-2018-12511,Integer Overflow,transferFrom,0,False
CVE-2018-12511,Integer Overflow,mintToken,0,True
CVE-2018-12511,Integer Overflow,transfer,0,False
CVE-2018-12511,Integer Overflow,freezeAccount,0,False
CVE-2018-12511,Integer Overflow,setPrices,0,False
CVE-2018-14005,Integer Overflow,transferAny,0,True
CVE-2018-14005,Integer Overflow,transferAUTOtoken1,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens10,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens5,0,False
CVE-2018-11335,Integer Overflow,mint,0,True
CVE-2018-11335,Integer Overflow,transferFrom,0,False
CVE-2018-11335,Integer Overflow,transfer,0,False
CVE-2018-13089,Integer Overflow,burnFrom,0,False
CVE-2018-13089,Integer Overflow,burn,0,False
CVE-2018-13089,Integer Overflow,transfer,0,False
CVE-2018-13089,Integer Overflow,mintToken,0,True
CVE-2018-13089,Integer Overflow,transferFrom,0,False
CVE-2018-13086,Integer Overflow,setPrices,0,False
CVE-2018-13086,Integer Overflow,burnFrom,0,False
CVE-2018-13086,Integer Overflow,transfer,0,False
CVE-2018-13086,Integer Overflow,mintToken,0,True
CVE-2018-13228,Integer Overflow,transfer,0,False
CVE-2018-13228,Integer Overflow,mintToken,0,False
CVE-2018-13228,Bad Randomness,require,0,False
CVE-2018-13228,Integer Overflow,transferFrom,0,False
CVE-2018-13228,Access Control,output_list,0,False
CVE-2018-12080,Integer Overflow,burnFrom,0,False
CVE-2018-12080,Integer Overflow,mintToken,0,False
CVE-2018-12080,Integer Overflow,setPrices,0,False
CVE-2018-12080,Integer Overflow,buy,0,False
CVE-2018-17882,Integer Overflow,transfer,0,False
CVE-2018-17882,Integer Overflow,approve,0,False
CVE-2018-17882,Integer Overflow,batchTransfer,0,True
CVE-2018-17882,Integer Overflow,create,0,False
CVE-2018-13126,Bad Randomness,withdrawFunds,0,False
CVE-2018-13126,Integer Overflow,mint,0,True
CVE-2018-13126,Integer Overflow,buyTokens,0,False
CVE-2018-12084,Integer Overflow,transferFrom,0,False
CVE-2018-12084,Integer Overflow,mintToken,0,False
CVE-2018-12084,Integer Overflow,freezeAccount,0,False
CVE-2018-12084,Bad Randomness,constructor,0,False
CVE-2018-12084,Integer Overflow,transfer,0,False
CVE-2018-13074,Integer Overflow,burnFrom,0,False
CVE-2018-13074,Integer Overflow,transfer,0,False
CVE-2018-13074,Integer Overflow,_transfer,0,False
CVE-2018-13074,Integer Overflow,mintToken,0,True
CVE-2018-13074,Integer Overflow,transferFrom,0,False
CVE-2020-17752,Integer Overflow,Buy,0,False
CVE-2020-17752,Integer Overflow,mintCoins,0,False
CVE-2018-13078,Integer Overflow,transfer,0,False
CVE-2018-13078,Integer Overflow,mintToken,0,True
CVE-2018-13078,Integer Overflow,transferFrom,0,False
CVE-2019-15080,Integer Overflow,transfer,0,False
CVE-2019-15080,Integer Overflow,Burn,0,False
CVE-2019-15080,Integer Overflow,transferFrom,0,False
CVE-2018-13778,Integer Overflow,mintToken,0,True
CVE-2018-13778,Integer Overflow,transferFrom,0,False
CVE-2018-13778,Integer Overflow,transfer,0,False
CVE-2018-13082,Integer Overflow,transfer,0,False
CVE-2018-13082,Integer Overflow,burn,0,False
CVE-2018-13082,Integer Overflow,mintToken,0,True
CVE-2018-12025,Integer Overflow,transferFrom,0,False
CVE-2018-12025,Integer Overflow,mintToken,0,False
CVE-2018-12025,Integer Overflow,approve,0,False
CVE-2018-12025,Integer Overflow,transfer,0,False
CVE-2018-12081,Integer Overflow,setPrices,0,False
CVE-2018-12081,Integer Overflow,transfer,0,False
CVE-2018-12081,Integer Overflow,mintToken,0,False
CVE-2018-12081,Integer Overflow,transferFrom,0,False
