dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,timestamp dependency,transfer,0,False
CVE-2018-13722,timestamp dependency,setExpiry,0,False
CVE-2018-13722,integer overflow,setExpiry,0,False
CVE-2018-13326,Timestamp Dependency,transfer,0,False
CVE-2018-13326,Reentrancy,transfer,0,False
CVE-2018-13326,Timestamp Dependency,setPrices,0,False
CVE-2018-17968,unhandled exceptions,refundPlayersInRoom,0,False
CVE-2018-13132,unchecked return value,mint,0,False
CVE-2018-13128,timestamp dependency,transfer,0,False
CVE-2018-13128,integer overflow,transfer,0,False
CVE-2018-13128,ether strict equality,transfer,0,False
CVE-2018-13777,dangerous delegatecall and ether frozen,transfer,0,False
CVE-2018-13777,dangerous delegatecall and ether frozen,setController,0,False
CVE-2018-12062,timestamp dependency,setOwner,0,False
CVE-2018-12062,timestamp dependency,transfer,0,False
CVE-2018-12062,timestamp dependency,mintToken,0,False
CVE-2018-12062,integer overflow,transfer,0,False
CVE-2018-12062,unchecked external call,transfer,0,False
CVE-2018-17071,Access Control,stopGame,0,False
CVE-2018-12083,"User can manipulate the argument of transfer, causing unexpected behaviors",transfer,0,False
CVE-2018-12083,Arithmetic operation vulnerability,transfer,0,False
CVE-2018-14001,integer overflow/underflow,transferFrom,0,False
CVE-2018-14001,integer overflow/underflow,Trade,0,False
CVE-2018-14001,integer overflow/underflow,batchTransfer,0,False
CVE-2018-14001,integer overflow/underflow,transfer,0,False
CVE-2018-13208,ether strict equality,transfer,0,False
CVE-2018-13208,dangerous delegatecall,transfer,0,False
CVE-2018-13208,integer overflow,transfer,0,False
CVE-2018-13325,unchecked external call and integer overflow,transfer,0,False
CVE-2018-13325,dangerous delegatecall,withdraw,0,False
CVE-2018-13129,Integer overflow,transfer,0,False
CVE-2018-13129,Arithmetic overflow,mint,0,False
CVE-2018-13129,Integer overflow,increaseAllowance,0,False
CVE-2018-12702,Reentrancy and Timestamp Dependency,transfer,0,False
CVE-2018-12702,Timestamp Dependency and Block Dependency,setPrices,0,False
CVE-2020-17753,dangerous delegatecall,buyTokensFor,0,False
CVE-2020-17753,dangerous delegatecall,buyTokens,0,False
CVE-2018-12230,dangerous delegatecall,transfer,0,False
CVE-2018-12230,ether frozen,transfer,0,False
CVE-2018-12703,Timestamp Dependency,transfer,0,False
CVE-2018-14085,Integer overflow vulnerability,sweep,0,False
CVE-2018-18425,Integer overflow,transferFrom,0,False
CVE-2018-18425,Integer overflow,decreaseAllowance,0,False
CVE-2018-18425,Integer overflow,increaseAllowance,0,False
CVE-2018-18425,Integer overflow,transfer,0,False
CVE-2018-18425,Integer overflow,approve,0,False
CVE-2018-17050,Arithmetic Overflow,increaseAllowance,0,False
CVE-2018-17050,Arithmetic Overflow,transfer,0,False
CVE-2018-17050,Arithmetic Overflow,decreaseAllowance,0,False
CVE-2018-17050,Integer overflow,transfer,0,False
CVE-2018-14006,Integer overflow,transferFrom,0,False
CVE-2018-14006,Integer overflow,transfer,0,False
CVE-2018-14006,Integer overflow,approve,0,False
CVE-2018-14006,Integer overflow,multipleTransfer,0,False
CVE-2018-14006,Integer overflow,batchTransfer,0,False
CVE-2018-10468,hardcoded password,withdrawForeignTokens,0,False
CVE-2018-13075,timestamp dependency,transfer,0,False
CVE-2018-13075,timestamp dependency,setCode,0,False
CVE-2018-13075,integer overflow,transfer,0,False
CVE-2018-11561,Timestamp Dependency,transfer,0,False
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-10666,Arithmetic Overflow,transfer,0,False
CVE-2018-10666,Delegate Delegatecall,delegatecall,0,False
CVE-2018-10666,Critical Ether Frozen,setOwner,0,False
CVE-2018-10666,Delegatecall Dependency,setOwner,0,False
CVE-2018-10666,Arithmetic Overflow,setOwner,0,False
CVE-2018-13076,integer overflow,transfer,0,False
CVE-2018-13076,unchecked external call,setCode,0,False
CVE-2018-13076,unchecked external call,transfer,0,False
CVE-2018-13131,Integer overflow,withdraw,0,False
CVE-2018-13131,Integer overflow,transfer,0,False
CVE-2018-10705,unchecked external call,transfer,0,False
CVE-2018-17877,Reentrancy,withdraw,0,False
CVE-2018-17877,Reentrancy,withdrawOwner,0,False
CVE-2018-17877,Reentrancy,buyHeart,0,False
CVE-2018-13081,integer overflow,toWei,0,False
CVE-2018-13081,integer overflow,toEther,0,False
CVE-2018-13081,integer overflow,add,0,False
CVE-2018-13081,integer overflow,setFuelRate,0,False
CVE-2018-13081,integer overflow,decreaseAllowance,0,False
CVE-2018-13081,integer overflow,div,0,False
CVE-2018-13081,integer overflow,increaseAllowance,0,False
CVE-2018-13081,integer overflow,mul,0,False
CVE-2018-13081,integer overflow,buy,0,False
CVE-2018-13081,integer overflow,transfer,0,False
CVE-2018-13081,integer overflow,withdrawToOwner,0,False
CVE-2018-13081,integer overflow,sub,0,False
CVE-2018-13071,integer overflow,transfer,0,False
CVE-2018-13072,integer overflow,transfer,0,False
CVE-2018-13072,dangerous delegatecall,transfer,0,False
CVE-2018-13072,ether strict equality,transfer,0,False
CVE-2018-13072,ether strict equality,withdraw,0,False
CVE-2018-13088,unchecked external call,transfer,0,False
CVE-2018-13088,dangerous delegatecall,transfer,0,False
CVE-2018-13088,integer overflow,withdraw,0,False
CVE-2018-13088,integer overflow,transfer,0,False
CVE-2018-13533,ether frozen,withdraw,0,False
CVE-2018-13533,ether frozen,sell,0,False
CVE-2018-13533,ether frozen,transfer,0,False
CVE-2018-13533,ether frozen,buy,0,False
CVE-2018-13533,integer overflow,transfer,0,False
CVE-2018-13533,dangerous delegatecall,transfer,0,False
CVE-2021-34273,Timestamp Dependency,transfer,0,False
CVE-2021-34273,Reentrancy,transfer,0,False
CVE-2018-10299,Integer overflow,transfer,0,False
CVE-2018-10299,Integer overflow,batchTransfer,0,False
CVE-2018-13670,dangerous delegatecall and ether frozen,transfer,0,False
CVE-2018-10376,Timestamp Dependency,approveProxy,0,False
CVE-2018-10376,Timestamp Dependency,transferProxy,0,False
CVE-2021-33403,Block number dependency,transfer,0,False
CVE-2021-33403,Block number dependency,fallback,0,False
CVE-2021-33403,Block number dependency,refund,0,False
CVE-2021-33403,Block number dependency,migrate,0,False
CVE-2018-14003,Reentrancy,batchTransfer,0,False
CVE-2018-11429,integer overflow,transfer,0,False
CVE-2018-11429,timestamp dependency,transfer,0,False
CVE-2018-11429,timestamp dependency,send,0,False
CVE-2018-11429,integer overflow,set,0,False
