dataname,auditor_idx,vulnerability,function_name
2018-14004,0,Missing access control,developer_Coin_Character
2018-14004,0,Missing access control,developer_new_address_for_funds
2018-14004,0,Missing access control,developer_add_Exchanges
2018-14004,0,Missing access control,developer_add_cost_of_transfers
2018-14004,0,Missing access control,developer_new_price
2018-14004,0,Missing access control,developer_crowdsale_text
2018-14004,0,Missing access control,developer_new_symbol
2018-14004,0,Missing access control,developer_Crowdsale
2018-14004,0,Missing access control,balance_wirthdraw
2018-14004,0,Missing access control,balances_available_for_crowdsale
