dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13326,Integer Overflow,transfer,0,False
CVE-2018-13326,Integer Overflow,transferFrom,0,False
CVE-2018-13326,Wrong Logic,receiveApproval,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Typo Constructor,refundPlayersInRoom,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-13132,Integer Overflow,migrate,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,approve,0,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13777,Integer Overflow,approve,0,False
CVE-2018-13777,Integer Overflow,transferFrom,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,approveAndCall,0,False
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Wrong Logic,mintToken,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-17071,Integer Overflow,stopGame,0,False
CVE-2018-17071,Typo Constructor,constructor,0,False
CVE-2018-17071,Integer Overflow,lucky9io,0,False
CVE-2018-12083,Integer Overflow,transferFrom,0,False
CVE-2018-12083,Wrong Logic,mintToken,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-12083,Integer Overflow,approve,0,False
CVE-2018-12083,Access Control,changeOwner,0,False
CVE-2018-14001,Wrong Logic,Trade,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-13208,Integer Devalue,setPrices,0,False
CVE-2018-13325,Wrong Logic,setPrices,0,False
CVE-2018-13325,Integer Overflow,approve,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Wrong Logic,setBuyOpen,0,False
CVE-2018-13129,Integer Overflow,approve,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Integer Overflow,transfer,0,False
CVE-2018-12702,Wrong Logic,approveAndCall,0,False
CVE-2018-12702,Wrong Logic,approveAndCallcode,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Typo Constructor,constructor,0,False
CVE-2020-17753,Integer Overflow,takeEther,0,False
CVE-2020-17753,Integer Overflow,claim,0,False
CVE-2020-17753,Integer Overflow,buyImplementation,0,False
CVE-2020-17753,Integer Overflow,buyTokensFor,0,False
CVE-2020-17753,Integer Overflow,buyTokens,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12230,Wrong Logic,transfer,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12703,Incorrect Constructor Name,constructor,0,False
CVE-2018-12703,Arbitrary Function Execution,approveAndCall,0,False
CVE-2018-12703,Arbitrary Code Execution,approveAndCallcode,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-14085,Wrong Logic,tokenFallback,0,False
CVE-2018-14085,Typo Constructor,constructor,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-14085,Access Control,makeWallet,0,False
CVE-2018-14085,Access Control,addSweeper,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdrop,0,False
CVE-2018-18425,Integer Overflow,transfer,0,False
CVE-2018-18425,Integer Overflow,transferFrom,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdropMultiple,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Wrong Logic,mintToken,0,False
CVE-2018-17050,Access Control,freezeAccount,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-14006,Integer Overflow,multipleTransfer,0,True
CVE-2018-14006,Integer Overflow,transferToContract,0,False
CVE-2018-14006,Integer Overflow,batchTransfer,0,False
CVE-2018-14006,Integer Overflow,transfer,0,False
CVE-2018-14006,Integer Overflow,transferToAddress,0,False
CVE-2018-10468,Integer Overflow,transferFrom,0,False
CVE-2018-10468,Integer Overflow,getStats,0,False
CVE-2018-10468,Integer Overflow,transfer,0,False
CVE-2018-13075,Integer Overflow,transferFrom,0,False
CVE-2018-13075,Integer Overflow,setPrices,0,False
CVE-2018-13075,Integer Overflow,approve,0,False
CVE-2018-13075,Integer Overflow,mintToken,0,True
CVE-2018-13075,Integer Overflow,transfer,0,False
CVE-2018-11561,Integer Overflow,distributeToken,0,True
CVE-2018-11561,Integer Overflow,transfer,0,False
CVE-2018-11561,Wrong Logic,approve,0,False
CVE-2018-11561,Integer Overflow,transferFrom,0,False
CVE-2018-11561,Typo Constructor,ERC20Token,0,False
CVE-2018-10666,Integer Overflow,precalculate,0,False
CVE-2018-10666,Integer Overflow,uploadBalances,0,False
CVE-2018-10666,Wrong Logic,transferFrom,0,False
CVE-2018-10666,Integer Overflow,setOwner,0,False
CVE-2018-10666,Wrong Logic,transfer,0,False
CVE-2018-13076,Wrong Logic,mintToken,0,False
CVE-2018-13076,Integer Overflow,transfer,0,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13076,Integer Overflow,transferFrom,0,False
CVE-2018-13131,Integer Overflow,transferFrom,0,False
CVE-2018-13131,Integer Overflow,mint,0,True
CVE-2018-13131,Integer Overflow,approve,0,False
CVE-2018-13131,Integer Overflow,transfer,0,False
CVE-2018-13131,Integer Overflow,increaseApproval,0,False
CVE-2018-10705,Integer Overflow,uploadBalances,0,False
CVE-2018-10705,Integer Overflow,transferFrom,0,False
CVE-2018-10705,Access Control,setOwner,0,False
CVE-2018-10705,Integer Overflow,approve,0,False
CVE-2018-10705,Integer Overflow,transfer,0,False
CVE-2018-17877,Access Control,win,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-17877,Access Control,withdrawOwner,0,False
CVE-2018-17877,Bad Randomness,luckyBuy,0,False
CVE-2018-17877,Access Control,withdraw,0,False
CVE-2018-13081,Integer Overflow,transferFrom,0,False
CVE-2018-13081,Integer Overflow,buy,0,False
CVE-2018-13081,Integer Overflow,transfer,0,False
CVE-2018-13081,Integer Overflow,mintToken,0,True
CVE-2018-13071,Integer Overflow,transfer,0,False
CVE-2018-13071,Integer Overflow,transferFrom,0,False
CVE-2018-13071,Integer Overflow,mintToken,0,True
CVE-2018-13071,Integer Overflow,distributeTokens,0,False
CVE-2018-13072,Integer Overflow,transferFrom,0,False
