dataname,auditor_idx,vulnerability,function_name
2018-13778,0,Multiple Access Control Issues,TokenERC20
2018-13778,0,Lack of Token Burn Mechanism,TokenERC20
2018-13778,0,Lack of Token Frozen Mechanism,TokenERC20
2018-13778,0,Lack of Token Approval Mechanism,TokenERC20
2018-13778,0,Lack of Token Balance Check,TokenERC20
2018-13778,0,Lack of Token Supply Check,TokenERC20
2018-13778,0,Lack of Token Transfer Event,TokenERC20
2018-13778,0,Lack of Token Burn Event,TokenERC20
2018-13778,0,Lack of Token Approval Event,TokenERC20
2018-13778,0,Lack of Token Balance Check Event,TokenERC20
2018-13778,0,Lack of Token Supply Check Event,TokenERC20
