dataname,auditor_idx,vulnerability,function_name
2018-13703,0,timestamp dependency,CERB_Coin
2018-13703,0,timestamp dependency,sellOffline
2018-13703,0,timestamp dependency,getEthRate
2018-13703,0,timestamp dependency,getConBal
2018-13703,0,timestamp dependency,setEthRate
2018-13703,0,timestamp dependency,getTokenPrice
2018-13703,0,timestamp dependency,setTokenPrice
2018-13703,0,timestamp dependency,setTransferStatus
2018-13703,0,timestamp dependency,changeIcoStatus
2018-13703,0,timestamp dependency,withdraw
2018-13703,0,timestamp dependency,withdraw_all
2018-13703,0,timestamp dependency,mintToken
2018-13703,0,timestamp dependency,adm_trasfer
2018-13703,0,timestamp dependency,freezeAccount
2018-13703,0,timestamp dependency,getCollectedAmount
2018-13703,0,timestamp dependency,balanceOf
2018-13703,0,timestamp dependency,totalSupply
2018-13703,0,timestamp dependency,transferOwnership
2018-13703,0,timestamp dependency,_transfer
2018-13703,0,timestamp dependency,transfer
2018-13703,0,timestamp dependency,transferFrom
2018-13703,0,timestamp dependency,approve
2018-13703,0,timestamp dependency,approveAndCall
2018-13703,0,timestamp dependency,burn
2018-13703,0,timestamp dependency,burnFrom
