dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,integer overflow,HYIPToken,0,False
CVE-2018-13326,Timestamp Dependency,Bittelux,0,False
CVE-2018-17968,integer overflow,random,0,True
CVE-2018-17968,integer overflow,enterWithReferral,0,False
CVE-2018-17968,integer overflow,enter,0,False
CVE-2018-13132,Timestamp Dependency,SpadeIco,0,False
CVE-2018-13128,timestamp dependency,transfer,0,False
CVE-2018-13128,timestamp dependency,transferFrom,0,False
CVE-2018-13777,Integer Overflow,RRToken,0,False
CVE-2018-13777,Unchecked Return Value,RRToken,0,False
CVE-2018-13777,Integer Overflow,TokenERC20,0,False
CVE-2018-13777,Timestamp Dependency,owned,0,False
CVE-2018-13777,Unchecked Return Value,TokenERC20,0,False
CVE-2018-12062,Timestamp dependency,transfer,0,False
CVE-2018-12062,Timestamp dependency,sell,0,True
CVE-2018-12062,Timestamp dependency,transferFrom,0,False
CVE-2018-12062,Timestamp dependency,transferOwnership,0,False
CVE-2018-12062,Timestamp dependency,buy,0,False
CVE-2018-12062,Timestamp dependency,approveAndCall,0,False
CVE-2018-12062,Timestamp dependency,approve,0,False
CVE-2018-17071,Block number dependency,lucky9io,0,False
CVE-2018-12083,Integer overflow,GoalBonanza,0,False
CVE-2018-14001,Ether strict equality,transfer,0,False
CVE-2018-14001,Ether strict equality,Buy,0,False
CVE-2018-14001,Ether strict equality,Trade,0,False
CVE-2018-14001,Ether strict equality,transferFrom,0,False
CVE-2018-14001,Ether strict equality,airDrop,0,False
CVE-2018-14001,Ether strict equality,Sell,0,False
CVE-2018-13208,Integer overflow,MoneyTreeToken,0,False
CVE-2018-13325,integer overflow,GrowToken,0,False
CVE-2018-13129,Ether strict equality,migrate,0,False
CVE-2018-13129,Ether strict equality,approve,0,False
CVE-2018-13129,Ether strict equality,transfer,0,False
CVE-2018-13129,Ether strict equality,transferFrom,0,False
CVE-2018-12702,Ether strict equality,approve,0,False
CVE-2018-12702,Ether strict equality,allowance,0,False
CVE-2018-12702,Ether strict equality,balanceOf,0,False
CVE-2018-12702,Ether strict equality,transfer,0,False
CVE-2018-12702,Ether strict equality,approveAndCall,0,False
CVE-2018-12702,Ether strict equality,approveAndCallcode,0,True
CVE-2018-12702,Ether strict equality,transferFrom,0,False
CVE-2020-17753,Timestamp dependency,TokenSale,0,False
CVE-2020-17753,Timestamp dependency,RC,0,False
CVE-2018-12230,integer overflow,transferFrom,0,True
CVE-2018-12230,integer overflow,balanceOf,0,False
CVE-2018-12230,integer overflow,transfer,0,False
CVE-2018-12703,dangerous delegatecall,approveAndCallcode,0,True
CVE-2018-12703,dangerous delegatecall,transferFrom,0,False
CVE-2018-12703,dangerous delegatecall,approveAndCall,0,False
CVE-2018-12703,dangerous delegatecall,transfer,0,False
CVE-2018-14085,Ether frozen,UserWallet,0,False
CVE-2018-18425,Timestamp dependency,getTokens,0,False
CVE-2018-18425,Reentrancy vulnerability,burn,0,False
CVE-2018-18425,Reentrancy vulnerability,withdrawAltcoinTokens,0,False
CVE-2018-18425,Reentrancy vulnerability,withdraw,0,False
CVE-2018-17050,Integer overflow,mintToken,0,True
CVE-2018-14006,integer overflow,NGToken,0,False
CVE-2018-10468,Block Number Dependency,UselessEthereumToken,0,False
CVE-2018-13075,Integer overflow vulnerability,CarbonExchangeCoinToken,0,False
CVE-2018-11561,constant function,totalSupply,0,False
CVE-2018-11561,reentrancy,allowance,0,False
CVE-2018-11561,reentrancy,transferFrom,0,False
CVE-2018-11561,reentrancy,transfer,0,False
CVE-2018-11561,timestamp dependency,ERC20Token,0,False
CVE-2018-11561,constant function,balanceOf,0,False
CVE-2018-11561,reentrancy,approve,0,False
CVE-2018-11561,reentrancy,distributeToken,0,True
CVE-2018-10666,integer overflow,uploadBalances,0,False
CVE-2018-10666,integer overflow,div10,0,False
CVE-2018-10666,integer overflow,feeFor,0,False
CVE-2018-10666,integer overflow,transfer,0,False
CVE-2018-10666,integer overflow,transferFrom,0,False
CVE-2018-10666,integer overflow,pow10,0,False
CVE-2018-13076,Ether strict equality,transfer,0,False
CVE-2018-13076,Ether strict equality,transferFrom,0,False
CVE-2018-13076,Ether strict equality,buy,0,False
CVE-2018-13131,Timestamp Dependency,SpadePreSale,0,False
CVE-2018-10705,integer overflow,AURA,0,False
CVE-2018-10705,unchecked return value,AURA,0,False
CVE-2018-17877,Timestamp Dependency,Greedy,0,False
CVE-2018-13081,Timestamp Dependency,GZSToken,0,False
CVE-2018-13071,Timestamp dependency,buy,0,False
CVE-2018-13071,Timestamp dependency,sell,0,False
CVE-2018-13071,Timestamp dependency,transferFrom,0,False
CVE-2018-13071,Timestamp dependency,transfer,0,False
CVE-2018-13072,Timestamp dependency,buy,0,False
CVE-2018-13072,Timestamp dependency,setSelling,0,False
CVE-2018-13072,Timestamp dependency,transferOwnership,0,False
CVE-2018-13072,Timestamp dependency,mintToken,0,True
CVE-2018-13072,Timestamp dependency,approveAndCall,0,False
CVE-2018-13072,Timestamp dependency,setBuyRate,0,False
CVE-2018-13072,Timestamp dependency,freezeAccount,0,False
CVE-2018-13072,Timestamp dependency,approve,0,False
CVE-2018-13072,Timestamp dependency,transfer,0,False
CVE-2018-13072,Timestamp dependency,withdrawToOwner,0,False
CVE-2018-13072,Timestamp dependency,transferFrom,0,False
CVE-2018-13088,integer overflow vulnerability,MyAdvancedToken,0,False
CVE-2018-13088,integer overflow vulnerability,TokenERC20,0,False
CVE-2018-13533,Ether strict equality,owned,0,False
CVE-2018-13533,Ether strict equality,TokenERC20,0,False
CVE-2018-13533,Ether strict equality,ALUXToken,0,False
CVE-2021-34273,integer overflow,transferFrom,0,False
CVE-2021-34273,integer overflow,distributeToken,0,False
CVE-2021-34273,integer overflow,transfer,0,False
