dataname,auditor_idx,vulnerability,function_name
2018-13625,0,No input validation for recipient address,transfer
2018-13625,0,No input validation for recipient address,lend
2018-13625,0,No input validation for recipient address,repayLoan
2018-13625,0,No input validation for recipient address,transferFrom
2018-13625,0,No input validation for target address,mintlvlToken
2018-13625,0,No input validation for target address,burnlvlToken
2018-13625,0,No input validation for target address,freezelvlAccount
2018-13625,0,No input validation for new sign,setlvlSign
2018-13625,0,No input validation for new nominal value,setlvlNominalValue
2018-13625,0,No input validation for new update,setlvlUpdate
2018-13625,0,No input validation for new website,setlvlWebsite
2018-13625,0,No input validation for new notification fee,setlvlNfee
