dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Potential integer overflow,getUpgradeState,0,False
CVE-2018-13722,Potential integer overflow,burn,0,False
CVE-2018-13722,Potential integer overflow,safeAdd,0,False
CVE-2018-13722,Potential integer overflow,safeDiv,0,False
CVE-2018-13722,Potential integer overflow,approve,0,False
CVE-2018-13722,Potential integer overflow,transferFrom,0,False
CVE-2018-13722,Potential reentrancy vulnerability,assert,0,False
CVE-2018-13722,Potential integer overflow,subApproval,0,False
CVE-2018-13722,Potential integer overflow,safeSub,0,False
CVE-2018-13722,Potential overflow,max64,0,False
CVE-2018-13722,Potential integer overflow,setUpgradeMaster,0,False
CVE-2018-13722,Potential integer overflow,transfer,0,False
CVE-2018-13722,Potential integer overflow,safeMul,0,False
CVE-2018-13722,Potential overflow,min256,0,False
CVE-2018-13722,Potential integer overflow,setMintAgent,0,False
CVE-2018-13722,Potential overflow,max256,0,False
CVE-2018-13722,Potential overflow,min64,0,False
CVE-2018-13722,Potential integer overflow,setUpgradeAgent,0,False
CVE-2018-13722,Potential integer overflow,allowance,0,False
CVE-2018-13722,Potential integer overflow,mint,0,False
CVE-2018-13722,Potential integer overflow,HYIPToken,0,False
CVE-2018-13722,Potential integer overflow,canUpgrade,0,False
CVE-2018-13722,Potential integer overflow,balanceOf,0,False
CVE-2018-13722,Potential integer overflow,upgrade,0,False
CVE-2018-13722,Potential integer overflow,addApproval,0,False
CVE-2018-17968,No input validation,enter,0,False
CVE-2018-17968,No input validation,executeRoom,0,False
CVE-2018-17968,No input validation,createRoom,0,False
CVE-2018-17968,No input validation,refundPlayersInRoom,0,False
CVE-2018-17968,No input validation,_payout,0,False
CVE-2018-17968,No input validation,enterWithReferral,0,False
CVE-2018-17968,No input validation,getRoom,0,False
CVE-2018-17968,No input validation,random,0,False
CVE-2018-17968,No input validation,distributeFunds,0,False
CVE-2018-13132,Unchecked allowance in decreaseApproval,StandardToken,0,False
CVE-2018-13132,Potential integer overflow,SafeMath,0,False
CVE-2018-13132,Unchecked allowance in creditJackpotTokens,SpadeIco,0,False
CVE-2018-13132,Unchecked allowance in approve,StandardToken,0,False
CVE-2018-13132,Unchecked allowance in finishIco,SpadeIco,0,False
CVE-2018-13132,Unchecked allowance in increaseApproval,StandardToken,0,False
CVE-2018-13132,Unchecked allowance in buyTokens,SpadeIco,0,False
CVE-2018-13132,Unchecked allowance in transferFrom,StandardToken,0,False
CVE-2018-13132,Unchecked allowance in convertPresaleTokens,SpadeIco,0,False
CVE-2018-13128,Integer Overflow,transferFrom,0,False
