
dataname	auditor_index	inference_time (seconds)
2018-11335	0	39.9791
2018-14576	0	24.4580
2018-12025	0	20.9140
2018-17071	0	24.7932
2018-13221	0	36.3294
2018-11335	1	43.0170
2018-14576	1	59.4797
2018-12025	1	39.1919
2018-17071	1	157.1359
2018-13221	1	41.0583
2018-11335	2	102.8976
2018-14576	2	50.6018
2018-12025	2	25.9329
2018-17071	2	21.3636
2018-13221	2	56.8885
2018-11335	3	93.3095
2018-14576	3	92.3630
2018-12025	3	82.2109
2018-17071	3	148.0963
2018-13221	3	89.5471
2018-11335	4	1.3201
2018-14576	4	0.2421
2018-12025	4	4.0239
2018-17071	4	3.9538
2018-13221	4	4.0398
