dataname,auditor_idx,vulnerability,function_name
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
2018-13082,0,Integer Overflow,MyAdvancedToken
