dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Wrong Logic,min256,0,False
CVE-2018-13722,Integer Overflow,safeMul,0,False
CVE-2018-13722,Access Control,assert,0,False
CVE-2018-13722,Access Control,setUpgradeMaster,0,False
CVE-2018-13722,Access Control,upgrade,0,False
CVE-2018-13722,Wrong Logic,max256,0,False
CVE-2018-13722,Wrong Logic,max64,0,False
CVE-2018-13722,Access Control,subApproval,0,False
CVE-2018-13722,Integer Overflow,safeSub,0,False
CVE-2018-13722,Integer Overflow,safeDiv,0,False
CVE-2018-13722,Access Control,setUpgradeAgent,0,False
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13722,Access Control,mint,0,False
CVE-2018-13722,Access Control,addApproval,0,False
CVE-2018-13722,Integer Overflow,safeAdd,0,False
CVE-2018-13722,Wrong Logic,min64,0,False
CVE-2018-13132,Access Control,SpadeIco.resumeIco(),0,False
CVE-2018-13132,Access Control,SpadeIco.pauseIco(),0,False
CVE-2018-13132,Access Control,SPXToken.setMigrationMaster(address),0,False
CVE-2018-13132,Access Control,SPXToken.setMigrationAgent(address),0,False
CVE-2018-13132,Access Control,SpadeIco.startIco(),0,False
CVE-2018-13132,Access Control,SPXToken.unfreeze(),0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,unfreeze,0,False
CVE-2018-13128,Integer Overflow,approve,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,approveAndCall,0,False
CVE-2018-13777,Integer Overflow,transferFrom,0,False
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-13777,Integer Overflow,approve,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Bad Randomness,sell,0,False
CVE-2018-12062,Bad Randomness,buy,0,False
CVE-2018-12062,Wrong Logic,approveAndCall,0,False
CVE-2018-12083,Integer Overflow,burn,0,False
CVE-2018-12083,Integer Overflow,approveAndCall,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-13208,Wrong Logic,approveAndCall,0,False
CVE-2018-13208,Bad Randomness,sell,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13208,Bad Randomness,buy,0,False
CVE-2018-13325,Wrong Logic,transfer,0,False
CVE-2018-13325,Bad Randomness,approveAndCall,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Access Control,transfer,0,False
CVE-2018-13325,Bad Randomness,transfer,0,False
CVE-2018-13325,Access Control,approveAndCall,0,False
CVE-2018-13325,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Wrong Logic,approveAndCall,0,False
CVE-2018-13325,Typo Constructor,transfer,0,False
CVE-2018-13325,Typo Constructor,approveAndCall,0,False
CVE-2018-13325,Bad Randomness,transferFrom,0,False
CVE-2018-13325,Access Control,transferFrom,0,False
CVE-2018-13325,Typo Constructor,transferFrom,0,False
CVE-2018-13325,Integer Overflow,approveAndCall,0,False
CVE-2018-13325,Wrong Logic,transferFrom,0,False
CVE-2018-13129,Token Devalue,SPXToken.transferFrom,0,False
CVE-2018-13129,Token Devalue,SPXToken.transfer,0,False
CVE-2018-13129,Token Devalue,SPXToken.mint,0,False
CVE-2018-13129,Token Devalue,SPXToken.approve,0,False
CVE-2018-13129,Token Devalue,SPXToken.increaseApproval,0,False
CVE-2018-13129,Token Devalue,SPXToken.decreaseApproval,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Integer Overflow,approveAndCall,0,False
CVE-2018-12702,Integer Overflow,approveAndCallcode,0,False
CVE-2020-17753,Wrong Logic,takeEther,0,False
CVE-2020-17753,Access Control,buyImplementation,0,False
CVE-2020-17753,Access Control,takeEther,0,False
CVE-2020-17753,Wrong Logic,buyTokens,0,False
CVE-2020-17753,Access Control,buyTokens,0,False
CVE-2020-17753,Typo Constructor,buyTokensFor,0,False
CVE-2020-17753,Access Control,giveToken,0,False
CVE-2020-17753,Bad Randomness,buyTokensFor,0,False
CVE-2020-17753,Typo Constructor,takeEther,0,False
CVE-2020-17753,Integer Overflow,takeEther,0,False
CVE-2020-17753,Bad Randomness,buyImplementation,0,False
CVE-2020-17753,Bad Randomness,takeEther,0,False
CVE-2020-17753,Wrong Logic,buyTokensFor,0,False
CVE-2020-17753,Integer Overflow,buyTokens,0,False
CVE-2020-17753,Bad Randomness,buyTokens,0,False
CVE-2020-17753,Access Control,buyTokensFor,0,False
CVE-2020-17753,Integer Overflow,giveToken,0,False
CVE-2020-17753,Typo Constructor,buyImplementation,0,False
CVE-2020-17753,Typo Constructor,buyTokens,0,False
CVE-2020-17753,Integer Overflow,buyImplementation,0,False
CVE-2020-17753,Wrong Logic,claimTokenBonus,0,False
CVE-2020-17753,Wrong Logic,giveToken,0,False
CVE-2020-17753,Wrong Logic,buyImplementation,0,False
CVE-2020-17753,Integer Overflow,buyTokensFor,0,False
CVE-2020-17753,Access Control,claimTokenBonus,0,False
CVE-2020-17753,Integer Overflow,claimTokenBonus,0,False
CVE-2020-17753,Bad Randomness,claimTokenBonus,0,False
CVE-2020-17753,Bad Randomness,giveToken,0,False
CVE-2020-17753,Typo Constructor,giveToken,0,False
CVE-2020-17753,Typo Constructor,claimTokenBonus,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Integer Overflow,freezeAccount,0,False
CVE-2018-12230,Integer Overflow,approve,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,approveAndCall,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,approveAndCallcode,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Integer Overflow,transferFrom,0,False
CVE-2018-18425,Integer Overflow,updateTokensPerEth,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdrop,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdropMultiple,0,False
CVE-2018-18425,Integer Overflow,transfer,0,False
CVE-2018-17050,Access Control,approveAndCall,0,False
CVE-2018-17050,Bad Randomness,transferFrom,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-17050,Wrong Logic,approveAndCall,0,False
CVE-2018-17050,Access Control,transferFrom,0,False
CVE-2018-17050,Bad Randomness,approveAndCall,0,False
CVE-2018-17050,Typo Constructor,transfer,0,False
CVE-2018-17050,Typo Constructor,transferFrom,0,False
CVE-2018-17050,Bad Randomness,transfer,0,False
CVE-2018-17050,Access Control,transfer,0,False
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Typo Constructor,approveAndCall,0,False
CVE-2018-13075,Integer Overflow,transferFrom,0,False
