dataname,auditor_idx,vulnerability,function_name
2021-3004,0,Integer Overflow,safeTransfer
2021-3004,0,Integer Overflow,safeTransferFrom
2021-3004,0,Wrong Logic,safeApprove
2021-3004,0,Bad Randomness,callOptionalReturn
2021-3004,0,Access Control,safeTransfer
2021-3004,0,Access Control,safeTransferFrom
2021-3004,0,Access Control,safeApprove
2021-3004,0,Access Control,callOptionalReturn
2021-3004,0,Token Devalue,safeTransfer
2021-3004,0,Token Devalue,safeTransferFrom
2021-3004,0,Token Devalue,safeApprove
2021-3004,0,Token Devalue,callOptionalReturn
