dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Wrong Logic,burn,0,False
CVE-2018-13722,Bad Randomness,setMintAgent,0,False
CVE-2018-13722,Access Control,setUpgradeAgent,0,False
CVE-2018-13722,Integer Overflow,safeMul,0,False
CVE-2018-17968,Typo Constructor,RuletkaIo,0,False
CVE-2018-17968,Wrong Logic,executeRoom,0,False
CVE-2018-17968,Bad Randomness,random,0,True
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Access Control,refundPlayersInRoom,0,False
CVE-2018-13132,Typo Constructor,SPXToken,0,False
CVE-2018-13132,Integer Overflow,mul,0,False
CVE-2018-13132,Bad Randomness,convertPresaleTokens,0,False
CVE-2018-13132,Wrong Logic,transfer,0,False
CVE-2018-13132,Access Control,setMigrationMaster,0,False
CVE-2018-13128,Wrong Logic,burn,0,False
CVE-2018-13128,Bad Randomness,mint,0,False
CVE-2018-13128,Access Control,burn,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Typo Constructor,ETY,0,False
CVE-2018-13777,Typo in the RRToken constructor,RRToken,0,False
CVE-2018-13777,Bad randomness in the mintToken function,mintToken,0,False
CVE-2018-13777,Integer overflow in the balanceOf mapping,_transfer,0,False
CVE-2018-13777,Access control in the transferFrom function,transferFrom,0,False
CVE-2018-13777,Wrong logic in the approveAndCall function,approveAndCall,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Access Control,freezeAccount,0,False
CVE-2018-12062,Bad Randomness,buy,0,False
CVE-2018-17071,Typo Constructor,function lucky9io,0,False
CVE-2018-17071,Integer Overflow,function () public payable,0,False
CVE-2018-17071,Wrong Logic,function stopGame() public onlyOwner,0,False
CVE-2018-17071,Access Control,function stopGame() public onlyOwner,0,False
CVE-2018-12083,Bad Randomness,approveAndCall,0,False
CVE-2018-12083,Integer Overflow,_transfer,0,False
CVE-2018-12083,Wrong Logic,transferFrom,0,False
CVE-2018-12083,Access Control,burn,0,False
CVE-2018-12083,Typo Constructor,owned,0,False
CVE-2018-14001,Bad Randomness,airDrop,0,False
CVE-2018-14001,Access Control,cashOut,0,False
CVE-2018-14001,Typo Constructor,Shark,0,False
CVE-2018-14001,Wrong Logic,transferFrom,0,False
CVE-2018-14001,Integer Overflow,transfer,0,False
CVE-2018-13208,Typo Constructor,MoneyTreeToken,0,False
CVE-2018-13208,Access Control,freezeAccount,0,False
CVE-2018-13208,Wrong Logic,transferFrom,0,False
CVE-2018-13208,Bad Randomness,buy,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13325,Access Control,freezeAccount,0,False
CVE-2018-13325,Bad Randomness,transferEth,0,False
CVE-2018-13325,Integer Overflow,_buy,0,False
CVE-2018-13325,Wrong Logic,_sell,0,False
CVE-2018-13129,Integer Overflow,mul,0,False
CVE-2018-13129,Wrong Logic,transfer,0,False
CVE-2018-13129,Typo Constructor,SPXToken,0,False
CVE-2018-13129,Access Control,setMigrationMaster,0,False
CVE-2018-13129,Bad Randomness,setMigrationAgent,0,False
CVE-2018-12702,Typo Constructor,GVE,0,False
CVE-2018-12702,Access Control,approveAndCallcode,0,True
CVE-2018-12702,Wrong Logic,approveAndCall,0,False
CVE-2018-12702,Bad Randomness,GVE,0,False
CVE-2020-17753,Wrong Logic,RC.buyTokensFor(),0,False
CVE-2020-17753,Integer Overflow,RC.buyTokensFor(),0,False
CVE-2020-17753,Access Control,RC.buyTokensFor(),0,False
CVE-2020-17753,Typo Constructor,RC.buyTokensFor(),0,False
CVE-2020-17753,Bad Randomness,RC.buyTokensFor(),0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Typo Constructor,RemiCoin,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12230,Access Control,freezeAccount,0,False
CVE-2018-12230,Bad Randomness,mintToken,0,False
CVE-2018-12703,Access Control,approveAndCall,0,False
CVE-2018-12703,Typo Constructor,EightteenToken,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-14085,Bad Randomness,makeWallet,0,False
CVE-2018-14085,Access Control,addSweeper,0,False
CVE-2018-14085,Wrong Logic,sweep,0,False
CVE-2018-18425,Access Control,withdraw(),0,False
CVE-2018-18425,Integer Overflow,mul(),0,False
CVE-2018-18425,Typo Constructor,constructor(),0,False
CVE-2018-18425,Wrong Logic,transfer(),0,False
CVE-2018-18425,Bad Randomness,getTokens(),0,False
CVE-2018-17050,Wrong Logic,transferFrom,0,False
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Typo Constructor,PolyAi,0,False
CVE-2018-17050,Bad Randomness,mintToken,0,False
CVE-2018-17050,Access Control,freezeAccount,0,False
