dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,transfer,0,False
CVE-2018-13722,Access Control,approve,0,False
CVE-2018-13722,Wrong Logic,mint,0,False
CVE-2018-13722,Token Devalue,upgrade,0,False
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-17968,Bad Randomness,random,0,True
CVE-2018-17968,Wrong Logic,executeRoom,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Access Control,enterWithReferral,0,False
CVE-2018-13132,Access Control,transferFrom,0,False
CVE-2018-13132,Token Devalue,mint,0,False
CVE-2018-13132,Access Control,transfer,0,False
CVE-2018-13132,Access Control,setMigrationAgent,0,False
CVE-2018-13132,Access Control,approve,0,False
CVE-2018-13128,Access Control,transfer,0,False
CVE-2018-13128,Access Control,transferFrom,0,False
CVE-2018-13128,Access Control,mint,0,False
CVE-2018-13128,Access Control,burn,0,False
CVE-2018-13128,Access Control,unfreeze,0,False
CVE-2018-13777,Integer Overflow,_transfer,0,False
CVE-2018-13777,Access Control,mintToken,0,False
CVE-2018-13777,Bad Randomness,approveAndCall,0,False
CVE-2018-13777,Typo Constructor,TokenERC20,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Access Control,transfer,0,False
CVE-2018-12062,Access Control,transferFrom,0,False
CVE-2018-12062,Token Devalue,sell,0,False
CVE-2018-17071,Wrong Logic,(),0,False
CVE-2018-17071,Token Devalue,(),0,False
CVE-2018-17071,Access Control,stopGame,0,False
CVE-2018-12083,Access Control,changeOwner,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-12083,Access Control,approve,0,False
CVE-2018-12083,Integer Overflow,transferFrom,0,False
CVE-2018-12083,Token Devalue,mintToken,0,True
CVE-2018-14001,Access Control,Trade,0,False
CVE-2018-14001,Token Devalue,Buy,0,False
CVE-2018-14001,Token Devalue,Sell,0,False
CVE-2018-14001,Access Control,airDrop,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13208,Token Devalue,setPrices,0,False
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Wrong Logic,mintToken,0,False
CVE-2018-13208,Access Control,transferFrom,0,False
CVE-2018-13325,Access Control,transferOwnership,0,False
CVE-2018-13325,Integer Overflow,_sell,0,True
CVE-2018-13325,Access Control,transfer,0,False
CVE-2018-13325,Integer Overflow,_buy,0,False
CVE-2018-13325,Access Control,transferFrom,0,False
CVE-2018-13129,Access Control,transfer,0,False
CVE-2018-13129,Token Devalue,mint,0,False
CVE-2018-13129,Access Control,approve,0,False
CVE-2018-13129,Access Control,migrate,0,False
CVE-2018-13129,Access Control,transferFrom,0,False
CVE-2018-12702,Access Control,approve,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Access Control,transferFrom,0,False
CVE-2018-12702,Bad Randomness,approveAndCallcode,0,False
CVE-2020-17753,Wrong Logic,claimTokenBonus,0,False
CVE-2020-17753,Access Control,releaseTokensTo,0,False
CVE-2020-17753,Integer Overflow,takeEther,0,False
CVE-2020-17753,Access Control,buyImplementation,0,False
CVE-2018-12230,Token Devalue,approve,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12230,Access Control,transfer,0,False
CVE-2018-12230,Access Control,mintToken,0,False
CVE-2018-12703,Access Control,approveAndCallcode,0,True
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Access Control,approveAndCall,0,False
CVE-2018-14085,Access Control,Controller.changeAuthorizedCaller,0,False
CVE-2018-14085,Access Control,sweep,0,False
CVE-2018-14085,Access Control,Controller.changeDestination,0,False
CVE-2018-14085,Token Devalue,DefaultSweeper,0,False
CVE-2018-14085,Access Control,Controller.makeWallet,0,False
CVE-2018-18425,Access Control,distr,0,False
CVE-2018-18425,Access Control,transfer,0,False
