dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,safeSub,0,False
CVE-2018-13722,Integer Overflow,safeDiv,0,False
CVE-2018-13722,Integer Overflow,safeMul,0,False
CVE-2018-13722,Integer Overflow,safeAdd,0,False
CVE-2018-13722,Integer Overflow,burn,0,False
CVE-2018-17968,Bad Randomness,random,0,True
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,0,False
CVE-2018-13128,Access Control,transferFrom,0,False
CVE-2018-13128,Access Control,transfer,0,False
CVE-2018-13128,Access Control,approve,0,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13777,Typo Constructor,TokenERC20,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-17071,Integer Overflow,(),0,False
CVE-2018-17071,Bad Randomness,(),0,False
CVE-2018-17071,Wrong Logic,(),0,False
CVE-2018-17071,Access Control,stopGame(),0,False
CVE-2018-12083,Typo Constructor,mintToken,0,False
CVE-2018-12083,Access Control,mintToken,0,False
CVE-2018-12083,Integer Overflow,burn,0,False
CVE-2018-12083,Integer Overflow,burnFrom,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-14001,Integer Overflow,transferFrom,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,transfer,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13208,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Integer Overflow,setPrices,0,False
CVE-2018-13325,Integer Overflow,transferEth,0,False
CVE-2018-13325,Integer Overflow,setBuyOpen,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Integer Overflow,approve,0,False
CVE-2018-13129,Integer Overflow,transfer,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Integer Overflow,balanceOf,0,False
CVE-2018-12702,Integer Overflow,approveAndCallcode,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
