Subfolder,Metric,Value
openinterpreter_baseline_2,Top k hit rate,"Top k hit rate:,0.26,(28/106)"
openinterpreter_baseline_2,Top 1 hit rate,"Top 1 hit rate:,0.26,0.0660377358490566,(7/106)"
techx_codegemma_baseline_2,Top k hit rate,"Top k hit rate:,0.14,(13/95)"
techx_codegemma_baseline_2,Top 1 hit rate,"Top 1 hit rate:,0.14,0.05263157894736842,(5/95)"
deepseek_baseline_2,Top k hit rate,"Top k hit rate:,0.12,(13/108)"
deepseek_baseline_2,Top 1 hit rate,"Top 1 hit rate:,0.12,0.046296296296296294,(5/108)"
codellama_baseline_2,Top k hit rate,"Top k hit rate:,0.13,(14/108)"
codellama_baseline_2,Top 1 hit rate,"Top 1 hit rate:,0.13,0.06481481481481481,(7/108)"
alfredpros_codellama_2,Top k hit rate,"Top k hit rate:,0.22,(21/96)"
alfredpros_codellama_2,Top 1 hit rate,"Top 1 hit rate:,0.22,0.09375,(9/96)"
nxcodea_baseline_2,Top k hit rate,"Top k hit rate:,0.38,(39/102)"
nxcodea_baseline_2,Top 1 hit rate,"Top 1 hit rate:,0.38,0.11764705882352941,(12/102)"
