dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Safe multiplication can be manipulated to produce incorrect results.,safeMul,0,False
CVE-2018-13722,Transfer can be manipulated to transfer more tokens than it actually should.,transfer,0,False
CVE-2018-17968,Weak Randomness,setCTO,0,False
CVE-2018-17968,Integer Overflow,createRoom,0,False
CVE-2018-13132,Transfer can be manipulated to transfer more tokens than it actually should.,transfer,0,False
CVE-2018-13132,The function doesn't check if the caller is the owner of the token.,approve,0,False
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-13777,Wrong Logic,mintToken,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Bad Randomness,transfer,0,False
CVE-2018-12062,Access Control,transferFrom,0,False
CVE-2018-17071,Typos in the code,function(),0,False
CVE-2018-17071,Integer Overflow,function(),0,False
CVE-2018-17071,Token Devalue,function(),0,False
CVE-2018-17071,Access Control,stopGame(),0,False
CVE-2018-17071,Weak randomness,stopGame(),0,False
CVE-2018-12083,Wrong Logic,changeOwner,0,False
CVE-2018-12083,Typos in Constructor,mintToken,0,False
CVE-2018-12083,Token Devalue,burnFrom,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-12083,Access Control,transferFrom,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13208,Integer Overflow,setPrices,0,False
CVE-2018-13208,Token Devalue,mintToken,0,False
CVE-2018-13208,Access Control,transferFrom,0,False
CVE-2018-13208,Bad Randomness,freezeAccount,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Wrong Logic,transferFrom,0,False
CVE-2018-13129,Wrong Logic,transfer,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-12702,Typo Constructor,allowance,0,False
CVE-2018-12702,Wrong Logic,balanceOf,0,False
CVE-2018-12702,Bad Randomness,approve,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2020-17753,Weak Randomness,addMeByRC,0,False
CVE-2020-17753,Weak Randomness,buyFromRC,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12230,Typo Constructor,changeName,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12230,Bad Randomness,mintToken,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Access Control,freezeAccount,0,False
CVE-2018-12703,Wrong Logic,balanceOf,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Access Control,allowance,0,False
CVE-2018-12703,Access Control,transferAndCall,0,False
CVE-2018-12703,Bad Randomness,approve,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-14085,Access Control,changeDestination(),0,False
CVE-2018-14085,Integer Overflow,sweep(),0,False
CVE-2018-14085,Access Control,changeAuthorizedCaller(),0,False
CVE-2018-14085,Weak Randomness,makeWallet(),0,False
CVE-2018-14085,Access Control,changeOwner(),0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Wrong Logic,transfer,0,False
CVE-2018-17050,Wrong Logic,transferFrom,0,False
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Access Control,transferFrom,0,False
CVE-2018-17050,Bad Randomness,transfer,0,False
CVE-2018-17050,Typo Constructor,mintToken,0,False
CVE-2018-13075,Token Devalue,CarbonExchangeCoinToken,0,False
CVE-2018-13075,Typo Constructor,CarbonExchangeCoinToken,0,False
CVE-2018-13075,Integer Overflow,CarbonExchangeCoinToken,0,False
CVE-2018-13075,Access Control,CarbonExchangeCoinToken,0,False
CVE-2018-13076,Not checking if the user is minting tokens,mintToken,0,False
CVE-2018-13076,Bad Randomness,freezeAccount,0,False
CVE-2018-13076,Not checking if the user is buying tokens,buy,0,False
CVE-2018-13076,Integer Overflow,transfer,0,False
CVE-2018-13076,Integer Overflow,transferFrom,0,False
CVE-2018-17877,Bad Randomness,acceptOwnership,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-13071,Incorrect Input Handling,setPrices,0,False
CVE-2018-13071,Access Control,transferFrom,0,False
CVE-2018-13071,Mint Token Without Checking Balance,mintToken,0,False
CVE-2018-13071,Integer Overflow,transfer,0,False
CVE-2018-13071,Freeze Account Without Confirmation,freezeAccount,0,False
CVE-2018-13088,Integer Overflow,transfer,0,False
CVE-2018-13088,Access Control,freezeAccount,0,False
CVE-2018-13088,Bad Randomness,mintToken,0,False
CVE-2018-13533,Wrong Logic,transferFrom,0,False
CVE-2018-13533,Typo Constructor,transfer,0,False
CVE-2018-13533,Integer Overflow,transfer,0,False
CVE-2018-13533,Access Control,transferFrom,0,False
CVE-2021-34273,Wrong Logic,transferFrom,0,False
CVE-2021-34273,Integer Overflow,transfer,0,False
CVE-2021-34273,Token Devalue,transferFrom,0,False
CVE-2018-10299,Integer Overflow,transfer,0,False
CVE-2018-10299,Integer Overflow,transferFrom,0,False
CVE-2018-10299,Integer Overflow,approve,0,False
CVE-2018-13670,Access Control,transfer,0,False
CVE-2018-13670,Integer Overflow,transfer,0,False
CVE-2018-13670,Wrong Logic,mintToken,0,False
CVE-2018-13670,Typo Constructor,freezeAccount,0,False
CVE-2018-13670,Token Devalue,buy,0,False
CVE-2018-10376,Access Control,transferProxy,0,False
CVE-2018-10376,Integer Overflow,transferProxy,0,True
CVE-2018-10376,Wrong Logic,transferProxy,0,False
CVE-2018-10376,Bad Randomness,transferProxy,0,False
CVE-2018-14003,Weak Randomness,batchTransfer,0,False
CVE-2018-14003,Typo Constructor,freezeAccount,0,False
CVE-2018-14003,Access Control,burnFrom,0,False
CVE-2018-14003,Integer Overflow,transferFrom,0,False
CVE-2018-14003,Weak Randomness,WMCToken,0,False
CVE-2018-11429,Wrong Logic,sub,0,False
CVE-2018-11429,Token Devaluation,unfreeze,0,False
CVE-2018-11429,Access Control,transferFrom,0,False
CVE-2018-11429,Typos in the Constructor,mint,0,False
CVE-2018-11429,Integer Overflow,transfer,0,False
CVE-2018-13070,Integer Overflow,transfer,0,False
CVE-2018-13070,Access Control,freezeAccount,0,False
CVE-2018-13070,Access Control,transferFrom,0,False
CVE-2018-13070,Bad Randomness,mintToken,0,False
CVE-2018-13070,Integer Overflow,buy,0,False
CVE-2018-13073,Access Control,transferFrom,0,False
CVE-2018-13073,Token Devalue,buy,0,False
CVE-2018-13073,Bad Randomness,freezeAccount,0,False
CVE-2018-13073,Typos in Constructor,mintToken,0,False
CVE-2018-14715,The onTransferStack function does not check if the sender has enough tokens to transfer.,onTransferStack,0,False
CVE-2018-14715,The transfer function can be manipulated to transfer a greater or lesser amount of tokens than intended.,transfer,0,False
CVE-2018-13079,Wrong Logic,StandardToken.sell(),0,False
CVE-2018-13079,Wrong Logic,StandardToken.buy(),0,False
CVE-2018-19833,Bad Randomness,freezeAccount,0,False
CVE-2018-19833,Integer Overflow,burn,0,False
CVE-2018-19833,Typo Constructor,owned,0,False
CVE-2018-19833,Access Control,transfer,0,False
CVE-2018-19833,Integer Overflow,mintToken,0,False
CVE-2018-14089,Integer Overflow,sub,0,False
CVE-2019-15078,Integer Overflow,transferFrom,0,False
CVE-2019-15078,Weak Randomness,getTokens,0,False
CVE-2018-13085,Integer Overflow,setPrices,0,False
CVE-2018-13085,Access Control,buy,0,False
CVE-2018-13085,Access Control,freezeAccount,0,False
CVE-2018-13085,Weak Randomness,mintToken,0,False
CVE-2018-13085,Integer Overflow,sell,0,False
CVE-2018-14063,Integer Overflow,transfer,0,False
CVE-2018-14063,Typo Constructor,increaseApproval,0,False
CVE-2018-14063,Token Devalue,decreaseApproval,0,False
CVE-2018-14063,Wrong Logic,increaseApproval,0,False
CVE-2018-14063,Access Control,transferFrom,0,False
CVE-2018-13087,Integer Overflow,TokenERC20.transfer,0,False
CVE-2018-13087,Access Control,MyAdvancedToken.freezeAccount,0,False
CVE-2018-12070,Integer Overflow,transferFrom,0,False
CVE-2018-12070,Integer Overflow,mintToken,0,False
CVE-2018-12070,Integer Overflow,transfer,0,False
CVE-2018-12070,Integer Overflow,burnFrom,0,False
CVE-2018-12070,Integer Overflow,burn,0,False
CVE-2018-10706,Wrong Logic,transfer,0,False
CVE-2018-10706,Integer Overflow,receiveApproval,0,False
CVE-2019-15079,Typo Constructor,transferFrom,0,False
CVE-2019-15079,Access Control,burn,0,False
CVE-2019-15079,Wrong Logic,transfer,0,False
CVE-2019-15079,Bad Randomness,burnFrom,0,False
CVE-2019-15079,Integer Overflow,EAI_TokenERC20,0,False
CVE-2018-14087,Bad Randomness,mintToken,0,False
CVE-2018-14087,Integer Overflow,transferFrom,0,False
CVE-2018-14087,Integer Overflow,buy,0,False
CVE-2018-14087,Access Control,freezeAccount,0,False
CVE-2018-14087,Integer Overflow,transfer,0,False
CVE-2018-12067,Bad Randomness,transfer,0,False
CVE-2018-12067,Access Control,transferFrom,0,False
CVE-2018-12067,Integer Overflow,transfer,0,False
CVE-2018-12067,Wrong Logic,transferFrom,0,False
CVE-2021-34272,Access Control,RobotBTC.buy(),0,False
CVE-2021-34272,Integer Overflow,RobotBTC.sell(),0,False
CVE-2018-13703,Access Control,transferFrom,0,False
CVE-2018-13703,Integer Overflow,mintToken,0,True
CVE-2018-13703,Access Control,freezeAccount,0,False
CVE-2018-13069,Integer Overflow,buy,0,False
CVE-2018-13069,Integer Overflow,mintToken,0,True
CVE-2018-13069,Integer Overflow,sell,0,False
CVE-2018-13069,Integer Overflow,transfer,0,False
CVE-2021-3004,Weak WAB vulnerability,stake,0,False
CVE-2021-3004,Weak WAB vulnerability,unstake,0,False
CVE-2018-13127,Wrong Logic,BasicToken.transfer,0,False
CVE-2018-13127,Integer Overflow,DSPXToken.mint,0,False
CVE-2018-13127,Access Control,DSPXToken.transfer,0,False
CVE-2018-13127,Access Control,DSPXToken.transferFrom,0,False
CVE-2018-13041,Access Control,transferFrom,0,False
CVE-2018-13041,Token Devalue,devalue,0,False
CVE-2018-13041,Integer Overflow,transfer,0,False
CVE-2018-13041,Wrong Logic,balanceOf,0,False
CVE-2018-13041,Typos in constructor,mint,0,False
CVE-2018-13091,Bad Randomness,burn,0,False
CVE-2018-13091,Access Control,transferFrom,0,False
CVE-2018-13091,Wrong Logic,transfer,0,False
CVE-2018-13091,Integer Overflow,mintToken,0,True
CVE-2018-13091,Typo Constructor,approve,0,False
CVE-2018-12068,Integer Overflow,transfer,0,False
CVE-2018-12068,Wrong Logic,transferFrom,0,False
CVE-2018-12068,Access Control,transferFrom,0,False
CVE-2018-12068,Bad Randomness,transfer,0,False
CVE-2018-14084,Bad Randomness,freezeAccount,0,False
CVE-2018-14084,Access Control,transferOwnership,0,False
CVE-2018-14084,Integer Overflow,transfer,0,False
CVE-2018-14084,Wrong Logic,mintToken,0,False
CVE-2018-13327,Wrong Logic,transferFrom,0,False
CVE-2018-13327,Access Control,transfer,0,False
CVE-2018-13327,Token Devalue,allowance,0,False
CVE-2018-13327,Typos in Constructor,approve,0,False
CVE-2018-13327,Integer Overflow,transfer,0,False
CVE-2018-11411,Bad Randomness,transfer,0,False
CVE-2018-11411,Typo Constructor,DimonCoin,0,False
CVE-2018-11411,Integer Overflow,transfer,0,False
CVE-2018-11411,Wrong Logic,transferFrom,0,True
CVE-2018-11411,Access Control,transferFrom,0,False
CVE-2018-17987,Typo Constructor,claimTiles,0,False
CVE-2018-17987,Access Control,claimWinnings,0,False
CVE-2018-17987,Token Devalue,refundTiles,0,False
CVE-2018-17987,Wrong Logic,updateGameCost,0,False
CVE-2018-17987,Integer Overflow,claimTile,0,False
CVE-2018-12511,Bad Randomness,transfer,0,False
CVE-2018-12511,Wrong Logic,transferFrom,0,False
CVE-2018-12511,Integer Overflow,transfer,0,False
CVE-2018-12511,Access Control,transferFrom,0,False
CVE-2018-14005,Typo Constructor,transferAny,0,False
CVE-2018-14005,Integer Overflow,transfer,0,False
CVE-2018-14005,Wrong Logic,transferFrom,0,False
CVE-2018-14005,Access Control,transferAUTOtokens1,0,False
CVE-2018-14005,Bad Randomness,increaseApproval,0,False
CVE-2018-11335,Wrong Logic,transfer,0,False
CVE-2018-11335,Integer Overflow,mint,0,True
CVE-2018-13089,Access Control,UCoinToken.freezeAccount,0,False
CVE-2018-13089,Token Devalue,UCoinToken.mintToken,0,False
CVE-2018-13089,Integer Overflow,TokenERC20.transfer,0,False
CVE-2018-13089,Token Devalue,TokenERC20.burn,0,False
CVE-2018-13089,Typo Constructor,TokenERC20.transferFrom,0,False
CVE-2018-13086,Integer Overflow,IADOWR,0,False
CVE-2018-13086,Wrong Logic,IADOWR,0,False
CVE-2018-13086,Typo Constructor,IADOWR,0,False
CVE-2018-13086,Access Control,IADOWR,0,False
CVE-2018-13086,Bad Randomness,IADOWR,0,False
CVE-2018-13228,Integer Overflow,transfer,0,False
CVE-2018-13228,Token Devalue,mintToken,0,False
CVE-2018-13228,Access Control,transferFrom,0,False
CVE-2018-13228,Integer Overflow,setPrices,0,False
CVE-2018-13228,Bad Randomness,freezeAccount,0,False
CVE-2018-13074,Bad Randomness,freezeAccount,0,False
CVE-2018-13074,Integer Overflow,mintToken,0,True
CVE-2018-13074,Token Devalue,burn,0,False
CVE-2018-13074,Integer Overflow,transfer,0,False
CVE-2018-13778,Integer Overflow,mintToken,0,True
CVE-2018-13778,Token Devalue,burn,0,False
CVE-2018-13778,Bad Randomness,freezeAccount,0,False
CVE-2018-12025,Typo Constructor,changeName,0,False
CVE-2018-12025,Bad Randomness,mintToken,0,False
CVE-2018-12025,Integer Overflow,transfer,0,False
CVE-2018-12025,Wrong Logic,transferFrom,0,True
CVE-2018-12025,Access Control,freezeAccount,0,False
CVE-2018-12025,Integer Overflow,transferFrom,0,False
CVE-2018-12081,Wrong Logic,transferFrom,0,False
CVE-2018-12081,Integer Overflow,transfer,0,False
CVE-2018-12081,Bad Randomness,transfer,0,False
CVE-2018-12081,Access Control,transferFrom,0,False
CVE-2018-17111,Wrong Logic,transfer,0,False
CVE-2018-17111,Bad Randomness,transferFrom,0,False
CVE-2018-17111,Integer Overflow,totalSupply,0,False
CVE-2018-17111,Typo Constructor,allowance,0,False
CVE-2018-17111,Access Control,approve,0,False
CVE-2018-11239,Token Devalue,transferFrom,0,False
CVE-2018-11239,Access Control,burn,0,False
CVE-2018-11239,Wrong Logic,burn,0,False
CVE-2018-11239,Typo Constructor,approve,0,False
CVE-2018-11239,Integer Overflow,transfer,0,False
CVE-2018-13202,Integer Overflow,transfer,0,False
CVE-2018-13202,Wrong Logic,transferFrom,0,False
CVE-2018-13202,Bad Randomness,transfer,0,False
CVE-2018-13202,Access Control,transferFrom,0,False
CVE-2021-34270,Integer Overflow,transferFrom,0,False
CVE-2021-34270,Weak Randomness,mine,0,False
CVE-2021-34270,Integer Overflow,transfer,0,False
CVE-2021-34270,Access Control,setPrices,0,False
CVE-2018-12959,Wrong Logic,transferFrom,0,False
CVE-2018-12959,Bad Randomness,balanceOf,0,False
CVE-2018-12959,Access Control,approve,0,False
CVE-2018-12959,Integer Overflow,transfer,0,False
CVE-2018-12959,Typo Constructor,allowance,0,False
CVE-2018-13493,Weak random number generator,mintToken,0,False
CVE-2018-13493,Inadequate access control measures,freezeAccount,0,False
CVE-2018-13068,Integer Overflow,AzurionToken,0,False
CVE-2018-13068,Access Control,burnFrom,0,False
CVE-2018-13068,Bad Randomness,freezeAccount,0,False
CVE-2018-13068,Integer Overflow,mintToken,0,True
CVE-2018-13068,Access Control,transferFrom,0,False
CVE-2018-19832,Weak Randomness,getTokens,0,False
CVE-2018-19832,Integer Overflow,transfer,0,False
CVE-2018-13083,Integer Overflow,transfer,0,False
CVE-2018-13083,Wrong Logic,transferFrom,0,False
CVE-2018-13230,Access Control,DestiNeedToken.mintToken,0,False
CVE-2018-13230,Bad Randomness,DestiNeedToken.freezeAccount,0,False
CVE-2018-13230,Wrong Logic,DestiNeedToken.transferFrom,0,False
CVE-2018-13230,Integer Overflow,DestiNeedToken.transfer,0,False
CVE-2018-13230,Typo Constructor,DestiNeedToken.setPrices,0,False
CVE-2018-13092,Integer Overflow,transfer,0,False
CVE-2018-12082,Insufficient checks for balance and frozen account status,buy,0,False
CVE-2018-12082,Integer Overflow,transferFrom,0,False
CVE-2018-12082,Potential for unlimited minting of tokens,mintToken,0,False
CVE-2018-12082,Integer Overflow,transfer,0,False
CVE-2018-12082,Poorly constructed function leading to potential misuse,freezeAccount,0,False
CVE-2018-13225,Access Control,transferFrom,0,False
CVE-2018-13225,Access Control,freezeAccount,0,False
CVE-2018-13225,Bad Randomness,mintToken,0,False
CVE-2018-13225,Integer Overflow,setPrices,0,False
CVE-2018-13225,Integer Overflow,transfer,0,False
CVE-2018-13189,Integer Overflow,transfer,0,False
CVE-2018-13189,Access Control,finish,0,False
CVE-2018-13189,Wrong Logic,mint,0,False
CVE-2018-13189,Weak Randomness,pricePerWei(),0,False
CVE-2018-12079,Bad Randomness,transfer,0,False
CVE-2018-12079,Wrong Logic,transferFrom,0,False
CVE-2018-12079,Integer Overflow,transfer,0,False
CVE-2018-12079,Access Control,transferFrom,0,False
CVE-2018-19834,Incorrect calculation of the supply,mint,0,False
CVE-2018-19834,Integer Overflow,transfer,0,False
CVE-2018-19834,Integer Overflow,transferFrom,0,False
CVE-2018-13783,Access Control,buy,0,False
CVE-2018-13783,Weak Randomness,mintToken,0,False
CVE-2018-13783,Integer Overflow,sell,0,False
CVE-2018-13783,Integer Overflow,setPrices,0,False
CVE-2018-13783,Access Control,freezeAccount,0,False
CVE-2018-13221,Integer Overflow,newToken.transfer,0,False
CVE-2018-13221,Access Control,ExtremeToken.sell,0,False
CVE-2018-12454,Wrong Logic,setBettingCondition,0,False
CVE-2018-12454,Integer Overflow,addguess,0,False
CVE-2018-13782,Integer Overflow,transfer,0,False
CVE-2018-13782,Access Control,transferFrom,0,False
CVE-2018-13782,Wrong Logic,transferFrom,0,False
CVE-2018-13836,Token Devalue,withdrawFunds,0,False
CVE-2018-13836,Integer Overflow,RocketCoin(),0,False
CVE-2018-13836,Typo Constructor,setupAirDrop,0,False
CVE-2018-13836,Wrong Logic,transfer,0,False
CVE-2018-13836,Access Control,transferFrom,0,False
CVE-2018-14576,Integer Overflow,transfer,0,False
CVE-2018-13625,Access Control,freezelvlAccount,0,False
CVE-2018-13625,Access Control,setlvlSign,0,False
CVE-2018-13625,Access Control,setlvlNominalValue,0,False
CVE-2018-13625,Integer Overflow,mintlvlToken,0,True
CVE-2018-13625,Access Control,transfer,0,False
CVE-2018-19830,Wrong Logic,transferFrom,0,False
CVE-2018-19830,Integer Overflow,transfer,0,False
CVE-2018-10944,CVE-2021-12345,Extract the function name,Extract the auditor_idx,False
CVE-2018-10944,CVE-2021-98765,Extract the function name,Extract the auditor_idx,False
CVE-2018-10944,CVE-2021-6789,Extract the function name,Extract the auditor_idx,False
CVE-2018-10944,CVE-2021-43210,Extract the function name,Extract the auditor_idx,False
CVE-2018-10944,CVE-2021-54321,Extract the function name,Extract the auditor_idx,False
CVE-2018-13113,Typo Constructor,allowance,0,False
CVE-2018-13113,Integer Overflow,transfer,0,False
CVE-2018-13113,Wrong Logic,transferFrom,0,False
CVE-2018-13113,Access Control,approve,0,False
CVE-2018-13113,Bad Randomness,balanceOf,0,False
CVE-2018-14004,Transfer of a large amount of tokens to another account can lead to a potential overflow if the transaction is large.,transfer,0,False
CVE-2018-14004,The function `increaseApproval` can lead to a potential integer overflow if the value to increase the approval is large.,increaseApproval,0,False
CVE-2018-12078,Bad Randomness,transfer,0,False
CVE-2018-12078,Typo Constructor,mintToken,0,False
CVE-2018-12078,Access Control,transferFrom,0,False
CVE-2018-12078,Wrong Logic,transferFrom,0,False
CVE-2018-12078,Integer Overflow,transfer,0,False
CVE-2018-13227,Access Control,transferFrom,0,False
CVE-2018-13227,Wrong Logic,transferFrom,0,False
CVE-2018-13227,Typo Constructor,transfer,0,False
CVE-2018-13227,Integer Overflow,transfer,0,False
