dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Typo Constructor,MorphToken,0,False
CVE-2018-13722,Wrong Logic,transferFrom,0,False
CVE-2018-13722,Denial of Service,claimThrone,0,False
CVE-2018-13722,Bad Randomness,PayWinner,0,False
CVE-2018-13722,Integer Overflow,distribute,0,False
CVE-2018-13722,Access Control,ToOwner,0,False
CVE-2018-17968,Wrong Logic,transferFrom,0,False
CVE-2018-17968,Typo Constructor,MorphToken,0,False
CVE-2018-17968,Integer Overflow,distribute,0,False
CVE-2018-17968,Access Control,ToOwner,0,False
CVE-2018-17968,Denial of Service,claimThrone,0,False
CVE-2018-17968,Bad Randomness,PayWinner,0,False
CVE-2018-13132,Access Control,ToOwner,0,False
CVE-2018-13132,Denial of Service,claimThrone,0,False
CVE-2018-13132,Typo Constructor,MorphToken,0,False
CVE-2018-13132,Integer Overflow,distribute,0,False
CVE-2018-13132,Wrong Logic,transferFrom,0,False
CVE-2018-13132,Bad Randomness,PayWinner,0,False
CVE-2018-13128,Integer Overflow,distribute,0,False
CVE-2018-13128,Denial of Service,claimThrone,0,False
CVE-2018-13128,Typo Constructor,MorphToken,0,False
CVE-2018-13128,Bad Randomness,PayWinner,0,False
CVE-2018-13128,Wrong Logic,transferFrom,0,False
CVE-2018-13128,Access Control,ToOwner,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Denial of Service,claimThrone,0,False
CVE-2018-13777,Bad Randomness,PayWinner,0,False
CVE-2018-13777,Access Control,ToOwner,0,False
CVE-2018-13777,Typo Constructor,MorphToken,0,False
CVE-2018-13777,Integer Overflow,distribute,0,False
CVE-2018-12062,Bad Randomness,PayWinner,0,False
CVE-2018-12062,Integer Overflow,distribute,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Denial of Service,claimThrone,0,False
CVE-2018-12062,Typo Constructor,MorphToken,0,False
CVE-2018-12062,Access Control,ToOwner,0,False
CVE-2018-17071,Wrong Logic,transferFrom,0,False
CVE-2018-17071,Denial of Service,claimThrone,0,False
CVE-2018-17071,Bad Randomness,PayWinner,0,False
CVE-2018-17071,Integer Overflow,distribute,0,False
CVE-2018-17071,Access Control,ToOwner,0,False
CVE-2018-17071,Typo Constructor,MorphToken,0,False
CVE-2018-12083,Bad Randomness,PayWinner,0,False
CVE-2018-12083,Integer Overflow,distribute,0,False
CVE-2018-12083,Access Control,ToOwner,0,False
CVE-2018-12083,Typo Constructor,MorphToken,0,False
CVE-2018-12083,Denial of Service,claimThrone,0,False
CVE-2018-12083,Wrong Logic,transferFrom,0,False
CVE-2018-14001,Denial of Service,claimThrone,0,False
CVE-2018-14001,Integer Overflow,distribute,0,False
CVE-2018-14001,Access Control,ToOwner,0,False
CVE-2018-14001,Wrong Logic,transferFrom,0,False
CVE-2018-14001,Bad Randomness,PayWinner,0,False
CVE-2018-14001,Typo Constructor,MorphToken,0,False
CVE-2018-13208,Bad Randomness,PayWinner,0,False
CVE-2018-13208,Wrong Logic,transferFrom,0,False
CVE-2018-13208,Denial of Service,claimThrone,0,False
CVE-2018-13208,Typo Constructor,MorphToken,0,False
CVE-2018-13208,Integer Overflow,distribute,0,False
CVE-2018-13208,Access Control,ToOwner,0,False
CVE-2018-13325,Denial of Service,claimThrone,0,False
CVE-2018-13325,Typo Constructor,MorphToken,0,False
CVE-2018-13325,Bad Randomness,PayWinner,0,False
CVE-2018-13325,Integer Overflow,distribute,0,False
CVE-2018-13325,Access Control,ToOwner,0,False
CVE-2018-13325,Wrong Logic,transferFrom,0,False
CVE-2018-13129,Typo Constructor,MorphToken,0,False
CVE-2018-13129,Integer Overflow,distribute,0,False
CVE-2018-13129,Wrong Logic,transferFrom,0,False
CVE-2018-13129,Denial of Service,claimThrone,0,False
CVE-2018-13129,Bad Randomness,PayWinner,0,False
CVE-2018-13129,Access Control,ToOwner,0,False
CVE-2018-12702,Integer Overflow,distribute,0,False
CVE-2018-12702,Bad Randomness,PayWinner,0,False
CVE-2018-12702,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Typo Constructor,MorphToken,0,False
CVE-2018-12702,Access Control,ToOwner,0,False
CVE-2018-12702,Denial of Service,claimThrone,0,False
CVE-2020-17753,Denial of Service,claimThrone,0,False
CVE-2020-17753,Bad Randomness,PayWinner,0,False
CVE-2020-17753,Access Control,ToOwner,0,False
CVE-2020-17753,Typo Constructor,MorphToken,0,False
CVE-2020-17753,Integer Overflow,distribute,0,False
CVE-2020-17753,Wrong Logic,transferFrom,0,False
CVE-2018-12230,Denial of Service,claimThrone,0,False
CVE-2018-12230,Access Control,ToOwner,0,False
CVE-2018-12230,Integer Overflow,distribute,0,False
CVE-2018-12230,Bad Randomness,PayWinner,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12230,Typo Constructor,MorphToken,0,False
CVE-2018-12703,Denial of Service,claimThrone,0,False
CVE-2018-12703,Access Control,ToOwner,0,False
CVE-2018-12703,Wrong Logic,transferFrom,0,False
CVE-2018-12703,Typo Constructor,MorphToken,0,False
CVE-2018-12703,Bad Randomness,PayWinner,0,False
CVE-2018-12703,Integer Overflow,distribute,0,False
CVE-2018-14085,Wrong Logic,transferFrom,0,False
CVE-2018-14085,Typo Constructor,MorphToken,0,False
CVE-2018-14085,Bad Randomness,PayWinner,0,False
CVE-2018-14085,Denial of Service,claimThrone,0,False
CVE-2018-14085,Integer Overflow,distribute,0,False
CVE-2018-14085,Access Control,ToOwner,0,False
CVE-2018-18425,Denial of Service,claimThrone,0,False
CVE-2018-18425,Access Control,ToOwner,0,False
CVE-2018-18425,Typo Constructor,MorphToken,0,False
CVE-2018-18425,Integer Overflow,distribute,0,False
CVE-2018-18425,Bad Randomness,PayWinner,0,False
CVE-2018-18425,Wrong Logic,transferFrom,0,False
CVE-2018-17050,Integer Overflow,distribute,0,False
CVE-2018-17050,Wrong Logic,transferFrom,0,False
CVE-2018-17050,Denial of Service,claimThrone,0,False
CVE-2018-17050,Bad Randomness,PayWinner,0,False
CVE-2018-17050,Typo Constructor,MorphToken,0,False
CVE-2018-17050,Access Control,ToOwner,0,False
CVE-2018-14006,Integer Overflow,distribute,0,False
CVE-2018-14006,Denial of Service,claimThrone,0,False
CVE-2018-14006,Wrong Logic,transferFrom,0,False
CVE-2018-14006,Access Control,ToOwner,0,False
CVE-2018-14006,Bad Randomness,PayWinner,0,False
CVE-2018-14006,Typo Constructor,MorphToken,0,False
CVE-2018-13075,Bad Randomness,PayWinner,0,False
CVE-2018-13075,Typo Constructor,MorphToken,0,False
CVE-2018-13075,Integer Overflow,distribute,0,False
CVE-2018-13075,Access Control,ToOwner,0,False
CVE-2018-13075,Wrong Logic,transferFrom,0,False
CVE-2018-13075,Denial of Service,claimThrone,0,False
CVE-2018-10666,Bad Randomness,PayWinner,0,False
CVE-2018-10666,Typo Constructor,MorphToken,0,False
CVE-2018-10666,Integer Overflow,distribute,0,False
CVE-2018-10666,Access Control,ToOwner,0,False
CVE-2018-10666,Denial of Service,claimThrone,0,False
CVE-2018-10666,Wrong Logic,transferFrom,0,False
CVE-2018-13076,Denial of Service,claimThrone,0,False
CVE-2018-13076,Typo Constructor,MorphToken,0,False
CVE-2018-13076,Bad Randomness,PayWinner,0,False
CVE-2018-13076,Access Control,ToOwner,0,False
CVE-2018-13076,Wrong Logic,transferFrom,0,False
CVE-2018-13076,Integer Overflow,distribute,0,False
CVE-2018-17877,Access Control,ToOwner,0,False
CVE-2018-17877,Bad Randomness,PayWinner,0,False
CVE-2018-17877,Typo Constructor,MorphToken,0,False
CVE-2018-17877,Integer Overflow,distribute,0,False
CVE-2018-17877,Wrong Logic,transferFrom,0,False
CVE-2018-17877,Denial of Service,claimThrone,0,False
CVE-2018-13071,Bad Randomness,PayWinner,0,False
CVE-2018-13071,Access Control,ToOwner,0,False
CVE-2018-13071,Wrong Logic,transferFrom,0,False
CVE-2018-13071,Denial of Service,claimThrone,0,False
