dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Bad Randomness,PayWinner,0,False
CVE-2018-13722,Integer Overflow,distribute,0,False
CVE-2018-13722,Wrong Logic,transferFrom,0,False
CVE-2018-13722,Denial of Service,claimThrone,0,False
CVE-2018-13722,Typo Constructor,MorphToken,0,False
CVE-2018-13722,Access Control,ToOwner,0,False
CVE-2018-17968,Denial of Service,refundPlayersInRoom,0,False
CVE-2018-17968,Wrong Logic,executeRoom,0,False
CVE-2018-17968,Access Control,createRoom,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-13132,Integer Overflow,distribute,0,False
CVE-2018-13132,Token Devalue,mintToken,0,False
CVE-2018-13132,Typo Constructor,MorphToken,0,False
CVE-2018-13132,Bad Randomness,PayWinner,0,False
CVE-2018-13132,Wrong Logic,transferFrom,0,False
CVE-2018-13132,Denial of Service,claimThrone,0,False
CVE-2018-13132,Access Control,ToOwner,0,False
CVE-2018-13128,Typo Constructor,MorphToken,0,False
CVE-2018-13128,Access Control,ToOwner,0,False
CVE-2018-13128,Bad Randomness,PayWinner,0,False
CVE-2018-13128,Integer Overflow,distribute,0,False
CVE-2018-13128,Wrong Logic,transferFrom,0,False
CVE-2018-13128,Denial of Service,claimThrone,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Integer Overflow,distribute,0,False
CVE-2018-13777,Bad Randomness,PayWinner,0,False
CVE-2018-13777,Token Devalue,mintToken,0,False
CVE-2018-13777,Access Control,ToOwner,0,False
CVE-2018-12062,Denial of Service,claimThrone,0,False
CVE-2018-12062,Access Control,ToOwner,0,False
CVE-2018-12062,Typo Constructor,MorphToken,0,False
CVE-2018-12062,Bad Randomness,PayWinner,0,False
CVE-2018-12062,Integer Overflow,distribute,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-17071,Denial of Service,fallback,0,False
CVE-2018-12083,Access Control,changeOwner,0,False
