dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Bad Randomness,PayWinner,0,False
CVE-2018-13722,Wrong Logic,transferFrom,0,False
CVE-2018-13722,Integer Overflow,distribute,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,random,0,False
CVE-2018-13132,Bad Randomness,PayWinner,0,False
CVE-2018-13132,Integer Overflow,distribute,0,False
CVE-2018-13132,Wrong Logic,transferFrom,0,False
CVE-2018-13128,Access Control,ToOwner,0,False
CVE-2018-13128,Token Devalue,mintToken,0,False
CVE-2018-13128,Bad Randomness,PayWinner,0,False
CVE-2018-13128,Wrong Logic,transferFrom,0,False
CVE-2018-13128,Integer Overflow,distribute,0,False
CVE-2018-13777,Integer Overflow,distribute,0,False
CVE-2018-13777,Access Control,ToOwner,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Token Devalue,mintToken,0,False
CVE-2018-13777,Bad Randomness,PayWinner,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Bad Randomness,PayWinner,0,False
CVE-2018-12062,Access Control,ToOwner,0,False
CVE-2018-12062,Integer Overflow,distribute,0,False
CVE-2018-17071,Integer Overflow,(),0,False
CVE-2018-17071,Typo Constructor,(),0,False
CVE-2018-17071,Access Control,stopGame,0,False
CVE-2018-12083,Token Devalue,mintToken,0,True
CVE-2018-12083,Integer Overflow,distribute,0,False
CVE-2018-12083,Access Control,ToOwner,0,False
CVE-2018-12083,Bad Randomness,PayWinner,0,False
CVE-2018-12083,Wrong Logic,transferFrom,0,False
CVE-2018-14001,Token Devalue,mintToken,0,False
CVE-2018-14001,Integer Overflow,distribute,0,False
CVE-2018-14001,Access Control,ToOwner,0,False
CVE-2018-14001,Bad Randomness,PayWinner,0,False
CVE-2018-14001,Wrong Logic,transferFrom,0,False
CVE-2018-13208,Access Control,ToOwner,0,False
CVE-2018-13208,Integer Overflow,distribute,0,False
CVE-2018-13208,Bad Randomness,PayWinner,0,False
CVE-2018-13208,Wrong Logic,transferFrom,0,False
CVE-2018-13325,Typo Constructor,setSellOpen,0,False
CVE-2018-13325,Typo Constructor,setPrices,0,False
CVE-2018-13325,Typo Constructor,setBuyOpen,0,False
CVE-2018-13325,Typo Constructor,transferOwnership,0,False
CVE-2018-13325,Typo Constructor,transferEth,0,False
CVE-2018-13129,Integer Overflow,distribute,0,False
CVE-2018-13129,Access Control,ToOwner,0,False
CVE-2018-13129,Wrong Logic,transferFrom,0,False
CVE-2018-13129,Bad Randomness,PayWinner,0,False
CVE-2018-12702,Bad Randomness,PayWinner,0,False
CVE-2018-12702,Integer Overflow,distribute,0,False
CVE-2018-12702,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Access Control,ToOwner,0,False
CVE-2020-17753,Wrong Logic,transferFrom,0,False
CVE-2020-17753,Typo Constructor,MorphToken,0,False
CVE-2020-17753,Access Control,ToOwner,0,False
CVE-2020-17753,Token Devalue,mintToken,0,False
CVE-2020-17753,Denial of Service,claimThrone,0,False
CVE-2020-17753,Integer Overflow,distribute,0,False
CVE-2020-17753,Bad Randomness,PayWinner,0,False
CVE-2018-12230,Access Control,ToOwner,0,False
CVE-2018-12230,Denial of Service,claimThrone,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12230,Token Devalue,mintToken,0,False
CVE-2018-12230,Bad Randomness,PayWinner,0,False
CVE-2018-12230,Typo Constructor,MorphToken,0,False
CVE-2018-12230,Integer Overflow,distribute,0,False
CVE-2018-12703,Access Control,ToOwner,0,False
CVE-2018-12703,Bad Randomness,PayWinner,0,False
CVE-2018-12703,Integer Overflow,distribute,0,False
CVE-2018-12703,Token Devalue,mintToken,0,False
CVE-2018-12703,Wrong Logic,transferFrom,0,False
CVE-2018-14085,Access Control,sweep,0,False
CVE-2018-14085,Token Devalue,sweep,0,False
CVE-2018-14085,Typo Constructor,sweep,0,False
CVE-2018-14085,Denial of Service,sweep,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Denial of Service,burn,0,False
CVE-2018-18425,Denial of Service,getTokens,0,False
CVE-2018-18425,Access Control,burn,0,False
CVE-2018-18425,Access Control,getTokens,0,False
CVE-2018-17050,Integer Overflow,distribute,0,False
CVE-2018-17050,Bad Randomness,PayWinner,0,False
CVE-2018-17050,Wrong Logic,transferFrom,0,False
CVE-2018-14006,Wrong Logic,transferFrom,0,False
CVE-2018-14006,Denial of Service,claimThrone,0,False
CVE-2018-14006,Integer Overflow,distribute,0,False
CVE-2018-14006,Access Control,ToOwner,0,False
