dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Bad Randomness,PayWinner,0,False
CVE-2018-13722,Access Control,MorphToken,0,False
CVE-2018-13722,Integer Overflow,distribute,0,False
CVE-2018-17968,Integer Overflow,RuletkaIo,0,False
CVE-2018-17968,Wrong Logic,transferFrom,0,False
CVE-2018-13132,Wrong Logic,transferFrom,0,False
CVE-2018-13132,Integer Overflow,distribute,0,False
CVE-2018-13128,Integer Overflow,distribute,0,False
CVE-2018-13128,Access Control,MorphToken,0,False
CVE-2018-13128,Bad Randomness,PayWinner,0,False
CVE-2018-13128,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Access Control,MorphToken,0,False
CVE-2018-13777,Integer Overflow,distribute,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Bad Randomness,PayWinner,0,False
CVE-2018-13777,Access Control,ToOwner,0,False
CVE-2018-12062,Typo Constructor,MorphToken,0,False
CVE-2018-12062,Token Devalue,mintToken,0,False
CVE-2018-12062,Denial of Service,claimThrone,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Integer Overflow,distribute,0,False
CVE-2018-12062,Bad Randomness,PayWinner,0,False
CVE-2018-12062,Access Control,ToOwner,0,False
CVE-2018-17071,Access Control,ToOwner,0,False
CVE-2018-17071,Denial of Service,claimThrone,0,False
CVE-2018-17071,Typo Constructor,MorphToken,0,False
CVE-2018-17071,Integer Overflow,distribute,0,False
CVE-2018-17071,Bad Randomness,PayWinner,0,False
CVE-2018-17071,Token Devalue,mintToken,0,False
CVE-2018-17071,Wrong Logic,transferFrom,0,False
CVE-2018-12083,Integer Overflow,distribute,0,False
CVE-2018-12083,Wrong Logic,transferFrom,0,False
CVE-2018-12083,Access Control,MorphToken,0,False
CVE-2018-12083,Access Control,ToOwner,0,False
CVE-2018-12083,Bad Randomness,PayWinner,0,False
CVE-2018-14001,Integer Overflow,distribute,0,False
CVE-2018-14001,Access Control,ToOwner,0,False
CVE-2018-14001,Access Control,MorphToken,0,False
CVE-2018-14001,Wrong Logic,transferFrom,0,False
CVE-2018-14001,Bad Randomness,PayWinner,0,False
CVE-2018-13208,Token Devalue,mintToken,0,False
CVE-2018-13208,Wrong Logic,transferFrom,0,False
CVE-2018-13208,Bad Randomness,PayWinner,0,False
CVE-2018-13208,Access Control,ToOwner,0,False
CVE-2018-13208,Typo Constructor,MorphToken,0,False
CVE-2018-13208,Integer Overflow,distribute,0,False
CVE-2018-13208,Denial of Service,claimThrone,0,False
CVE-2018-13325,Wrong Logic,transferFrom,0,False
CVE-2018-13325,Integer Overflow,distribute,0,False
CVE-2018-13129,Integer Overflow,distribute,0,False
CVE-2018-13129,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Denial of Service,claimThrone,0,False
CVE-2018-12702,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Typo Constructor,MorphToken,0,False
CVE-2018-12702,Bad Randomness,PayWinner,0,False
CVE-2018-12702,Integer Overflow,distribute,0,False
CVE-2018-12702,Access Control,ToOwner,0,False
CVE-2020-17753,Bad Randomness,PayWinner,0,False
CVE-2020-17753,Access Control,MorphToken,0,False
CVE-2020-17753,Wrong Logic,transferFrom,0,False
CVE-2020-17753,Integer Overflow,distribute,0,False
CVE-2018-12230,Integer Overflow,distribute,0,False
CVE-2018-12230,Wrong Logic,transferFrom,0,True
CVE-2018-12703,Denial of Service,claimThrone,0,False
CVE-2018-12703,Wrong Logic,transferFrom,0,False
CVE-2018-12703,Bad Randomness,PayWinner,0,False
CVE-2018-12703,Integer Overflow,distribute,0,False
CVE-2018-12703,Access Control,ToOwner,0,False
CVE-2018-12703,Typo Constructor,MorphToken,0,False
CVE-2018-14085,Typo Constructor,MorphToken,0,False
CVE-2018-14085,Bad Randomness,PayWinner,0,False
CVE-2018-14085,Integer Overflow,distribute,0,False
