dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Transfer without checking allowance,transferFrom,0,False
CVE-2018-13722,Potential underflow if balance is too low,balanceOf,0,False
CVE-2018-13722,Missing check on amount in transfer,transfer,0,False
CVE-2018-17968,Weak logic in verifying funds and allowances leading to potential exploitation,transferFrom,0,False
CVE-2018-13132,"The transfer function does not validate the address parameter, allowing invalid addresses to be used.",transfer,0,False
CVE-2018-13132,"The unfreeze function does not check if the account being unfrozen is the owner of the tokens, allowing anyone to unfreeze the account of another user.",unfreeze,0,False
CVE-2018-13128,Missing access control checks in transfer function,transfer,0,False
CVE-2018-13128,Unlimited token minting without constraints,mintToken,0,False
CVE-2018-13777,Missing access control checks in the function,transferFrom,0,False
CVE-2018-12062,"Incorrect logic in the function, leading to potential exploitation.",transferFrom,0,False
CVE-2018-17071,Predictable winner selection without secure randomness enables exploitation.,claimThrone,0,False
CVE-2018-12083,Unpredictable winner selection and DoS attack,claimThrone,0,False
CVE-2018-14001,Incorrect implementation of transfer function leading to potential loss of funds.,transfer,0,False
CVE-2018-14001,Owner can manipulate the payout by setting a high price and not delivering the promised amount.,transferFrom,0,False
CVE-2018-13208,Missing access control checks in transferFrom function allowing unauthorized transfers.,transferFrom,0,False
CVE-2018-13325,Potential race condition in the function,transferFrom,0,False
CVE-2018-13325,Missing access control checks in the function,transfer,0,False
CVE-2018-13129,Missing access control checks in transferFrom function allowing anyone to transfer tokens.,transferFrom,0,False
CVE-2018-13129,The mintToken function doesn't check for balance and doesn't cap the amount of tokens that can be created.,mintToken,0,False
CVE-2018-12702,Missing check for transfer,transfer,0,False
CVE-2018-12702,Transfer without checking balance and allowance leads to potential financial losses,transferFrom,0,False
CVE-2018-12230,Potential for Unchecked Transfer,transfer,0,False
CVE-2018-12230,Potential for Infinite Minting and Devaluation,mintToken,0,False
CVE-2018-12703,Unprotected transfer function allows anyone to transfer tokens without restriction.,transfer,0,False
