Dataname	inference_time
2018-10666	18.194546
2018-10666	21.229835
2018-10666	14.862885
2018-10666	32.415246
2018-10666	66.735329
2018-10376	14.959312
2018-10376	15.173562
2018-10376	84.014279
2018-10376	30.785215
2018-10376	106.244919
2018-10299	18.410515
2018-10299	38.885272
2018-10299	78.880136
2018-10299	36.277762
2018-10299	255.260139
2018-11561	412.274275
2018-11561	29.850521
2018-11561	88.730371
2018-11561	48.414593
2018-11561	57.996098
2018-10468	88.833290
2018-10468	21.913884
2018-10468	13.871010
2018-10468	28.823326
2018-10468	33.171362
