dataname,auditor_idx,vulnerability,function_name
2018-13722,0,Integer Overflow,mint
2018-13722,0,Arbitrary Calculation,safeMul
2018-13722,0,Arbitrary Calculation,safeDiv
2018-13722,0,Arbitrary Calculation,safeSub
2018-13722,0,Arbitrary Calculation,safeAdd
2018-13722,0,Arbitrary Calculation,max64
2018-13722,0,Arbitrary Calculation,min64
2018-13722,0,Arbitrary Calculation,max256
2018-13722,0,Arbitrary Calculation,min256
2018-13722,0,Arbitrary Calculation,assert
2018-13722,0,Arbitrary Calculation,transfer
2018-13722,0,Arbitrary Calculation,transferFrom
2018-13722,0,Arbitrary Calculation,approve
2018-13722,0,Arbitrary Calculation,addApproval
2018-13722,0,Arbitrary Calculation,subApproval
2018-13722,0,Arbitrary Calculation,burn
