dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Wrong Logic,transferFrom,0,False
CVE-2018-13722,Wrong Logic,approve,0,False
CVE-2018-13326,Typo Constructor,Bittelux,0,False
CVE-2018-17968,Gas Limit,enter,0,False
CVE-2018-17968,Integer Overflow,buyTicket,0,False
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13132,Integer Overflow,migrate,0,False
CVE-2018-13132,Integer Overflow,setMigrationAgent,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,approve,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13777,Integer Overflow,_transfer,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-17071,Gas Limit,lucky9io,0,False
CVE-2018-12083,Integer Overflow,approve,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Integer Overflow,transferFrom,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-12083,Integer Overflow,burnFrom,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Wrong Logic,Sell,0,False
CVE-2018-14001,Wrong Logic,Buy,0,False
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13208,Integer Overflow,transferFrom,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13325,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Access Control,transferOwnership,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Wrong Logic,approve,0,False
CVE-2018-13325,Wrong Logic,approveAndCall,0,False
CVE-2018-13129,Wrong Logic,transfer,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Wrong Logic,approve,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Wrong Logic,approveAndCallcode,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Wrong Logic,approveAndCall,0,False
CVE-2018-12702,Bad Randomness,receiveApproval,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Wrong Logic,approve,0,False
CVE-2020-17753,Integer Overflow,buyImplementation,0,False
CVE-2020-17753,Integer Overflow,claimTokenBonus,0,False
CVE-2020-17753,Integer Overflow,takeEther,0,False
CVE-2020-17753,Integer Overflow,buyFromRC,0,False
CVE-2020-17753,Integer Overflow,giveToken,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Wrong Logic,transfer,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Wrong Logic,approveAndCallcode,0,False
CVE-2018-12703,Wrong Logic,approveAndCall,0,False
CVE-2018-12703,Unprotected from Reentrancy Attacks,approve,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-14085,Integer Overflow,makeWallet,0,False
CVE-2018-14085,Access Control,Controller.addSweeper,0,False
CVE-2018-14085,Bad Randomness,UserWallet.sweep,0,False
CVE-2018-14085,Typo Constructor,Controller.changeOwner,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdrop,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Integer Overflow,distr,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdropMultiple,0,False
CVE-2018-18425,Integer Overflow,doAirdrop,0,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-17050,Bad Randomness,receiveApproval,0,False
CVE-2018-17050,Wrong Logic,approve,0,False
CVE-2018-14006,Integer Overflow,multipleTransfer,0,True
CVE-2018-14006,Integer Overflow,totalSupply,0,False
CVE-2018-14006,Integer Overflow,initialSupply,0,False
CVE-2018-14006,Integer Overflow,balanceOf,0,False
CVE-2018-14006,Integer Overflow,batchTransfer,0,False
CVE-2018-10468,Integer Overflow,transferFrom,0,False
CVE-2018-10468,Integer Overflow,(),0,False
CVE-2018-10468,Integer Overflow,transfer,0,False
CVE-2018-10468,Integer Overflow,getStats,0,False
CVE-2018-13075,Integer Overflow,transfer,0,False
CVE-2018-13075,Integer Overflow,burnFrom,0,False
CVE-2018-13075,Integer Overflow,transferFrom,0,False
CVE-2018-13075,Integer Overflow,mintToken,0,True
CVE-2018-11561,Integer Overflow,transfer,0,False
CVE-2018-11561,Integer Overflow,transferFrom,0,False
CVE-2018-11561,Integer Overflow,distributeToken,0,True
CVE-2018-10666,Integer Overflow,setOwner,0,False
CVE-2018-10666,Integer Overflow,uploadBalances,0,False
CVE-2018-10666,Integer Overflow,transferFrom,0,False
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13076,Integer Overflow,mintToken,0,True
CVE-2018-13076,Integer Overflow,transfer,0,False
CVE-2018-13076,Wrong Logic,buy,0,False
CVE-2018-13076,Wrong Logic,mintToken,0,False
CVE-2018-13131,Wrong Logic,decreaseApproval,0,False
CVE-2018-13131,Wrong Logic,increaseApproval,0,False
CVE-2018-13131,Wrong Logic,approve,0,False
CVE-2018-13131,Integer Overflow,mint,0,True
CVE-2018-13131,Wrong Logic,transfer,0,False
CVE-2018-13131,Wrong Logic,transferFrom,0,False
CVE-2018-10705,Integer Overflow,approve,0,False
CVE-2018-10705,Integer Overflow,transfer,0,False
CVE-2018-10705,Integer Overflow,uploadBalances,0,False
CVE-2018-10705,Integer Overflow,transferFrom,0,False
CVE-2018-10705,Integer Overflow,approveAndCall,0,False
CVE-2018-17877,Wrong Logic,buyHeart,0,False
CVE-2018-17877,Bad Randomness,luckyBuy,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-17877,Wrong Logic,win,0,False
CVE-2018-13081,Integer Overflow,transferFrom,0,False
CVE-2018-13081,Integer Overflow,mintToken,0,True
CVE-2018-13081,Integer Overflow,buy,0,False
CVE-2018-13081,Integer Overflow,transfer,0,False
CVE-2018-13081,Integer Overflow,withdrawToOwner,0,False
CVE-2018-13071,Integer Overflow,distributeTokens,0,False
CVE-2018-13072,Integer Overflow,transfer,0,False
CVE-2018-13072,Integer Overflow,buy,0,False
CVE-2018-13072,Integer Overflow,transferFrom,0,False
CVE-2018-13072,Integer Overflow,mintToken,0,True
CVE-2018-13088,Integer Overflow,setPrices,0,False
CVE-2018-13088,Integer Overflow,burnFrom,0,False
CVE-2018-13088,Integer Overflow,mintToken,0,True
CVE-2018-13533,Integer Overflow,mintToken,0,True
CVE-2018-13533,Integer Overflow,buy,0,False
CVE-2018-13533,Integer Overflow,refillTokens,0,False
CVE-2018-13533,Integer Overflow,sell,0,False
CVE-2021-34273,Integer Overflow,transferFrom,0,False
CVE-2021-34273,Integer Overflow,distributeToken,0,False
CVE-2021-34273,Integer Overflow,approve,0,False
CVE-2021-34273,Integer Overflow,transfer,0,False
CVE-2018-10299,Integer Overflow,batchTransfer,0,True
CVE-2018-10299,Wrong Logic,transfer,0,False
CVE-2018-10299,Wrong Logic,transferFrom,0,False
CVE-2018-10299,Wrong Logic,approve,0,False
CVE-2018-13670,Integer Overflow,GFCB,0,False
CVE-2018-10376,Integer Overflow,approveProxy,0,False
CVE-2018-10376,Integer Overflow,transferProxy,0,True
CVE-2021-33403,Integer Overflow,transfer,0,True
CVE-2021-33403,Integer Overflow,approve,0,False
CVE-2018-14003,Integer Overflow,batchTransfer,0,True
CVE-2018-11429,Access Control,unfreeze,0,False
CVE-2018-11429,Wrong Logic,transferFrom,0,False
CVE-2018-11429,Integer Overflow,mint,0,True
CVE-2018-11429,Wrong Logic,approve,0,False
CVE-2018-11429,Wrong Logic,transfer,0,False
CVE-2018-13070,Integer Overflow,mintToken,0,True
CVE-2018-13070,Token Devalue,selfdestructs,0,False
CVE-2018-13070,Integer Overflow,buy,0,False
CVE-2018-13070,Integer Overflow,burnFrom,0,False
CVE-2018-13073,Wrong Logic,buy,0,False
CVE-2018-13073,Wrong Logic,sell,0,False
CVE-2018-13073,Integer Overflow,transferFrom,0,False
CVE-2018-13073,Integer Overflow,mintToken,0,True
CVE-2018-13073,Integer Overflow,transfer,0,False
CVE-2018-14715,Integer Overflow,mintBatch,0,False
CVE-2018-14715,Integer Overflow,mint,0,False
CVE-2018-12885,Integer Overflow,createChamp,0,False
CVE-2018-13084,Integer Overflow,mintToken,0,True
CVE-2018-13084,Integer Overflow,burnFrom,0,False
CVE-2018-13084,Token Devalue,mintToken,0,False
CVE-2018-13079,Integer Overflow,mintToken,0,True
CVE-2018-13079,Integer Overflow,burnFrom,0,False
CVE-2021-3006,Integer Overflow,sellTokenForLRC,0,False
CVE-2021-3006,Integer Overflow,claimStakingReward,0,False
CVE-2021-3006,Integer Overflow,fundDAO,0,False
CVE-2018-14086,Integer Overflow,mintToken,0,False
CVE-2018-14086,Integer Overflow,transfer,0,False
CVE-2018-14086,Integer Overflow,sell,0,False
CVE-2018-19833,Integer Overflow,transfer,0,False
CVE-2018-19833,Integer Overflow,mintToken,0,False
CVE-2018-19833,Integer Overflow,_transfer,0,False
CVE-2018-19833,Access Control,burn,0,False
CVE-2018-19833,Access Control,mintToken,0,False
CVE-2018-14089,Wrong Logic,setICORatio,0,False
CVE-2018-14089,Integer Overflow,transferFrom,0,False
CVE-2018-14089,Wrong Logic,setMINfinney,0,False
CVE-2018-14089,Wrong Logic,setAIRDROPBounce,0,False
CVE-2018-14089,Integer Overflow,transfer,0,False
