dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,subApproval,0,False
CVE-2018-13722,Integer Overflow,transfer,0,False
CVE-2018-13722,Integer Overflow,approve,0,False
CVE-2018-13722,Integer Overflow,addApproval,0,False
CVE-2018-13722,Integer Overflow,transferFrom,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,0,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,2,False
CVE-2018-13132,Integer Overflow,setIcoAgent,2,False
CVE-2018-13132,Token Devalue,mint,4,False
CVE-2018-13132,Integer Overflow,setMigrationMaster,2,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,migrate,0,False
CVE-2018-13132,Integer Overflow,unfreeze,2,False
CVE-2018-13132,Integer Overflow,finishIco,2,False
CVE-2018-13132,Integer Overflow,buyTokens,3,False
CVE-2018-13132,Integer Overflow,pauseIco,2,False
CVE-2018-13132,Integer Overflow,buyTokens,2,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,2,False
CVE-2018-13132,Integer Overflow,startIco,2,False
CVE-2018-13132,Integer Overflow,resumeIco,2,False
CVE-2018-13132,Integer Overflow,setTeam,2,False
CVE-2018-13128,Integer Overflow,mint,2,True
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,mint,1,True
CVE-2018-13128,Integer Overflow,mint,3,True
CVE-2018-13128,Integer Overflow,mint,4,True
CVE-2018-13777,Integer Overflow,mintToken,4,True
CVE-2018-13777,Incorrect output formatting,function_1,1,False
CVE-2018-13777,Integer Overflow,mintToken,2,True
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,mintToken,3,True
