dataname,auditor_idx,vulnerability,function_name
2018-12702,0,Integer Overflow,receiveApproval
2018-12702,0,Integer Overflow,TokenRecipient
2018-12702,0,Integer Overflow,GVEAttack
2018-12702,0,Integer Overflow,GVEAttack2
2018-12702,0,Integer Overflow,GVEAttack3
2018-12702,0,Integer Overflow,GVEAttack4
2018-12702,0,Integer Overflow,GVEAttack5
2018-12702,0,Integer Overflow,GVEAttack6
2018-12702,0,Integer Overflow,GVEAttack7
2018-12702,0,Integer Overflow,GVEAttack8
2018-12702,0,Integer Overflow,GVEAttack9
