dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Always returns a fixed state,getUpgradeState,0,False
CVE-2018-13722,Missing checks,upgrade,0,False
CVE-2018-13722,Redundant function,setMintAgent,0,False
CVE-2018-13722,Redundant function,mintAgents,0,False
CVE-2018-13722,Incorrect function name,minted,0,False
CVE-2018-13722,Missing checks,setUpgradeMaster,0,False
CVE-2018-13722,Always returns true,canUpgrade,0,False
CVE-2018-13777,Integer Overflow,transferFrom,0,False
CVE-2018-13777,Integer Underflow,burnFrom,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-13777,Integer Underflow,burn,0,False
CVE-2018-17071,Uninitialized Total Supply,CryptonCoin,0,False
CVE-2018-17071,Inconsistent Token Information,CryptonToken,0,False
CVE-2018-17071,Uninitialized Prices,Crypton,0,False
CVE-2018-17071,Uninitialized Owner,Lucky9Coin,0,False
CVE-2018-13208,Arithmetic overflow,safeAdd,0,False
CVE-2018-13208,Division by zero,safeDiv,0,False
CVE-2018-13208,Arithmetic overflow,safeMul,0,False
CVE-2018-13208,Reentrancy,CryptoTrollsICO,0,False
CVE-2018-13208,Reentrancy,CryptoTrollsPreSale,0,False
CVE-2018-13208,Reentrancy,CryptoTrolls,0,False
CVE-2018-13129,Integer Overflow,migrationMaster,0,False
CVE-2018-13129,Integer Overflow,migration,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Integer Overflow,migrationAgent,0,False
CVE-2018-12702,Integer Overflow,receiveApproval,0,False
CVE-2018-12702,Integer Overflow,GVEAttack2,0,False
CVE-2018-12702,Integer Overflow,GVEAttack3,0,False
CVE-2018-12702,Integer Overflow,GVEAttack4,0,False
CVE-2018-12702,Integer Overflow,GVEAttack7,0,False
CVE-2018-12702,Integer Overflow,GVEAttack6,0,False
CVE-2018-12702,Integer Overflow,GVEAttack9,0,False
CVE-2018-12702,Integer Overflow,GVEAttack8,0,False
CVE-2018-12702,Integer Overflow,GVEAttack5,0,False
CVE-2018-12702,Integer Overflow,GVEAttack,0,False
CVE-2018-12702,Integer Overflow,TokenRecipient,0,False
CVE-2018-12230,Access Control,mintToken,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Wrong Logic,mintToken,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,approve,0,False
CVE-2018-12703,Integer Overflow,approveAndCall,0,False
CVE-2018-12703,Integer Overflow,approveAndCallcode,0,False
CVE-2018-10666,Integer Overflow,setOwner,0,False
CVE-2018-10666,Integer Overflow,precalculate,0,False
CVE-2018-17877,Integer Overflow,getTimeLeft,0,False
CVE-2018-17877,Integer Overflow,getFullround,0,False
CVE-2018-17877,Integer Overflow,getMyRevenue,0,False
CVE-2018-17877,Integer Overflow,withdraw,0,False
CVE-2018-17877,Integer Overflow,getHeartPrice,0,False
CVE-2018-17877,Integer Overflow,win,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-17877,Integer Overflow,withdrawOwner,0,False
CVE-2018-17877,Integer Overflow,luckyBuy,0,False
CVE-2018-13088,None,getSymbol,0,False
CVE-2018-13088,None,getDecimals,0,False
CVE-2018-13088,None,getName,0,False
CVE-2018-13088,None,getTotalSupply,0,False
CVE-2018-13088,None,getBuyPrice,0,False
CVE-2018-13088,None,getBalance,0,False
CVE-2018-13088,None,getSellPrice,0,False
CVE-2018-13088,None,getOwner,0,False
CVE-2018-13070,Insufficient Allowance Check,transferFrom,0,False
CVE-2018-13070,Reentrancy Vulnerability,approveAndCall,0,False
CVE-2018-13070,Zero Address Check,transfer,0,False
CVE-2018-13070,Reentrancy Vulnerability,approve,0,False
CVE-2018-13070,Insufficient Allowance Check,transfer,0,False
CVE-2018-13070,Improper Initialization of Total Supply,mintToken,0,False
CVE-2018-13070,Denial of Service,distributeToken,0,False
CVE-2018-13070,Public Read Access,balanceOf,0,False
CVE-2018-13070,Insufficient Balance Check,transfer,0,False
CVE-2018-13073,No input validation,unlockAccount,0,False
CVE-2018-13073,No input validation,freezeAccount,0,False
CVE-2018-13073,No input validation,balanceOf,0,False
CVE-2018-13073,No input validation,transferAndCall,0,False
CVE-2018-13073,No input validation,allowance,0,False
