dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,False,N/A,0
CVE-2018-13777,Integer Overflow,mintToken,True,1,0
CVE-2018-17071,Bad Randomness,fallback,False,N/A,0
CVE-2018-13208,Integer Overflow,sell,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-12230,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-10666,Access Control,setOwner,False,N/A,0
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,0
CVE-2018-13088,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13070,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13073,Integer Overflow,mintToken,False,N/A,0
CVE-2018-19833,Access Control,owned,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,0
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-14063,Integer Overflow,increaseApproval,False,N/A,0
CVE-2018-13087,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12070,Integer Overflow,sell,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13069,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13127,Integer Overflow,mint,False,N/A,0
CVE-2018-12068,Integer Overflow,sell,False,N/A,0
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-11411,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,0
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,0
CVE-2018-11335,Integer Overflow,mint,True,1,0
CVE-2018-13089,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13228,Integer Overflow,sell,False,N/A,0
CVE-2018-12080,Token Devalue,mintToken,False,N/A,0
CVE-2020-17752,Integer Overflow,Not Provided,False,N/A,0
CVE-2018-12025,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-12081,Token Devalue,mintToken,False,N/A,0
CVE-2018-17111,Access Control,onlyOwner,False,N/A,0
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,0
CVE-2018-12959,Access Control,approveAndCall,False,N/A,0
CVE-2018-19832,Access Control,NETM,False,N/A,0
CVE-2018-12063,Integer Overflow,sell,False,N/A,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-13189,Integer Overflow,mint,True,7,0
CVE-2018-19834,Access Control,quaker,False,N/A,0
CVE-2018-13221,Integer Overflow,sell,False,N/A,0
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,0
CVE-2018-13836,Integer Overflow,multiTransfer,False,N/A,0
CVE-2018-14576,Integer Overflow,mintTokens,False,N/A,0
CVE-2018-19830,Access Control,UBSexToken,False,N/A,0
CVE-2018-13113,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-13227,Integer Overflow,sell,False,N/A,0

Top k hit rate:,0.08,(4/51)
Top 1 hit rate:,0.08,0.058823529411764705,(3/51)
