dataname,auditor_idx,vulnerability,function_name
2018-13225,0,Integer Overflow,copy
2018-13225,0,Integer Overflow,setOwner
2018-13225,0,Integer Overflow,transferOwnership
2018-13225,0,Integer Overflow,setPrices
2018-13225,0,Integer Overflow,burn
2018-13225,0,Integer Overflow,mintToken
2018-13225,0,Integer Overflow,buy
2018-13225,0,Integer Overflow,sell
2018-13225,0,Integer Overflow,mintTokenWithTestUser
2018-13225,0,Integer Overflow,buyWithTestUser
2018-13225,0,Integer Overflow,sellWithTestUser
2018-13225,0,Integer Overflow,burnWithTestUser
