dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Default Permissions,HYIPToken,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13132,Invalid state selection,setMigrationMaster,0,False
CVE-2018-13132,Invalid state selection,setMigrationAgent,0,False
CVE-2018-13132,Invalid state selection,setICO,0,False
CVE-2018-13132,Invalid state selection,migrate,0,False
CVE-2018-13132,Invalid state selection,unfreeze,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,approve,0,False
CVE-2018-12062,Access Control,setPrices,0,False
CVE-2018-12062,Access Control,freezeAccount,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13208,Access Control,freezeAccount,0,False
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Access Control,setICO,0,False
CVE-2018-13129,Integer Overflow,increaseApproval,0,False
CVE-2018-13129,Access Control,transferFrom,0,False
CVE-2018-13129,Access Control,unfreeze,0,False
CVE-2018-13129,Access Control,approve,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Integer Overflow,migrateFrom,0,False
CVE-2018-13129,Access Control,setMigrationAgent,0,False
CVE-2018-13129,Access Control,setMigrationMaster,0,False
CVE-2018-13129,Integer Overflow,decreaseApproval,0,False
CVE-2018-14085,Integer Overflow,DefaultSweeper,0,False
CVE-2018-14085,Access Control,AbstractSweeperList,0,False
CVE-2018-14085,Access Control,UserWallet,0,False
CVE-2018-14085,Access Control,Controller,0,False
CVE-2018-18425,Integer Overflow,withdraw,0,False
CVE-2018-18425,Access Control,adminClaimAirdrop,0,False
CVE-2018-18425,Integer Overflow,burn,0,False
CVE-2018-18425,Access Control,adminClaimAirdropMultiple,0,False
CVE-2018-17050,Access Control,transfer,0,False
CVE-2018-17050,Access Control,transferFrom,0,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-10666,Arithmetic Overflow,pow10,0,False
CVE-2018-10666,Unchecked Return Value,precalculate,0,False
CVE-2018-10666,Unauthorized Access,lockBalances,0,False
CVE-2018-10666,Unchecked Return Value,feeFor,0,False
CVE-2018-10666,Arithmetic Overflow,div10,0,False
CVE-2018-13076,Access Control,withdrawToOwner,0,False
CVE-2018-13076,Access Control,freezeAccount,0,False
CVE-2018-13076,Access Control,setSelling,0,False
CVE-2018-13076,Access Control,setBuyRate,0,False
CVE-2018-13071,Integer Overflow,mintToken,0,True
CVE-2018-13071,Integer Overflow,setPrices,0,False
CVE-2018-13071,Integer Overflow,sell,0,False
CVE-2018-13071,Integer Overflow,buy,0,False
CVE-2018-13533,Access Control,withdraw,0,False
CVE-2018-13533,Access Control,freezeAccount,0,False
CVE-2018-13533,Access Control,sell,0,False
CVE-2018-13533,Access Control,setStatus,0,False
CVE-2018-13533,Access Control,setPrices,0,False
CVE-2018-13533,Access Control,deposit,0,False
CVE-2018-10299,Unprotected Pause Functionality,batchTransfer,0,False
CVE-2018-10299,Unprotected Pause Functionality,approve,0,False
CVE-2018-10299,Unprotected Pause Functionality,transfer,0,False
CVE-2018-10299,Incorrect Modifier Usage,pause,0,False
CVE-2018-10299,Incorrect Modifier Usage,unpause,0,False
CVE-2018-10299,Unprotected Pause Functionality,transferFrom,0,False
CVE-2018-10376,Arbitrary Jump,approveProxy,0,False
