dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,True,1,0
CVE-2018-13132,Integer Overflow,mint,False,N/A,0
CVE-2018-13128,Integer Overflow,mint,True,1,0
CVE-2018-12062,Integer Overflow,sell,False,N/A,0
CVE-2018-13208,Integer Overflow,sell,True,3,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-14085,Wrong Logic,Not Provided,False,N/A,0
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,0
CVE-2018-17050,Integer Overflow,mintToken,True,1,0
CVE-2018-10666,Access Control,setOwner,False,N/A,0
CVE-2018-13076,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13071,Integer Overflow,mintToken,True,1,0
CVE-2018-13533,Integer Overflow,mintToken,False,N/A,0
CVE-2018-10299,Integer Overflow,batchTransfer,False,N/A,0
CVE-2018-10376,Integer Overflow,transferProxy,False,N/A,0
CVE-2018-11429,Integer Overflow,mint,False,N/A,0
CVE-2018-13070,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13073,Integer Overflow,mintToken,True,1,0
CVE-2018-12885,Bad Randomness,randMod,False,N/A,0
CVE-2018-13079,Integer Overflow,mintToken,False,N/A,0
CVE-2021-3006,Access Control,breed,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,0
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,False,N/A,0
CVE-2018-14063,Integer Overflow,increaseApproval,True,2,0
CVE-2018-13087,Integer Overflow,mintToken,True,1,0
CVE-2018-12070,Integer Overflow,sell,False,N/A,0
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,0
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,0
CVE-2018-12067,Integer Overflow,sell,True,4,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,True,1,0
CVE-2018-13069,Integer Overflow,mintToken,True,1,0
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,0
CVE-2020-35962,Access Control,sellTokenForLRC,False,N/A,0
CVE-2018-13127,Integer Overflow,mint,True,1,0
CVE-2018-13091,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12068,Integer Overflow,sell,False,N/A,0
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,0
CVE-2018-12511,Integer Overflow,mintToken,False,N/A,0
CVE-2018-11335,Integer Overflow,mint,True,1,0
CVE-2018-13089,Integer Overflow,mintToken,True,1,0
CVE-2018-13086,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13228,Integer Overflow,sell,True,3,0
CVE-2018-12080,Token Devalue,mintToken,False,N/A,0
CVE-2018-13126,Integer Overflow,mint,False,N/A,0
CVE-2018-13074,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12025,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-12081,Token Devalue,mintToken,False,N/A,0
CVE-2021-34270,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12959,Access Control,approveAndCall,False,N/A,0
CVE-2018-13493,Integer Overflow,mintToken,True,1,0
CVE-2018-13068,Integer Overflow,mintToken,True,1,0
CVE-2018-12063,Integer Overflow,sell,True,4,0
CVE-2018-13230,Integer Overflow,sell,False,N/A,0
CVE-2018-12082,Token Devalue,mintToken,False,N/A,0
CVE-2018-13225,Integer Overflow,sell,True,8,0
CVE-2018-13189,Integer Overflow,mint,False,N/A,0
CVE-2018-12079,Token Devalue,mintToken,False,N/A,0
CVE-2018-19834,Access Control,quaker,False,N/A,0
CVE-2018-13783,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13221,Integer Overflow,sell,True,2,0
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,0
CVE-2018-13782,Integer Overflow,mintToken,True,1,0
CVE-2018-13836,Integer Overflow,multiTransfer,False,N/A,0
CVE-2018-14576,Integer Overflow,mintTokens,True,1,0
CVE-2018-13625,Integer Overflow,mintlvlToken,True,1,0
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,False,N/A,0
CVE-2018-12078,Token Devalue,mintToken,False,N/A,0
CVE-2018-13227,Integer Overflow,sell,True,4,0

Top k hit rate:,0.35,(25/71)
Top 1 hit rate:,0.35,0.23943661971830985,(17/71)
