dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-12083,Token Devalue,mintToken,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-14003,Integer Overflow,batchTransfer,False,N/A,0
CVE-2018-13070,Integer Overflow,mintToken,True,1,0
CVE-2018-13073,Integer Overflow,mintToken,True,1,0
CVE-2018-13085,Integer Overflow,mintToken,True,1,0
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,0
CVE-2018-13041,Integer Overflow,mint,False,N/A,0
CVE-2018-12511,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13074,Integer Overflow,mintToken,True,1,0
CVE-2018-11687,Integer Overflow,distributeBTR,True,1,0
CVE-2018-13068,Integer Overflow,mintToken,True,1,0
CVE-2018-13189,Integer Overflow,mint,False,N/A,0
CVE-2018-14576,Integer Overflow,mintTokens,False,N/A,0
CVE-2018-13227,Integer Overflow,sell,False,N/A,0

Top k hit rate:,0.47,(7/15)
Top 1 hit rate:,0.47,0.4666666666666667,(7/15)
