dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13128,Bad Randomness,transfer,0,False
CVE-2018-13128,Access Control,burn,0,False
CVE-2018-13128,Bad Randomness,approve,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Bad Randomness,transferFrom,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Wrong Logic,transfer,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13208,Wrong Logic,transferFrom,0,False
CVE-2018-13208,Access Control,mintToken,0,False
CVE-2018-13129,Access Control,approve,0,False
CVE-2018-13129,Access Control,transferFrom,0,False
CVE-2018-13075,Wrong Logic,buy,0,False
CVE-2018-13075,Wrong Logic,transferFrom,0,False
CVE-2018-13075,Access Control,setPrices,0,False
CVE-2018-13075,Wrong Logic,sell,0,False
CVE-2018-13071,Integer Overflow,transfer,0,False
CVE-2018-13088,Wrong Logic,buy,0,False
CVE-2018-13088,Wrong Logic,burnFrom,0,False
CVE-2018-13088,Wrong Logic,sell,0,False
CVE-2018-13088,Wrong Logic,transferFrom,0,False
CVE-2018-13670,Integer Overflow,transfer,0,False
CVE-2018-13670,Integer Overflow,buy,0,False
CVE-2018-13670,Integer Overflow,sell,0,False
CVE-2018-11429,Integer Overflow,mint,0,True
CVE-2018-11429,Access Control,unfreeze,0,False
CVE-2018-13070,Integer Overflow,buy,0,False
CVE-2018-13070,Access Control,selfdestructs,0,False
CVE-2018-13070,Integer Overflow,mintToken,0,True
CVE-2018-13073,Wrong Logic,transferFrom,0,False
CVE-2018-13073,Integer Overflow,sell,0,False
CVE-2018-13073,Integer Overflow,buy,0,False
CVE-2018-13073,Access Control,mintToken,0,False
CVE-2018-13079,Wrong Logic,sell,0,False
CVE-2018-13079,Wrong Logic,buy,0,False
CVE-2018-13079,Wrong Logic,transferFrom,0,False
CVE-2018-13079,Integer Overflow,mintToken,0,True
CVE-2018-13079,Access Control,freezeAccount,0,False
CVE-2018-14089,Integer Overflow,transfer,0,False
CVE-2018-14089,Integer Overflow,transferFrom,0,False
