dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,True,1,0
CVE-2018-13128,Integer Overflow,mint,True,1,0
CVE-2018-12062,Integer Overflow,sell,True,2,0
CVE-2018-13208,Integer Overflow,sell,True,3,0
CVE-2018-13129,Integer Overflow,mint,False,N/A,0
CVE-2018-13075,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13071,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13088,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13670,Integer Overflow,mintToken,False,N/A,0
CVE-2018-11429,Integer Overflow,mint,True,1,0
CVE-2018-13070,Integer Overflow,mintToken,True,1,0
CVE-2018-13073,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13079,Integer Overflow,mintToken,True,1,0
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,True,1,0
CVE-2018-13087,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12070,Integer Overflow,sell,True,1,0
CVE-2018-12067,Integer Overflow,sell,True,2,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,True,1,0
CVE-2018-13069,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13127,Integer Overflow,mint,False,N/A,0
CVE-2018-12068,Integer Overflow,sell,False,N/A,0
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,0
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-12511,Integer Overflow,mintToken,False,N/A,0
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,0
CVE-2018-11335,Integer Overflow,mint,False,N/A,0
CVE-2018-13089,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13086,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13228,Integer Overflow,sell,True,2,0
CVE-2018-12080,Token Devalue,mintToken,False,N/A,0
CVE-2018-13126,Integer Overflow,mint,True,1,0
CVE-2018-13074,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13778,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12081,Token Devalue,mintToken,False,N/A,0
CVE-2018-13202,Integer Overflow,sell,False,N/A,0
CVE-2021-34270,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13068,Integer Overflow,mintToken,True,1,0
CVE-2018-13083,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12063,Integer Overflow,sell,False,N/A,0
CVE-2018-13230,Integer Overflow,sell,True,3,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-13189,Integer Overflow,mint,False,N/A,0
CVE-2018-12079,Token Devalue,mintToken,False,N/A,0
CVE-2018-13783,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13782,Integer Overflow,mintToken,False,N/A,0
CVE-2018-14576,Integer Overflow,mintTokens,True,1,0
CVE-2018-13625,Integer Overflow,mintlvlToken,False,N/A,0
CVE-2018-13227,Integer Overflow,sell,True,3,0

Top k hit rate:,0.34,(17/50)
Top 1 hit rate:,0.34,0.22,(11/50)
