dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Typo Constructor,mint,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Access Control,mint,0,False
CVE-2018-13722,Integer Overflow,minted,0,False
CVE-2018-13722,Wrong Logic,mint,0,False
CVE-2018-13722,Bad Randomness,mint,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,setCEO,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,setCTO,0,False
CVE-2018-17968,Integer Overflow,random,0,False
CVE-2018-17968,Integer Overflow,getRoom,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,0,False
CVE-2018-17968,Integer Overflow,createRoom,0,False
CVE-2018-17968,Integer Overflow,payout,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-17071,Integer Overflow,stopGame,0,False
CVE-2018-17071,Integer Overflow,fallback,0,False
CVE-2018-12083,Bad Randomness,mintToken,0,False
CVE-2018-12083,Typo Constructor,mintToken,0,False
CVE-2018-12083,Wrong Logic,mintToken,0,False
CVE-2018-12083,Access Control,mintToken,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-14001,Integer Overflow,transferFrom,0,False
CVE-2018-14001,Integer Overflow,transfer,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13325,Integer Overflow,mintToken,0,False
CVE-2018-13325,Integer Overflow,sell,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-12702,Bad Randomness,transferFrom,0,False
CVE-2018-12702,Access Control,transfer,0,False
CVE-2018-12702,Access Control,approve,0,False
CVE-2018-12702,Integer Overflow,approve,0,False
CVE-2018-12702,Wrong Logic,transfer,0,False
CVE-2018-12702,Typo Constructor,transferFrom,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Typo Constructor,transfer,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Access Control,transferFrom,0,False
CVE-2018-12702,Bad Randomness,transfer,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,allowance,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,approve,0,False
CVE-2018-12703,Integer Overflow,receiveApproval,0,False
CVE-2018-18425,Integer Overflow,transferFrom,0,False
CVE-2018-18425,Integer Overflow,getUnbalancedTokens,0,False
CVE-2018-18425,Integer Overflow,transfer,0,False
CVE-2018-18425,Integer Overflow,increaseApproval,0,False
CVE-2018-18425,Integer Overflow,approve,0,False
CVE-2018-18425,Integer Overflow,getBalance,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Integer Overflow,setBalance,0,False
CVE-2018-18425,Integer Overflow,decreaseApproval,0,False
CVE-2018-14006,Integer Overflow,transfer,0,False
CVE-2018-14006,Integer Overflow,batchTransfer,0,False
CVE-2018-14006,Integer Overflow,transferFrom,0,False
CVE-2018-10666,Integer Overflow,transferFrom,0,False
CVE-2018-10666,Access Control,setOwner,0,True
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-10666,Integer Overflow,receiveApproval,0,False
CVE-2018-17877,Integer Overflow,RoundHeart,0,False
CVE-2018-17877,Integer Overflow,RoundMyPayMask,0,False
CVE-2018-17877,Integer Overflow,RoundLastGreedyMan,0,False
CVE-2018-17877,Integer Overflow,onwerfee,0,False
CVE-2018-17877,Integer Overflow,RoundETH,0,False
CVE-2018-17877,Integer Overflow,Round,0,False
CVE-2018-17877,Integer Overflow,getHeartPrice,0,False
CVE-2018-17877,Integer Overflow,RoundPayMask,0,False
CVE-2018-17877,Integer Overflow,RoundMyHeart,0,False
CVE-2018-17877,Integer Overflow,Luckybuy,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-17877,Integer Overflow,luckybuyTracker_,0,False
CVE-2018-17877,Integer Overflow,win,0,False
CVE-2018-17877,Integer Overflow,RoundTime,0,False
CVE-2018-17877,Integer Overflow,getMyRevenue,0,False
