dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,True,2,0
CVE-2018-17968,Bad Randomness,random,False,N/A,0
CVE-2018-13777,Integer Overflow,mintToken,True,1,0
CVE-2018-12062,Integer Overflow,sell,False,N/A,0
CVE-2018-17071,Bad Randomness,fallback,False,N/A,0
CVE-2018-12083,Token Devalue,mintToken,False,N/A,0
CVE-2018-14001,Integer Overflow,batchTransfer,True,1,0
CVE-2018-13208,Integer Overflow,sell,False,N/A,0
CVE-2018-13325,Integer Overflow,_sell,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,0
CVE-2018-14006,Integer Overflow,multipleTransfer,False,N/A,0
CVE-2018-10666,Access Control,setOwner,True,1,0
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,0
CVE-2018-13071,Integer Overflow,mintToken,True,5,0
CVE-2021-34273,Access Control,owned,False,N/A,0
CVE-2018-10376,Integer Overflow,transferProxy,True,20,0
CVE-2018-11429,Integer Overflow,mint,False,N/A,0
CVE-2018-14715,Bad Randomness,endCoinFlip,False,N/A,0
CVE-2018-13079,Integer Overflow,mintToken,True,1,0
CVE-2021-3006,Access Control,breed,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,0
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,True,1,0
CVE-2018-12070,Integer Overflow,sell,False,N/A,0
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,0
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,0
CVE-2018-12067,Integer Overflow,sell,False,N/A,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,True,1,0
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,0
CVE-2018-13127,Integer Overflow,mint,True,1,0
CVE-2018-13041,Integer Overflow,mint,True,1,0
CVE-2018-13091,Integer Overflow,mintToken,False,N/A,0
CVE-2018-12068,Integer Overflow,sell,False,N/A,0
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,0
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-11411,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,0
CVE-2018-12511,Integer Overflow,mintToken,True,1,0
CVE-2018-14005,Integer Overflow,transferAny,True,3,0
CVE-2018-11335,Integer Overflow,mint,True,1,0
CVE-2018-13089,Integer Overflow,mintToken,True,1,0
CVE-2018-13074,Integer Overflow,mintToken,True,1,0
CVE-2020-17752,Integer Overflow,Not Provided,False,N/A,0
CVE-2018-13778,Integer Overflow,mintToken,True,1,0
CVE-2018-12081,Token Devalue,mintToken,False,N/A,0
CVE-2018-17111,Access Control,onlyOwner,False,N/A,0
CVE-2018-11687,Integer Overflow,distributeBTR,True,4,0
CVE-2018-13202,Integer Overflow,sell,False,N/A,0
CVE-2021-34270,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13493,Integer Overflow,mintToken,True,1,0
CVE-2018-19832,Access Control,NETM,False,N/A,0
CVE-2018-13230,Integer Overflow,sell,False,N/A,0
CVE-2018-13092,Integer Overflow,mintToken,True,1,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-13189,Integer Overflow,mint,True,1,0
CVE-2018-12079,Token Devalue,mintToken,False,N/A,0
CVE-2018-19834,Access Control,quaker,False,N/A,0
CVE-2018-13221,Integer Overflow,sell,False,N/A,0
CVE-2018-12975,Bad Randomness,random,False,N/A,0
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,0
CVE-2018-13836,Integer Overflow,multiTransfer,False,N/A,0
CVE-2018-13625,Integer Overflow,mintlvlToken,False,N/A,0
CVE-2018-19830,Access Control,UBSexToken,False,N/A,0
CVE-2018-10944,Access Control,request_dividend,False,N/A,0
CVE-2018-13113,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,False,N/A,0
CVE-2018-12078,Token Devalue,mintToken,False,N/A,0
CVE-2018-13227,Integer Overflow,sell,False,N/A,0

Top k hit rate:,0.30,(22/73)
Top 1 hit rate:,0.30,0.2328767123287671,(17/73)
