dataname,vulnerability,function_name,match
CVE-2018-13722,Integer Overflow,distribute,False
CVE-2018-13722,Integer Overflow,mint,True
CVE-2018-13722,Typo Constructor,mint,False
CVE-2018-13722,Access Control,mint,False
CVE-2018-13722,Integer Overflow,minted,False
CVE-2018-13722,Wrong Logic,mint,False
CVE-2018-13722,Bad Randomness,mint,False
CVE-2018-13722,Access Control,setMintAgent,False
CVE-2018-13722,Bad Randomness,approve,False
CVE-2018-13722,Access Control,setUpgradeMaster,False
CVE-2018-13722,Wrong Logic,transferFrom,False
CVE-2018-13132,Integer Overflow,buyTokens,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,False
CVE-2018-13132,Access Control,validState,False
CVE-2018-13132,Access Control,pauseIco,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,False
CVE-2018-13132,Access Control,resumeIco,False
CVE-2018-13132,Access Control,mint,False
CVE-2018-13132,Integer Overflow,migrate,False
CVE-2018-13132,Integer Overflow,mint,True
CVE-2018-13128,Integer Overflow,mint,True
CVE-2018-13128,Access Control,approve,False
CVE-2018-13128,Integer Overflow,burn,False
CVE-2018-13128,Access Control,unfreeze,False
CVE-2018-13128,Access Control,transferFrom,False
CVE-2018-13128,Integer Overflow,transfer,False
CVE-2018-13128,Access Control,transfer,False
CVE-2018-13128,Access Control,burn,False
CVE-2018-13777,Integer Overflow,mintToken,True
CVE-2018-13777,Bad Randomness,mintToken,False
CVE-2018-13777,Access Control,mintToken,False
CVE-2018-13777,Wrong Logic,transfer,False
CVE-2018-13777,Access Control,tokenRecipient receiveApproval,False
CVE-2018-13777,Wrong Logic,transferFrom,False
CVE-2018-13777,Access Control,approve,False
CVE-2018-17071,Integer Overflow,(),False
CVE-2018-17071,Unchecked Call Return,(),False
CVE-2018-17071,Unchecked Call Return,stopGame(),False
CVE-2018-17071,Integer Overflow,Lucky9io,False
CVE-2018-17071,Access Control,Lucky9io,False
CVE-2018-17071,Bad Randomness,Lucky9io,False
CVE-2018-17071,Token Devalue,Lucky9io,False
CVE-2018-17071,Tyco Constructor,Lucky9io,False
CVE-2018-17071,Wrong Logic,Lucky9io,False
CVE-2018-17071,Access Control,<constructor>,False
CVE-2018-17071,Wrong Logic,<ticket_buyer_function>,False
CVE-2018-17071,Bad Randomness,<ticket_buyer_function>,False
CVE-2018-17071,Integer Overflow,<ticket_buyer_function>,False
CVE-2018-17071,Integer Overflow,stopGame,False
CVE-2018-17071,Integer Overflow,fallback,False
CVE-2018-17071,Access Control,stopGame(),False
CVE-2018-17071,Integer Overflow,fallback(),False
CVE-2018-12083,Integer Overflow,mintToken,False
CVE-2018-12083,Token Devalue,mintToken,True
CVE-2018-12083,Access Control,mintToken,False
CVE-2018-12083,Typos Constructor,mintToken,False
CVE-2018-12083,Bad Randomness,mintToken,False
CVE-2018-12083,Wrong Logic,mintToken,False
CVE-2018-12083,Typo Constructor,mintToken,False
CVE-2018-12083,Bad Randomness,approve,False
CVE-2018-12083,Wrong Logic,transfer,False
CVE-2018-12083,Access Control,burnFrom,False
CVE-2018-14001,Integer Overflow,transfer,False
CVE-2018-14001,Integer Overflow,Trade,False
CVE-2018-14001,Integer Overflow,batchTransfer,True
CVE-2018-14001,Integer Overflow,transferFrom,False
CVE-2018-14001,Integer Overflow,buy,False
CVE-2018-14001,Integer Overflow,onlyManager,False
CVE-2018-14001,Integer Overflow,changePrice,False
CVE-2018-14001,Integer Overflow,cashOut,False
CVE-2018-14001,Integer Overflow,airDrop,False
CVE-2018-14001,Integer Overflow,onlyHuman,False
CVE-2018-14001,Integer Overflow,sell,False
CVE-2018-14001,Integer Overflow,Buy,False
CVE-2018-14001,Integer Overflow,Sell,False
CVE-2018-13325,Wrong Logic,mapping(address => mapping(address => uint256)) public allowance,False
CVE-2018-13325,Unchecked Return Value,transferEth,False
CVE-2018-13325,Unchecked Return Value,transfer,False
CVE-2018-13325,Unchecked Return Value,approve,False
CVE-2018-13325,Unchecked Return Value,transferFrom,False
CVE-2018-13325,Unchecked Return Value,approveAndCall,False
CVE-2018-13325,Integer Overflow,GrowToken,False
CVE-2018-13325,Access Control,GrowToken,False
CVE-2018-13325,Bad Randomness,GrowToken,False
