dataname,auditor_idx,vulnerability,function_name
2018-13072,0,Integer Overflow,mintToken
2018-13072,0,Bad Randomness,mintToken
2018-13072,0,Access Control,mintToken
2018-13072,0,Typos Constructor,mintToken
2018-13072,0,Integer Overflow,transferFrom
2018-13072,0,Bad Randomness,transferFrom
2018-13072,0,Access Control,transferFrom
2018-13072,0,Typos Constructor,transferFrom
2018-13072,0,Integer Overflow,withdrawToOwner
2018-13072,0,Bad Randomness,withdrawToOwner
2018-13072,0,Access Control,withdrawToOwner
2018-13072,0,Typos Constructor,withdrawToOwner
