dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-17968,Multiple Instances,executeRoom,0,False
CVE-2018-17968,Bad Randomness,executeRoom,0,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13132,Access Control,validState,0,False
CVE-2018-13132,Access Control,pauseIco,0,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,0,False
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13132,Access Control,resumeIco,0,False
CVE-2018-13128,Access Control,approve,0,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Access Control,unfreeze,0,False
CVE-2018-13128,Access Control,transferFrom,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13777,Bad Randomness,mintToken,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Access Control,mintToken,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Bad Randomness,setPrices,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Access Control,freezeAccount,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-17071,Integer Overflow,Lucky9io,0,False
CVE-2018-17071,Access Control,Lucky9io,0,False
CVE-2018-17071,Bad Randomness,Lucky9io,0,False
CVE-2018-17071,Token Devalue,Lucky9io,0,False
CVE-2018-17071,Tyco Constructor,Lucky9io,0,False
CVE-2018-17071,Wrong Logic,Lucky9io,0,False
CVE-2018-12083,Token Devalue,mintToken,0,True
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Access Control,mintToken,0,False
CVE-2018-12083,Typos Constructor,mintToken,0,False
CVE-2018-12083,Bad Randomness,mintToken,0,False
CVE-2018-12083,Wrong Logic,mintToken,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,buy,0,False
CVE-2018-14001,Integer Overflow,onlyManager,0,False
CVE-2018-14001,Integer Overflow,changePrice,0,False
CVE-2018-14001,Integer Overflow,cashOut,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,onlyHuman,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,sell,0,False
CVE-2018-13208,Bad Randomness,setPrices,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13325,Integer Overflow,GrowToken,0,False
CVE-2018-13325,Access Control,GrowToken,0,False
CVE-2018-13325,Bad Randomness,GrowToken,0,False
CVE-2018-13129,Access Control,setMigrationAgent,0,False
CVE-2018-13129,Integer Overflow,increaseApproval,0,False
CVE-2018-13129,Access Control,setMigrationMaster,0,False
CVE-2018-13129,Integer Overflow,approve,0,False
CVE-2018-13129,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Integer Overflow,transfer,0,False
CVE-2018-13129,Access Control,unfreeze,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Integer Overflow,migrateFrom,0,False
CVE-2018-13129,Integer Overflow,decreaseApproval,0,False
CVE-2018-12702,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Wrong Logic,transfer,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Access Control,transferFrom,0,False
CVE-2018-12702,Bad Randomness,transferFrom,0,False
CVE-2020-17753,Integer Overflow,RC,0,False
CVE-2020-17753,Access Control,RC,0,False
CVE-2020-17753,Bad Randomness,RC,0,False
CVE-2018-12230,Access Control,freezeAccount,0,False
CVE-2018-12230,Access Control,changeName,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Access Control,changeSymbol,0,False
CVE-2018-12230,Access Control,changeDecimals,0,False
CVE-2018-12703,Bad Randomness,transfer,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Token Devalue,transferFrom,0,False
CVE-2018-12703,Wrong Logic,transferFrom,0,False
CVE-2018-12703,Access Control,transfer,0,False
CVE-2018-12703,Tyco Constructor,transferFrom,0,False
CVE-2018-12703,Token Devalue,transfer,0,False
CVE-2018-12703,Bad Randomness,transferFrom,0,False
CVE-2018-12703,Wrong Logic,transfer,0,False
CVE-2018-12703,Multiple Functions,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Tyco Constructor,transfer,0,False
CVE-2018-12703,Access Control,transferFrom,0,False
CVE-2018-12703,Multiple Functions,transfer,0,False
CVE-2018-14085,Integer Overflow,UserWallet,0,False
CVE-2018-14085,Bad Randomness,DefaultSweeper,0,False
CVE-2018-18425,Integer Overflow,withdraw,0,False
CVE-2018-18425,Integer Overflow,withdrawAltcoinTokens,0,False
CVE-2018-18425,Integer Overflow,burn,0,False
CVE-2018-18425,Integer Overflow,getTokenBalance,0,False
CVE-2018-17050,Access Control,transferFrom,0,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-17050,Integer Overflow,freezeAccount,0,False
CVE-2018-17050,Bad Randomness,transfer,0,False
CVE-2018-13075,Integer Overflow,buy,0,False
CVE-2018-13075,Access Control,freezeAccount,0,False
