dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,distribute,0,False
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-17071,Integer Overflow,(),0,False
CVE-2018-17071,Unchecked Call Return,(),0,False
CVE-2018-17071,Unchecked Call Return,stopGame(),0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-14001,Integer Overflow,transfer,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Wrong Logic,mapping(address => mapping(address => uint256)) public allowance,0,False
CVE-2018-13325,Unchecked Return Value,transferEth,0,False
CVE-2018-13325,Unchecked Return Value,transfer,0,False
CVE-2018-13325,Unchecked Return Value,approve,0,False
CVE-2018-13325,Unchecked Return Value,transferFrom,0,False
CVE-2018-13325,Unchecked Return Value,approveAndCall,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2020-17753,Integer Overflow,buyFromRC,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-14006,Integer Overflow,batchTransfer,0,False
CVE-2018-13075,Integer Overflow,setTokenName,0,False
CVE-2018-13075,Integer Overflow,mintToken,0,True
CVE-2018-13075,Integer Overflow,setMinBalance,0,False
CVE-2018-13075,Integer Overflow,setTokenSymbol,0,False
CVE-2018-10666,Unhandled Fallback Function,function () external { throw; },0,False
CVE-2018-13071,Integer Overflow,distributeTokens,0,False
CVE-2018-13088,Integer Overflow,mintToken,0,True
CVE-2018-13670,Integer Overflow,sell,0,False
CVE-2018-11429,Integer Overflow,transfer,0,False
CVE-2018-13070,Integer Overflow,mintToken,0,True
CVE-2018-13073,Integer Overflow,sell,0,False
CVE-2018-13079,Integer Overflow,mintToken,0,True
CVE-2018-19833,Integer Overflow,mintToken,0,False
CVE-2018-14089,Integer Overflow,burn,0,False
CVE-2018-14089,Integer Overflow,distribute,0,False
CVE-2018-12070,Integer Overflow,mintToken,0,False
CVE-2018-10706,Unchecked Return Value,changeOwner,0,False
CVE-2018-10706,Unchecked Return Value,changeAirdropQty,0,False
CVE-2018-10706,Wrong Logic,transferFrom,0,False
CVE-2018-10706,Unchecked Return Value,changeTokensPerEther,0,False
CVE-2018-10706,Unchecked Return Value,changePaused,0,False
CVE-2018-10706,Unchecked Return Value,,0,False
CVE-2018-10706,Unchecked Return Value,generateTokens,0,False
CVE-2018-10706,Unchecked Return Value,approveAndCall,0,False
CVE-2018-10706,Unchecked Return Value,destroyTokens,0,False
CVE-2018-10706,Unchecked Return Value,changeAirdropTotalQty,0,False
CVE-2018-14087,Integer Overflow,mintToken,0,False
CVE-2018-14087,Self-destruction,selfdestructs,0,False
CVE-2018-14087,Ether Withdrawal,getEth,0,False
CVE-2018-14087,Integer Overflow,_transfer,0,False
CVE-2018-14087,Integer Overflow,buy,0,False
CVE-2021-34272,Integer Overflow,mintToken,0,False
CVE-2018-13069,Integer Overflow,mintToken,0,True
CVE-2021-3004,Integer Overflow,mint,0,False
CVE-2018-13127,Integer Overflow,mint,0,True
CVE-2018-13041,Integer Overflow,mint,0,True
CVE-2018-13091,Integer Overflow,distributeToken,0,False
CVE-2018-13327,Integer Overflow,distributeToken,0,False
CVE-2018-17987,Reentrancy,claimWinnings,0,False
CVE-2018-17987,Reentrancy,claimTile,0,False
CVE-2018-14005,Incorrect Logic,transferAUTOtokens10,0,False
CVE-2018-14005,Wrong Logic,transferFrom,0,False
CVE-2018-14005,Incorrect Logic,transferAUTOtokens5,0,False
CVE-2018-14005,Incorrect Logic,transfer,0,False
CVE-2018-14005,Incorrect Logic,approve,0,False
CVE-2018-14005,Incorrect Logic,transferAny,0,False
CVE-2018-14005,Incorrect Logic,transferAUTOtoken1,0,False
CVE-2018-11335,Integer Overflow,mint,0,True
CVE-2018-13086,Integer Overflow,mintToken,0,True
CVE-2018-12080,Integer Overflow,mintToken,0,False
CVE-2018-13074,Integer Overflow,mintToken,0,True
CVE-2020-17752,Maximum Supply Exceeded,mintCoins,0,False
CVE-2020-17752,Integer Overflow,mintCoins,0,False
CVE-2020-17752,Unchecked Return Value,mintCoins,0,False
CVE-2018-13778,Integer Overflow,mintToken,0,True
CVE-2018-12025,Integer Overflow,mintToken,0,False
CVE-2018-11239,Burn Function Issue,function burn(uint256 _value) public returns (bool success),0,False
CVE-2018-11239,Initial Supply Issue,function Hexagon() public,0,False
CVE-2018-13202,Integer Overflow,sell,0,True
CVE-2021-34270,Integer Overflow,mintToken,0,True
CVE-2018-13068,Integer Overflow,mintToken,0,True
CVE-2018-13083,Integer Overflow,mintToken,0,True
CVE-2018-13230,Integer Overflow,sell,0,True
CVE-2018-13092,Integer Overflow,mintToken,0,True
CVE-2018-12082,Integer Overflow,mintToken,0,False
CVE-2018-13225,Integer Overflow,mintToken,0,False
CVE-2018-13189,Wrong Logic,transferFrom,0,False
CVE-2018-13189,Lack of Access Control,withdraw,0,False
CVE-2018-13189,Lack of Access Control,transfer,0,False
CVE-2018-13189,Lack of Access Control,finish,0,False
CVE-2018-13189,Lack of Access Control,approve,0,False
CVE-2018-13189,Lack of Access Control,mint,0,False
CVE-2018-12079,Integer Overflow,sell,0,False
CVE-2018-13783,Wrong Logic,sell,0,False
CVE-2018-13221,Integer Overflow,sell,0,True
CVE-2018-12454,Integer Overflow,addguess,0,False
CVE-2018-14576,Restricted Address,mintTokens,0,False
CVE-2018-14576,Integer Overflow,transfer,0,False
CVE-2018-14576,Restricted Address,burnTokens,0,False
CVE-2018-14576,Integer Overflow,mintTokens,0,True
CVE-2018-14576,Integer Overflow,transferFrom,0,False
CVE-2018-14576,Unchecked Call Return,mintTokens,0,False
CVE-2018-13625,Integer Overflow,repayLoan,0,False
CVE-2018-13625,Integer Overflow,transfer,0,False
CVE-2018-13625,Integer Overflow,transferFrom,0,False
CVE-2018-13625,Integer Overflow,burnlvlToken,0,False
CVE-2018-13625,Integer Overflow,lend,0,False
CVE-2018-13625,Integer Overflow,mintlvlToken,0,True
CVE-2018-19830,Wrong Logic,transferFrom,0,False
CVE-2018-14004,Integer Overflow,distribute_100_tokens_to_many,0,False
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,0,True
CVE-2018-14004,Integer Overflow,fallback function,0,False
CVE-2018-12078,Integer Overflow,mintToken,0,False
