dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,False,N/A,0
CVE-2018-13132,Integer Overflow,mint,False,N/A,0
CVE-2018-13128,Integer Overflow,mint,True,1,0
CVE-2018-13777,Integer Overflow,mintToken,True,1,0
CVE-2018-17071,Bad Randomness,fallback,False,N/A,0
CVE-2018-12083,Token Devalue,mintToken,False,N/A,0
CVE-2018-14001,Integer Overflow,batchTransfer,True,3,0
CVE-2018-13325,Integer Overflow,_sell,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2020-17753,Access Control,addMeByRC,False,N/A,0
CVE-2018-12230,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-17050,Integer Overflow,mintToken,True,1,0
CVE-2018-14006,Integer Overflow,multipleTransfer,False,N/A,0
CVE-2018-13075,Integer Overflow,mintToken,True,1,0
CVE-2018-10666,Access Control,setOwner,False,N/A,0
CVE-2018-13071,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13088,Integer Overflow,mintToken,True,1,0
CVE-2018-13670,Integer Overflow,mintToken,False,N/A,0
CVE-2018-11429,Integer Overflow,mint,False,N/A,0
CVE-2018-13070,Integer Overflow,mintToken,True,1,0
CVE-2018-13073,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13079,Integer Overflow,mintToken,True,1,0
CVE-2018-19833,Access Control,owned,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-12070,Integer Overflow,sell,False,N/A,0
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13069,Integer Overflow,mintToken,True,1,0
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,0
CVE-2018-13127,Integer Overflow,mint,True,1,0
CVE-2018-13041,Integer Overflow,mint,True,1,0
CVE-2018-13091,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,0
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,0
CVE-2018-11335,Integer Overflow,mint,True,1,0
CVE-2018-13086,Integer Overflow,mintToken,True,1,0
CVE-2018-12080,Token Devalue,mintToken,False,N/A,0
CVE-2018-13074,Integer Overflow,mintToken,True,1,0
CVE-2020-17752,Integer Overflow,Not Provided,False,N/A,0
CVE-2018-13778,Integer Overflow,mintToken,True,1,0
CVE-2018-12025,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,0
CVE-2018-13202,Integer Overflow,sell,True,1,0
CVE-2021-34270,Integer Overflow,mintToken,True,1,0
CVE-2018-13068,Integer Overflow,mintToken,True,1,0
CVE-2018-13083,Integer Overflow,mintToken,True,1,0
CVE-2018-13230,Integer Overflow,sell,True,1,0
CVE-2018-13092,Integer Overflow,mintToken,True,1,0
CVE-2018-12082,Token Devalue,mintToken,False,N/A,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-13189,Integer Overflow,mint,False,N/A,0
CVE-2018-12079,Token Devalue,mintToken,False,N/A,0
CVE-2018-13783,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13221,Integer Overflow,sell,True,1,0
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,0
CVE-2018-14576,Integer Overflow,mintTokens,True,1,0
CVE-2018-13625,Integer Overflow,mintlvlToken,True,1,0
CVE-2018-19830,Access Control,UBSexToken,False,N/A,0
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,True,2,0
CVE-2018-12078,Token Devalue,mintToken,False,N/A,0

Top k hit rate:,0.42,(26/62)
Top 1 hit rate:,0.42,0.3870967741935484,(24/62)
