dataname,auditor_idx,vulnerability,function_name
2018-19831,0,Integer Overflow,Mining24
2018-19831,0,Unauthorized Transfer,ToOwner
2018-19831,0,Unauthorized Access,setParameters
2018-19831,0,Unauthorized Access,enableWhitelist
2018-19831,0,Unauthorized Access,disableWhitelist
2018-19831,0,Unauthorized Access,finishDistribution
2018-19831,0,Unauthorized Access,distr
2018-19831,0,Unauthorized Access,airdrop
2018-19831,0,Unauthorized Access,distribution
2018-19831,0,Unauthorized Access,distributeAmounts
2018-19831,0,Unauthorized Access,getTokens
2018-19831,0,Unauthorized Access,balanceOf
2018-19831,0,Unauthorized Access,transfer
2018-19831,0,Unauthorized Access,transferFrom
2018-19831,0,Unauthorized Access,approve
2018-19831,0,Unauthorized Access,allowance
2018-19831,0,Unauthorized Access,getTokenBalance
2018-19831,0,Unauthorized Access,withdraw
2018-19831,0,Unauthorized Access,burn
2018-19831,0,Unauthorized Access,withdrawForeignTokens
