dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Wrong Logic,buy,0,False
CVE-2018-12062,Wrong Logic,sell,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-17071,Access Control,<constructor>,0,False
CVE-2018-17071,Wrong Logic,<ticket_buyer_function>,0,False
CVE-2018-17071,Bad Randomness,<ticket_buyer_function>,0,False
CVE-2018-17071,Integer Overflow,<ticket_buyer_function>,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-13208,Wrong Logic,buy,0,False
CVE-2018-13208,Integer Overflow,transferFrom,0,False
CVE-2018-13208,Wrong Logic,sell,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13129,Bad Randomness,migrate,0,False
CVE-2018-13129,Integer Overflow,transfer,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2020-17753,Integer Overflow,buyFromRC,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-18425,Integer Overflow,doAirdrop,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-13075,Wrong Logic,buy,0,False
CVE-2018-13075,Integer Overflow,mintToken,0,True
CVE-2018-13075,Integer Overflow,setPrices,0,False
CVE-2018-13075,Access Control,transfer,0,False
CVE-2018-13075,Wrong Logic,sell,0,False
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-10666,Integer Overflow,transferFrom,0,False
CVE-2018-10666,Access Control,IDXM,0,False
CVE-2018-10666,Integer Overflow,feeFor,0,False
CVE-2018-13076,Access Control,transferFrom,0,False
CVE-2018-13076,Access Control,transfer,0,False
CVE-2018-13076,Integer Overflow,mintToken,0,True
CVE-2018-13076,Access Control,withdrawToOwner,0,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13071,Integer Overflow,transferFrom,0,False
CVE-2018-13088,Bad Randomness,mintToken,0,False
CVE-2018-13088,Integer Overflow,sell,0,False
CVE-2018-13088,Access Control,transferFrom,0,False
CVE-2018-13088,Integer Overflow,mintToken,0,True
CVE-2018-13088,Integer Overflow,buy,0,False
CVE-2018-13670,Integer Overflow,sell,0,False
CVE-2018-13670,Integer Overflow,mintToken,0,True
CVE-2018-13670,Access Control,setPrices,0,False
CVE-2018-13670,Integer Overflow,transfer,0,False
CVE-2018-11429,Integer Overflow,mint,0,True
CVE-2018-13070,Integer Overflow,buy,0,False
CVE-2018-13070,Integer Overflow,transferFrom,0,False
CVE-2018-13070,Integer Overflow,mintToken,0,True
CVE-2018-13070,Integer Overflow,burnFrom,0,False
CVE-2018-13073,Integer Overflow,transferFrom,0,False
CVE-2018-13073,Wrong Logic,buy,0,False
CVE-2018-13073,Access Control,transfer,0,False
CVE-2018-13073,Integer Overflow,mintToken,0,True
CVE-2018-13073,Wrong Logic,sell,0,False
CVE-2018-12885,Integer Overflow,<constructor>,0,False
CVE-2018-13079,Bad Randomness,sell,0,False
CVE-2018-13079,Integer Overflow,transferFrom,0,False
CVE-2018-13079,Bad Randomness,buy,0,False
CVE-2018-13079,Integer Overflow,mintToken,0,True
CVE-2018-13079,Access Control,transfer,0,False
CVE-2018-14089,Integer Overflow,<fallback>,0,False
