dataname,auditor_idx,vulnerability,function_name
2018-18425,0,Integer Overflow,tokens
2018-18425,0,Denial of Service,PayWinner
2018-18425,0,Typo Constructor,toOwner
2018-18425,0,Typo Constructor,mintToken
2018-18425,0,Typo Constructor,doAirdrop
2018-18425,0,Typo Constructor,adminClaimAirdrop
2018-18425,0,Typo Constructor,adminClaimAirdropMultiple
2018-18425,0,Typo Constructor,updateTokensPerEth
2018-18425,0,Typo Constructor,transfer
2018-18425,0,Typo Constructor,transferFrom
2018-18425,0,Typo Constructor,approve
2018-18425,0,Typo Constructor,distribute
2018-18425,0,Typo Constructor,burn
2018-18425,0,Typo Constructor,getTokenBalance
2018-18425,0,Typo Constructor,withdrawAltcoinTokens
2018-18425,0,Typo Constructor,withdraw
