dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13722,Access Control,mintAgents,0,False
CVE-2018-13722,Integer Overflow,mintToken,0,False
CVE-2018-13132,Integer Overflow,SPXToken,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,mintToken,0,False
CVE-2018-13128,Integer Overflow,distribute,0,False
CVE-2018-13128,Denial of Service,PayWinner,0,False
CVE-2018-13777,Integer Overflow,distribute,0,False
CVE-2018-12062,Denial of Service,mintToken,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Wrong Logic,mintToken,0,False
CVE-2018-17071,Access Control,stopGame,0,False
CVE-2018-17071,Denial of Service,claimThrone,0,False
CVE-2018-17071,Integer Overflow,PayWinner,0,False
CVE-2018-17071,Integer Overflow,distribute,0,False
CVE-2018-17071,Denial of Service,fallback,0,False
CVE-2018-17071,Bad Randomness,PayWinner,0,False
CVE-2018-14001,Integer Overflow,PayWinner,0,False
CVE-2018-14001,Denial of Service,PayWinner,0,False
CVE-2018-13208,Integer Overflow,distribute,0,False
CVE-2018-13208,Denial of Service,PayWinner,0,False
CVE-2018-13325,Integer Overflow,mintToken,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Integer Overflow,sell,0,False
CVE-2018-13325,Integer Overflow,receiveApproval,0,False
CVE-2018-12702,Typo Constructor,toOwner,0,False
CVE-2018-12702,Integer Overflow,distribute,0,False
CVE-2018-12702,Denial of Service,claimThrone,0,False
CVE-2018-12702,Denial of Service,PayWinner,0,False
CVE-2018-12702,Wrong Logic,transferFrom,0,False
CVE-2018-12702,Bad Randomness,mintToken,0,False
CVE-2018-12702,Access Control,toOwner,0,False
CVE-2020-17753,Integer Overflow,EIP20,0,False
CVE-2020-17753,Integer Overflow,RC,0,False
CVE-2018-12230,Wrong Logic,mintToken,0,False
CVE-2018-12230,Denial of Service,mintToken,0,False
CVE-2018-12230,Access Control,mintToken,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-18425,Typo Constructor,mintToken,0,False
CVE-2018-18425,Integer Overflow,tokens,0,False
CVE-2018-18425,Denial of Service,PayWinner,0,False
CVE-2018-18425,Typo Constructor,distribute,0,False
CVE-2018-18425,Typo Constructor,adminClaimAirdropMultiple,0,False
CVE-2018-18425,Typo Constructor,transfer,0,False
CVE-2018-18425,Typo Constructor,adminClaimAirdrop,0,False
CVE-2018-18425,Typo Constructor,doAirdrop,0,False
CVE-2018-18425,Typo Constructor,updateTokensPerEth,0,False
CVE-2018-18425,Typo Constructor,transferFrom,0,False
CVE-2018-18425,Typo Constructor,approve,0,False
CVE-2018-18425,Typo Constructor,withdraw,0,False
CVE-2018-18425,Typo Constructor,getTokenBalance,0,False
CVE-2018-18425,Typo Constructor,toOwner,0,False
CVE-2018-18425,Typo Constructor,withdrawAltcoinTokens,0,False
CVE-2018-18425,Typo Constructor,burn,0,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-14006,Integer Overflow,NGToken,0,False
CVE-2018-14006,Access Control,distribute,0,False
CVE-2018-14006,Typo Constructor,distribute,0,False
CVE-2018-14006,Denial of Service,distribute,0,False
CVE-2018-14006,Bad Randomness,distribute,0,False
CVE-2018-13075,Access Control,freezeAccount,0,False
CVE-2018-13075,Typo Constructor,setTokenName,0,False
CVE-2018-13075,Integer Overflow,setPrices,0,False
CVE-2018-13075,Typo Constructor,setTokenSymbol,0,False
CVE-2018-13075,Access Control,setMinBalance,0,False
CVE-2018-13075,Typo Constructor,ToOwner,0,False
CVE-2018-13075,Integer Overflow,PayWinner,0,False
CVE-2018-13075,Denial of Service,mintToken,0,False
CVE-2018-13075,Integer Overflow,distribute,0,False
CVE-2018-13075,Integer Overflow,buy,0,False
CVE-2018-13075,Integer Overflow,sell,0,False
CVE-2018-10666,Bad Randomness,transferFrom,0,False
CVE-2018-10666,Integer Overflow,IDXM,0,False
CVE-2018-10666,Bad Randomness,transfer,0,False
CVE-2018-13076,Denial of Service,PayWinner,0,False
CVE-2018-13076,Integer Overflow,distribute,0,False
CVE-2018-13076,Denial of Service,claimThrone,0,False
CVE-2018-13076,Integer Overflow,PayWinner,0,False
CVE-2018-13076,Wrong Logic,transferFrom,0,False
CVE-2018-17877,Integer Overflow,getFullround,0,False
CVE-2018-17877,Wrong Logic,luckyBuy,0,False
CVE-2018-17877,Integer Overflow,getHeartPrice,0,False
CVE-2018-17877,Denial of Service,mintToken,0,False
CVE-2018-17877,Integer Overflow,getMyRevenue,0,False
CVE-2018-13071,Integer Overflow,distribute,0,False
CVE-2018-13533,Unrestricted Approval Allowance,approve,0,False
CVE-2018-13533,Unrestricted Buying of Tokens,buy,0,False
CVE-2018-13533,Unrestricted Selling of Tokens,sell,0,False
CVE-2018-13533,Unrestricted Setting of Trading Status,setStatus,0,False
CVE-2018-13533,Integer Overflow,transfer,0,False
CVE-2018-13533,Unrestricted Deposit of Ether,deposit,0,False
CVE-2018-13533,Unrestricted Minting of Tokens,mintToken,0,False
CVE-2018-13533,Unrestricted Setting of Prices,setPrices,0,False
CVE-2018-13533,Unrestricted Freezing of Accounts,freezeAccount,0,False
CVE-2018-13533,Unrestricted Withdrawal of Ether,withdraw,0,False
CVE-2018-13533,Integer Overflow,transferFrom,0,False
CVE-2021-34273,Bad Randomness,PayWinner,0,False
CVE-2021-34273,Integer Overflow,distribute,0,False
CVE-2021-34273,Denial of Service,PayWinner,0,False
CVE-2018-10299,Integer Overflow,PayWinner,0,False
CVE-2018-13670,Integer Overflow,distribute,0,False
CVE-2018-10376,Denial of Service,PayWinner,0,False
CVE-2018-10376,Integer Overflow,distribute,0,False
CVE-2018-10376,Denial of Service,claimThrone,0,False
CVE-2018-10376,Wrong Logic,transferFrom,0,False
CVE-2018-10376,Bad Randomness,mintToken,0,False
CVE-2018-14003,Denial of Service,claimThrone,0,False
CVE-2018-14003,Denial of Service,mintToken,0,False
CVE-2018-14003,Bad Randomness,PayWinner,0,False
CVE-2018-14003,Typo Constructor,ToOwner,0,False
CVE-2018-13073,Integer Overflow,distribute,0,False
CVE-2018-13073,Bad Randomness,PayWinner,0,False
CVE-2018-14715,Integer Overflow,_transferFrom,0,False
CVE-2018-14715,Integer Overflow,Crypti,0,False
CVE-2018-14715,Integer Overflow,_transfer,0,False
CVE-2018-14715,Bad Randomness,Pay Wrong Logic,0,False
CVE-2018-14715,Bad Randomness,throwSlammer,0,False
CVE-2018-12885,Integer Overflow,MyCryptoChampCore,0,False
CVE-2018-13079,Bad Randomness,transferFrom,0,False
CVE-2018-13079,Integer Overflow,distribute,0,False
CVE-2018-14089,Integer Overflow,distribute,0,False
CVE-2019-15078,Denial of Service,PayWinner,0,False
CVE-2019-15078,Integer Overflow,PayWinner,0,False
CVE-2019-15078,Integer Overflow,distribute,0,False
CVE-2019-15078,Bad Randomness,PayWinner,0,False
CVE-2019-15078,Typo Constructor,PayWinner,0,False
CVE-2018-13085,Denial of Service,PayWinner,0,False
CVE-2018-13085,Integer Overflow,PayWinner,0,False
CVE-2018-12070,Integer Overflow,sell,0,True
