dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,upgrade,0,False
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13722,Bad Randomness,mint,0,False
CVE-2018-13722,Access Control,setUpgradeAgent,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-13132,Bad Randomness,PayWinner,0,False
CVE-2018-13132,Wrong Logic,transferFrom,0,False
CVE-2018-13132,Token Devalue,mintToken,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Access Control,ToOwner,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Access Control,approve,0,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Wrong Logic,transfer,0,False
CVE-2018-13128,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Typo Constructor,MorphToken,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Bad Randomness,claimThrone,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Access Control,ToOwner,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Wrong Logic,transferFrom,0,False
CVE-2018-12062,Wrong Logic,transfer,0,False
CVE-2018-12062,Typo Constructor,toOwner,0,False
CVE-2018-12062,Access Control,approveAndCall,0,False
CVE-2018-17071,Bad Randomness,PayWinner,0,False
CVE-2018-17071,Integer Overflow,distribute,0,False
CVE-2018-17071,Integer Overflow,claimThrone,0,False
CVE-2018-12083,Bad Randomness,claimThrone,0,False
CVE-2018-12083,Wrong Logic,transferFrom,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Token Devalue,mintToken,0,True
CVE-2018-12083,Access Control,ToOwner,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13208,Wrong Logic,transferFrom,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13208,Token Devalue,mintToken,0,False
CVE-2018-13208,Wrong Logic,transfer,0,False
CVE-2018-13325,Wrong Logic,transferFrom,0,False
CVE-2018-13325,Access Control,mintToken,0,False
CVE-2018-13325,Integer Overflow,claimThrone,0,False
CVE-2018-13129,Integer Overflow,setMigrationAgent,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-12702,Access Control,approveAndCallcode,0,True
CVE-2018-12702,Integer Overflow,claimThrone,0,False
CVE-2018-12702,Access Control,approveAndCall,0,False
