dataname,auditor_idx,vulnerability,function_name
2018-13227,0,Integer Overflow,mintToken
2018-13227,0,Access Control,freezeAccount
2018-13227,0,Access Control,setPrices
2018-13227,0,Integer Overflow,buy
2018-13227,0,Integer Overflow,sell
2018-13227,0,Integer Overflow,transferFrom
2018-13227,0,Integer Overflow,transfer
2018-13227,0,Bad Randomness,mintToken
2018-13227,0,Bad Randomness,freezeAccount
2018-13227,0,Bad Randomness,setPrices
2018-13227,0,Bad Randomness,buy
2018-13227,0,Bad Randomness,sell
2018-13227,0,Bad Randomness,transferFrom
2018-13227,0,Bad Randomness,transfer
