dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-17968,Integer Overflow,payout,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,0,False
CVE-2018-13128,Access Control,transferFrom,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Access Control,approve,0,False
CVE-2018-13128,Access Control,unfreeze,0,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Access Control,transfer,0,False
CVE-2018-12062,Access Control,MorphToken,0,False
CVE-2018-12062,Integer Overflow,PayWinner,0,False
CVE-2018-12062,Bad Randomness,setPrices,0,False
CVE-2018-12062,Bad Randomness,PayWinner,0,False
CVE-2018-12062,Access Control,setPrices,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Access Control,freezeAccount,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Bad Randomness,freezeAccount,0,False
CVE-2018-12062,Bad Randomness,MorphToken,0,False
CVE-2018-12062,Access Control,PayWinner,0,False
CVE-2018-12062,Bad Randomness,mintToken,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-17071,Integer Overflow,lucky9io,0,False
CVE-2018-17071,Incorrect Owner Select,MorphToken,0,False
CVE-2018-17071,Bad Randomness,PayWinner,0,False
CVE-2018-17071,Wrong Logic,lucky9io,0,False
CVE-2018-17071,Bad Randomness,lucky9io,0,False
CVE-2018-17071,Access Control,lucky9io,0,False
CVE-2018-12083,Integer Overflow,approve,0,False
CVE-2018-12083,Access Control,transferFrom,0,False
CVE-2018-12083,Bad Randomness,MorphToken,0,False
CVE-2018-12083,Integer Overflow,burnFrom,0,False
CVE-2018-12083,Access Control,burnFrom,0,False
CVE-2018-12083,Access Control,transfer,0,False
CVE-2018-12083,Bad Randomness,ToOwner,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Integer Overflow,transferFrom,0,False
