dataname,auditor_idx,vulnerability,function_name
2018-10706,0,Unchecked Return Value,receiveApproval
2018-10706,0,Unchecked Return Value,generateTokens
2018-10706,0,Unchecked Return Value,destroyTokens
2018-10706,0,Unchecked Return Value,transferMulti
2018-10706,0,Unchecked Return Value,freeze
2018-10706,0,Unchecked Return Value,unFreeze
2018-10706,0,Unchecked Return Value,changeOwner
2018-10706,0,Unchecked Return Value,changeTokensPerEther
2018-10706,0,Unchecked Return Value,changeAirdropQty
2018-10706,0,Unchecked Return Value,changeAirdropTotalQty
2018-10706,0,Unchecked Return Value,changePaused
2018-10706,0,Unchecked Return Value,
