dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Arithmetic Overflow/Underflow,transfer,0,False
CVE-2018-13722,Arithmetic Overflow/Underflow,transferFrom,0,False
CVE-2018-13722,Unrestricted Upgrade Master Control,setUpgradeAgent,0,False
CVE-2018-13722,Double Spending,approve,0,False
CVE-2018-13722,Unrestricted Upgradeability,upgrade,0,False
CVE-2018-13722,Arithmetic Overflow/Underflow,subApproval,0,False
CVE-2018-13722,Arithmetic Overflow/Underflow,addApproval,0,False
CVE-2018-17968,Reentrancy,enterWithReferral,0,False
CVE-2018-17968,Reentrancy,refundPlayersInRoom,0,False
CVE-2018-17968,Reentrancy,enter,0,False
CVE-2018-17968,Reentrancy,distributeFunds,0,False
CVE-2018-13128,Unchecked Return Value,transfer,0,False
CVE-2018-13128,Unchecked Return Value,burn,0,False
CVE-2018-13128,Unchecked Return Value,mint,0,False
CVE-2018-13128,Unchecked Return Value,approve,0,False
CVE-2018-13128,Unchecked Return Value,transferFrom,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-12062,Denial of Service,sell,0,False
CVE-2018-12062,Reentrancy,transferFrom,0,False
CVE-2018-12062,Denial of Service,buy,0,False
CVE-2018-12062,Reentrancy,transfer,0,False
CVE-2018-12083,Unsafe Function,burnFrom,0,False
CVE-2018-12083,Unsafe Function,approveAndCall,0,False
CVE-2018-12083,Unauthorized Access,changeOwner,0,False
CVE-2018-12083,Unsafe Function,burn,0,False
CVE-2018-14001,Integer Overflow,mintToken,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-13208,Denial of Service,buy,0,False
CVE-2018-13208,Reentrancy,transfer,0,False
CVE-2018-13208,Denial of Service,sell,0,False
CVE-2018-13208,Reentrancy,transferFrom,0,False
CVE-2018-13325,Lack of access control,setBuyOpen,0,False
CVE-2018-13325,Lack of access control,transferOwnership,0,False
CVE-2018-13325,Lack of access control,GrowToken,0,False
